x	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_15g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_10_7g	Y_20180130_15100b_11_12g	Y_20180130_15100b_11_13g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_12g	Y_20180130_15100b_12_13g	Y_20180130_15100b_12_16g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_13g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_4g	Y_20180130_15100b_13_5g	Y_20180130_15100b_13_9g	Y_20180130_15100b_15_10g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_15_8g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_12g	Y_20180130_15100b_16_1g	Y_20180130_15100b_16_4g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_4g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_24g	Y_20180130_15100b_18_4g	Y_20180130_15100b_18_6g	Y_20180130_15100b_18_7_1g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_7g	Y_20180130_15100b_19_8g	Y_20180130_15100b_2_2g	Y_20180130_15100b_2_5g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_8g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_12g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_1g	Y_20180130_15100b_20_2g	Y_20180130_15100b_20_5_1g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_20_9g	Y_20180130_15100b_21_1g	Y_20180130_15100b_21_7g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_14g	Y_20180130_15100b_22_6g	Y_20180130_15100b_23_10g	Y_20180130_15100b_23_8g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_24_15g	Y_20180130_15100b_24_7g	Y_20180130_15100b_3_14g	Y_20180130_15100b_3_5g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_4_22g	Y_20180130_15100b_4_6g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_15g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_1g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_6_10g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_16g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_12g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_2g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g
0	34218.344	40100.66	33597.699	36095.898	38139.988	36008.117	39345.25	33997.09	36157.004	33974.762	33155.207	34959.227	38261.637	34530.723	37127.305	36604.777	33602.434	36161.332	33079.938	33178.906	36978.402	33692.602	39329.617	36575.262	35939.711	34596.766	33331.836	32458.771	39284.895	34127.758	36639.129	38821.223	36898.098	39107.746	33621.367	33493.297	41723.543	36645.562	35404.637	34412.086	36459.848	36539.898	37926.703	37926.684	38459.988	34061.637	31727.521	32263.092	31876.1	36673.23	36898.926	36591.344	40546.273	34493.688	36836.371	35363.887	32269.031	39086.359	35601.199	36513.621	35944.066	34213.41	38285.484	34535.75	37005.801	39600.746	37765.676	35815.773	28889.662	41553.586	39188.738	36423.941	38359.785	39118.309	37459.648	36859.973	38395.871	33773.941	32584.158	35518.75	38072.48	32516.566	36364.547	35178.531	37489.551	39074.133	35207.684	34872.488	39427.309	38337.332	34842.039	39384.582	34524.727	39829.48	38746.562	34938.809	39011.461	36906.676	37285.789	34070.5	35231.172
0.1334	34882.883	39426.629	32241.037	36877.117	38820.898	36573.48	39084.668	32998.805	37004.211	33695.016	34089.09	34313.383	38860.484	32777.746	38162.461	35683.223	32359.984	36207.859	35083.898	33596.633	39215.375	34079.215	40734.836	36004.418	35097.426	33547.004	33206.176	33183.621	38567.801	32481.924	36896.637	38295.188	36451.461	39281.703	33027.336	32031.748	41854.766	36079.574	35493.258	36107.832	35474.496	37006.789	39036.258	38689.203	37296.887	34790.855	32502.24	31069.717	32337.252	36851.051	35466.918	38390.473	38704.043	34576.879	36135.859	37351.176	34844.266	37927.355	35483.262	36677.574	36335.457	34564.219	38454.613	33736.523	36739.922	38617.23	38657.27	35682.812	28754.965	41226.973	37540.531	35362.699	37272.758	37434.148	37617.617	35588.746	37896.566	32550.363	32745.771	35917.383	38231.203	32164.094	37041.098	33730.324	38533.375	39795.059	34796.867	35755.062	37042.395	37031.617	35686.5	38199.438	34459.738	39482.52	37242.074	36119.352	39482.66	36801.082	39073.062	33448.91	33223.645
0.2668	33001.766	39526.398	33275.547	35882.648	35751.809	36602.789	40699.141	32303.762	35389.82	34084.762	34749.344	35285.148	38972.871	32488.34	36966.66	35285.488	33839.941	38072.633	34875.254	35084.875	36879.992	33777.586	41365.41	36289.398	35880.863	34827.984	33886.613	32217.986	39055.148	32589.227	37039.898	37066.855	37149.602	40782.695	32145.824	31670.877	40380.344	33707.766	35436.234	35038.25	36637.262	34572.051	40989.832	39653.773	36571.574	34775.172	33277.363	30974.604	32744.947	37438.363	35454.441	37230.348	38238.453	35235.848	34566.965	38281.734	34172.098	37424.129	36108.152	36230.867	36997.555	34436.238	38746.605	34158.801	38202.289	39994.551	40410.57	36735.273	29970.953	39560.801	37285.898	33925.371	37903.23	37779.707	36515.164	37423.203	37262.18	32521.688	32547.82	37178.355	38324.531	32189.691	36810.645	35247.43	39486.551	38499.684	35311.645	37633.215	37856.801	36282.812	36340.355	37408.68	37154.754	39314.246	36955.23	36319.57	41272.285	35975.895	38028.973	33551.273	33469.414
0.4003	34648.121	38800.703	34698.152	37236.375	37167.707	36108.016	39480.055	31362.688	36692.457	34524.516	35755.16	35689.043	37861.109	32722.84	38067.5	35413.836	31944.885	37711	33759.98	34419.824	37834.914	34337.609	43158.453	36259.547	37676.891	34695	32152.117	31788.814	39028.668	33413.199	37542.766	36834.324	37671.852	39946.391	31397.168	33292.395	39751.969	34049.68	35812.598	34952.945	35631.449	34669.852	40412.879	37667.191	36885.938	33500.48	31541.773	30777.936	33556.051	36168.906	35106.234	35901.926	38430.168	34033.227	34814.492	37930.695	33344.922	36985.812	35414.816	36080.848	36733.461	35725.566	38195.852	34846.727	36286.809	40009.961	41160.227	34804.863	29323.752	39257.168	36962.512	36243.332	37878.938	36872.133	35485.477	37496.371	38140.262	32811.859	31711.09	36165.926	38011.926	31979.018	35692.852	33916.98	39027.191	40233.227	34099.625	38667.02	40214.5	38277.266	34959.82	39432.816	35831.086	37711.34	35539.734	35669.914	40201.934	35467.066	36985.613	34447.562	33197.027
0.5337	35058.512	39032.402	32540.691	38123.5	35121.062	36571.887	40188.516	31388.111	36548.094	33280.727	36128.215	34519.523	36917.586	31981.344	37791.227	35847.41	31678.502	37479.797	33049.523	35365.676	36176.359	36195.766	40501.238	35002.316	35152.484	34417.324	33162.02	33517.59	37817.777	33273.59	36100.246	39129.059	35754.527	40382.355	31248.932	33388.93	40168.945	33990.203	37793.223	35153.07	35365.508	35046.18	39671.109	37381.586	37962.27	34510.477	31581.137	31264.139	31745.172	34601.172	34966.066	34852.316	36887.242	34546.773	34897.539	38299.914	34114.684	37192.473	38199.945	36492.703	36171.051	35533.59	37675.414	34833.785	36572.102	38126.844	40738.723	34281.109	30138.209	37782.238	36994.305	34827.68	37860.367	35886.426	36966.289	37340.48	38383.281	33293.621	32236.197	35378.043	37506.691	32607.275	37331.344	34981.441	38025.387	40138.438	35231.57	38125.09	39162.297	36017.172	36335.453	39080.633	36880.453	36934.137	35823.566	35031.816	40321.957	36260.531	35716.582	35078.246	34788.152
0.6671	34260.418	39407.809	31938.055	35920.664	35654.926	38065.309	39130.77	32805.059	37286.605	34018.539	34427.121	34796.734	37877.145	32699.566	37294.18	34461.785	33242.84	36772.473	33282.516	33779.445	37048.109	35297.004	40806.285	34824.496	35536.504	35384.66	33693.969	33317.938	39059.906	31929.824	36447.102	37422.203	35121.512	40471.633	32625.027	33039.121	39194.047	34577.789	35947.305	34042.703	35752.695	36908.977	38276.875	38083.934	37942.699	33398.242	31825.389	31096.453	33663.324	35585.977	35927.434	35516.035	36825.402	33588.719	33440.043	38705.988	33925.145	36247.41	36623.035	35944.836	37263.332	34597.195	37332.953	36005.262	36706.406	38298.699	39216.641	35395.336	29978.768	38325.527	36055.496	33808.207	40251.75	36054.051	35970.953	38584.914	35832.633	33720.395	30851.811	35858.863	37526.254	31975.83	39277.562	34414.492	37605.156	39917.219	34450.18	37467.957	38754.676	35726.895	36479.758	38633.855	33655.805	35996.477	36204.465	35011.531	39591.605	35589.715	36014.758	37284.367	35763.387
0.8005	33605.301	39376.32	34397.91	37619.805	36848.906	38450.938	37748.582	33032.492	38431.133	33257.008	33423.277	35438.398	37977.152	33524.492	38383.789	34799.277	32909.566	36729.621	32911.293	34428.488	35998.504	34443.141	39630.555	34851.199	34407.684	35880.137	34203.375	34048.566	39171.629	31805.617	35318.582	37275.949	35589.402	39586.266	31911.52	32878.504	38996.355	36253.133	36234.363	33685.117	34461.027	37018.441	40025.922	38592.715	37493.984	35100.246	32384.418	30915.289	31414.1	36191.824	36810.395	35706.699	39425.934	35052.371	35154.184	37700.145	35532.734	37252.035	37217.375	37623.844	37236.574	35129.816	40847.062	35809.949	35596.891	38270.102	40636.934	35906.504	31895.156	39503.402	37561.914	35491.703	39954.688	37212.883	37478.184	39206.918	37835.125	33644.777	30661.646	36504.391	37420.766	34206.004	42802.008	34989.246	39456.098	39762.812	35518.633	36806.777	40124.691	36375.051	36774.977	38762.348	34175.758	36405.215	36351.262	33932.102	40047.289	35118.984	35146.32	38476.188	38744.645
0.934	33907.297	41159.875	34380.586	37368.906	36419.066	37519.699	38033.902	34475.871	39238.883	33457.207	35350.262	35317.164	38062.102	32894.617	38486.688	35528.297	33369.828	36646.832	33801.02	33908.789	38572.809	36689.383	40099.863	35426.543	34991.734	36636.777	34879.812	36220.707	37499.617	31278.625	36260.367	37959.758	37838.891	39609.441	32960.645	33615.629	38875.293	35710.59	37063.309	33483.281	34748.035	37768.25	39923.582	38825.914	37481.094	34768.266	33884.219	32667.656	32169.266	38960.777	36766.523	34525.34	39414.984	35737.77	37000.887	35854.711	38233.66	37544.809	37197.809	37047.215	37360.734	35746.766	41083.715	34481.398	37376.223	39170.801	40733.605	35488.414	33251.184	41998.336	38914.965	39598.301	41500.898	36539.867	38542.352	39454.891	38744.469	32183.074	32854.023	36794.934	36535.355	36714.727	47217.637	34941.141	40971.082	41569.055	36718.473	36797.512	40411.145	38975.188	39478.621	38564.961	33235.594	37512.875	36013.613	35228.008	40478.633	36107.441	37253.195	41941.555	38526.832
1.0674	33044.18	44346.199	35252.266	35852.895	36298.445	38291.508	36449.785	35369.176	43300.086	34152.504	36307.246	38055.844	42219.121	31687.713	38923.562	36716.781	32379.346	38912.488	32738.98	34779.125	37846.152	35233.484	40530.621	36411.324	37328.176	38544.93	38383.996	40110.77	39105.887	31647.234	38072.105	39411.43	39305.562	39856.332	32885.422	34705.312	39122.004	37446.535	36336.254	34257.473	36012.684	40681.309	40170.586	36782.168	37135.461	34501.262	37647.832	32153.305	34866.277	39859.711	36513.02	35058.863	38908.711	38444.562	37694.812	37862.977	41878.062	37354.012	38783.336	37791.242	38181.535	35248.961	42687.062	34226.973	36427.703	40291.371	46896.93	34993.059	35626.832	46521.66	38566.09	44732.203	46332.828	36242.059	38434.172	39869.508	38427.156	35230.141	32749.27	37304.355	35985.797	43763.828	62473.406	36042.793	45904.637	43262.324	38174.578	39204.703	42594.109	44634.66	39776.195	38372.867	31950.152	39348.691	37369	37308.598	45273.562	36515.305	40912.812	49624.352	43317.84
1.2008	33120.039	52946.113	38326.762	37333.488	38255.906	40265.805	37960.996	41031.785	48341.078	35088.996	38502.109	39009.152	47240.559	31182.752	42024.781	43597.449	32852.039	41773.648	34842.723	37232.242	41417.367	36641.266	42115.301	35896.203	37630.266	43318.906	44499.684	52146.352	40211.262	32923.309	40560.172	41213.852	42808.617	41320.906	35000.645	36511.914	41632.27	37313.797	36469.617	35815.441	34831.262	48889.727	40206.926	36451.859	37084.719	33903.93	47232.219	32121.033	34566.352	41806.219	36393.988	37644.402	38262.23	43481.191	37145.266	41074.156	55035.035	44195.75	41086.152	37615.215	38775.316	36697.391	50507.105	36640.578	38716.598	40372.277	53528.535	36443.492	40488.66	54216.727	39923.273	50974.781	65544.047	37606.125	40993.379	43973.902	41251.07	39263.484	33110.555	36685.91	37890.133	51433.43	97419.25	37705.676	58050.328	49337.895	45346.727	44191.383	46390.438	61761.754	40892.816	38392.129	34402.871	40178.195	37299.98	44698.992	51678.465	39263.836	46710.227	69614.453	60033.973
