x	Y_20181208_15100_14_2g	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g_left	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g_left	Y_20181208_15100_7_2g	Y_20181208_15100_11_3g_right	Y_20181208_15100_13_3g_right	Y_20181208_15100_19_6g_right	Y_20181208_15100_2_3g_right	Y_20181208_15100_20_12g	Y_20181208_15100_21_8g	Y_20181208_15100_22_7g	Y_20181208_15100_23_10g	Y_20181208_15100_32_5g	Y_20181208_15100_5_2g_right	Y_20181208_15100_5_3g_right	Y_20181208_15100_8_4g_right
0	31028.4062	30478.1875	36204.3789	26947.5254	30788.2383	32137.3477	29797.5332	27598.9062	25385.6973	29201.0039	27817.0137	29181.2891	31239.5664	30073.4043	31390.8535	32256.5918	30625.584	31979.9883
0.1334	31700.4609	29129.9746	35695.6445	28028.0645	29426.3828	32734.623	30645.6172	27080.9277	27850.6953	30479.0762	26680.875	29663.7285	31075.959	30282.4668	30557.9805	29418.9648	29948.4707	31378.2715
0.2668	31690.4336	28701.873	34429.6055	27900.0254	29600.207	32125.0117	32078.1113	28464.7383	26165.9316	31974.9453	26956.041	30251.5938	30551.707	29542.25	30649.4648	30416.875	30356.168	32329.9414
0.4003	31573.0391	28682.0762	35804.5898	27994.1191	28125.4004	32298.8613	31116.1055	26750.0098	27098.832	30798.9258	27205.6641	29998.9883	32658.3359	31239.2676	30058.7129	29795.4238	31210.2285	32005.6855
0.5337	30582.9863	28227.8711	34690.6719	28526.4434	29934.0625	31401.502	31327.4258	28675.4531	27305.9219	30719.4336	27648.6992	30977.3027	34014.543	30832.1699	30986.9355	32003.3809	31517.5371	33152.8906
0.6671	32779.8086	30728.248	36249.457	27939.2754	30379.8281	32935.1602	30959.2422	29045.75	28033.8809	30711.1094	26686.4238	34399.9297	35995.5664	30892.5859	30801	32115.0684	31652.6191	33239.9844
0.8005	33184.8086	32084.0684	35574.4141	30464.8242	30527.3906	32230.7031	30650.3594	31418.6953	27201.916	31242.6953	28665.4102	35615.5117	38869.875	30403.0078	31522.0176	35966.0742	32777.6289	32942.5781
0.934	36003.1953	31844.9219	34651.0234	30178.6445	31626.6621	32475.9277	30649.0117	30781.4805	28687.3555	31090.4121	27095.8906	38454.3789	37956.2031	31676.0508	29593.1348	39348.4922	33745.7305	33951.1875
1.0674	37593.6055	33613.8867	35068.5	33152.3594	34693.2891	31522.1973	31372.2383	34131.9336	32496.5605	31326.1211	30566.9082	53363.3242	34885.7188	34555.0234	30781.4727	46724.4258	33049.1406	33997.9102
1.2008	42675.9219	38821.7344	35830.1406	41032.0625	44601.0391	33191.7812	32409.7422	38037.1719	38752.6758	30731.0391	36885.4258	87535.2344	31638.3555	42444.9062	31578.5059	62916.5703	35523.6523	33633.2305
1.3342	59189.8242	48703.7344	41042.9219	50358.9141	65315.0703	37614.8047	39363.4492	48569.582	44078.6484	32047.957	40647.9883	127588.6328	31831.3379	58504	32243.252	65207.0195	38385.0312	35543.1289
1.4676	82934.2266	50994.8555	47488.4336	51039.7891	81583.6719	44050.8203	52350.7812	68312.1328	39483.2695	32859.4258	37414.7266	131451.6719	30228.8926	69914.7578	34619.4023	48661.2031	46597.25	39452.0859
1.6011	79328.5156	39720.2305	58625.625	39072.6445	69086.7734	44925.7734	68834.5703	79187.4844	34418.3164	37771.4258	31548.1973	91946.4219	NaN	55860.5977	38189.9844	41899.4766	53004.6211	47687.2656
1.7345	55807.1719	35713.1797	58631.9531	31863.2441	48998.2031	38035.7344	65713.7812	63172.2578	32052.5938	41651.8086	30078.9609	59028.3906	NaN	39667.2461	42759.4492	NaN	48040.6016	53335.4727
1.8679	39442.4609	32731.9414	46865.2383	29290.9121	37315.0312	32990.0391	49715.7969	41538.2031	NaN	57194.8203	29595.5996	45176.6641	NaN	35990.3984	37460.793	NaN	39361.8008	47434.7734
2.0013	35225.3828	32131.4941	38325.6445	28204.4648	31792.0605	30709.9551	37527.3828	35554.957	NaN	65422.2266	NaN	38305.9609	NaN	NaN	33170.2109	NaN	34571.0859	39041.4805
2.1347	33782.9805	NaN	34308.1133	NaN	28820.9355	NaN	32789.7227	31910.2168	NaN	51001.3281	NaN	37301.1875	NaN	NaN	31912.9199	NaN	33709.5781	35413.0859
2.2682	32089.7324	NaN	33262.6211	NaN	NaN	NaN	31248.0762	NaN	NaN	39568.2266	NaN	34321.6562	NaN	NaN	31044.4805	NaN	NaN	32997.4922
2.4016	NaN	NaN	32559.9414	NaN	NaN	NaN	NaN	NaN	NaN	34261.8086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31683.709
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34005.6367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
