x	Y_20181208_15100_18_2g_left	Y_20181208_15100_9_2g_left	Y_20181208_15100_20_5g	Y_20181208_15100_21_6g
0	11810.2803	10536.6318	10821.79	12206.6387
0.1334	12631.4736	13739.3447	11793.0371	12192.4639
0.2668	15763.501	20825.4453	14204.1699	12782.498
0.4003	19787.25	24366.5293	17676.9492	15906.3281
0.5337	19366.3828	20652.7129	17376.5195	19260.1719
0.6671	15955.7383	16941.3242	16299.0195	19547.8184
0.8005	16165.8174	14787.292	14671.6416	18176.2676
0.934	19681.3711	14379.7139	14986.3389	15721.459
1.0674	21864.6152	14020.6689	16453.1289	13826.4473
1.2008	22206.541	14006.4033	16077.709	13518.1494
1.3342	20529.0723	13916.7461	14699.9092	13063.1953
1.4676	19087.709	13557.1162	13629.6807	12885.1904
1.6011	17795.9531	14603.8047	13034.7607	12218.748
1.7345	16598.9922	15242.7891	12861.0791	12570.9062
1.8679	15456.2197	15764.5195	13940.6074	12480.9541
2.0013	16029.5127	16334.6523	14711.9121	12338.2002
2.1347	15325.7432	14966.9746	15793.0488	12628.377
2.2682	15199.5576	14579.7783	17080.6543	12893.2695
2.4016	17196.7793	14243.2041	16961.7539	13445.5703
2.535	17844.123	14050.4287	18601.7793	14501.5303
2.6684	18194.6426	13819.833	20401.1465	14746.4434
2.8019	20230.5605	13704.1846	19625.9121	16059.9443
2.9353	17497.4531	13675.6348	17832.5664	15523.7266
3.0687	15977.0811	13551.7051	16305.6113	15184.0264
3.2021	15102.8359	12920.0781	14723.4648	14097.8965
3.3355	14343.7949	12014.252	13831.835	12735.0166
3.469	13411.6826	11351.21	13371.5967	12234.6074
3.6024	13534.2256	11026.2676	13986.8242	12750.71
3.7358	13412.6787	10271.3877	14223.3467	12237.0605
3.8692	12791.25	10415.2695	13800.5117	11771.5957
4.0027	13076.2891	10341.3135	12576.6074	12242.9336
4.1361	13196.3174	10567.7783	13054.9014	11872.0391
4.2695	13342.4873	NaN	13422.4189	11643.1484
4.4029	12769.2393	NaN	NaN	11295.4111
4.5363	NaN	NaN	NaN	10896.002
4.6698	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
