x	Y_20181208_15694_10_1g	Y_20181208_15694_10_2g	Y_20181208_15694_11_4g	Y_20181208_15694_13_5g	Y_20181208_15694_15_3g	Y_20181208_15694_16_3g	Y_20181208_15694_16_4g	Y_20181208_15694_18_3g	Y_20181208_15694_19_4g	Y_20181208_15694_19_5g	Y_20181208_15694_2_10g	Y_20181208_15694_21_3g	Y_20181208_15694_21_5g	Y_20181208_15694_23_11g	Y_20181208_15694_24_16g	Y_20181208_15694_24_1g	Y_20181208_15694_24_2g	Y_20181208_15694_25_1g	Y_20181208_15694_25_3g	Y_20181208_15694_25_4g	Y_20181208_15694_26_9g	Y_20181208_15694_29_3g	Y_20181208_15694_29_5g	Y_20181208_15694_30_5g	Y_20181208_15694_4_10g	Y_20181208_15694_5_21g	Y_20181208_15694_7_16g	Y_20181208_15694_9_4g	Y_20181208_15694_9_6g	Y_20181208_15694_9_9g	Y_20181208_15694b_10_2g
0	10563.5889	9171.6904	13288.2578	14578.7148	10595.6963	11581.292	11822.6484	10270.1602	9924.5977	12624.7207	9638.2021	9497.4824	31409.9277	12140.4199	12821.9023	11904.9072	14122.3955	9521.3887	9961.5215	13134.6611	11699.9658	9832.873	9829.6826	10358.2627	9964.6533	8954.8506	10049.7773	11941.4131	10506.9688	12155.7939	8672.8291
0.1334	12271.5381	9474.1475	15668.667	16286.3164	11621.3066	12951.4922	14763.2393	11621.9209	10521.1543	12329.1982	11667.6514	9266.8428	32115.0645	14145.2314	14737.7588	11596.3223	15617.4062	9838.7861	10259.5557	13232.7432	13202.7383	10561.5518	10198.5186	11059.832	10528.25	8832.5654	10523.1289	12068.2588	10388.4473	13916.6396	9256.1201
0.2668	14458.8818	9884.5605	17536.4141	15101.041	13493.0791	14332.873	16295.96	13911.7705	11921.6533	12176.1484	14553.3916	10458.0957	30113.5117	15497.3945	15435.5732	11876.7188	14821.2061	9990.9834	11930.7383	14792.4248	13854.8008	12522.6885	10799.5488	12839.54	11497.0361	9627.5039	11454.002	12998.7607	11672.1533	15596.1143	10145.9775
0.4003	15778.0137	10468.875	19558.7461	14514.7393	16910.3887	18989.3828	15716.6982	13714.3926	14651.8369	12947.9023	15435.7119	11123.1191	30890.0195	16169.1367	15803.8574	12359.6328	15655.2422	10850.335	13544.8887	16281.3906	13323.7549	14466.0498	11504.6953	15738.6934	12039.877	10365.1973	13289.0361	13963.3828	13146.0752	18702.6465	11580.9219
0.5337	14775.3369	13231.5049	19111.8359	13817.0869	18165.7305	24219.7441	14501.5596	13712.4678	15185.7031	15365.4844	15103.2646	13511.084	31811.707	16013.9932	14669.5117	12680.9238	16575.9766	11905.5918	15903.8506	16394.5898	13199.4502	15292.1504	13078.4336	17805.4922	12964.9189	11226.1533	15821.5713	16513.6035	15162.9014	20186.5352	12428.2139
0.6671	13697.7793	15187.0469	17254.5762	14356.6191	16771.957	20567.8828	14501.2021	12624.2979	15085.3193	18676.6504	14597.1885	17434.5195	32772.8047	15884.2783	14788.0557	13805.0361	16982.1309	13658.0664	17770.0273	15076.5244	13364.3711	14965.3652	15190.7949	17504.3984	15008.5234	12051.1025	15457.5371	18126.5195	14049.7139	19253.3262	13275.5771
0.8005	12517.8516	14785.71	16191.8779	14574.5557	15439.9346	17449.2383	14069.1445	12940.4971	14957.3389	18459.4297	14091.5459	18619.7754	34812.7539	15709.251	14220.7559	14334.085	16282.0576	14377.9355	17276.4902	14724.1885	13140.0615	14342.2158	15249.4346	16739.8809	17175.7031	13918.4014	14178.5039	17988.4297	13048.418	17648.5488	12010.7744
0.934	12376.4834	14070.6387	15670.9688	14549.5186	14498.7568	15974.25	13894.7969	12150.8359	14250.9033	16849.4609	13896.2773	16829.8086	38133.5664	15191.5547	13836.5381	14265	16282.5576	14353.1855	16830.6855	14236.582	12902.0654	14399.915	15132.4736	16075.7939	19537.1836	14173.4873	14493.7529	18008.4336	12359.959	17084.7734	12514.9541
1.0674	11999.5312	14209.3535	14477.2002	14089.9746	14599.3857	16281.874	14942.959	12191.2354	13827.6465	15633.8486	13696.3291	15175.2764	49178.1211	14533.7188	13946.0908	14184.9746	15207.2236	13159.9414	16888.3535	13655.2686	13064.3174	15361.9395	14628.6699	16336.6055	19089.9609	14537.8467	14541.3574	18723.5605	11866.8535	16888.7617	12702.001
1.2008	11458.6162	14890.251	13805.7227	13566.3281	16106.4609	16436.1133	14534.2617	12049.2549	13350.1445	16280.167	13121.5566	14799.8467	59108.6289	14031.1143	13165.7637	14189.4561	17019.2324	13414.3506	16699.7402	14349.7939	13202.0596	13645.4072	14449.0117	16758.8301	17118.8008	13375.3057	14574.4375	19042.9414	11560.3154	15499.8486	12563.2129
