x	Y_20180130_15100b_13_2g	Y_20180130_15100b_14_2g	Y_20180130_15100b_17_2g	Y_20180130_15100b_18_16g	Y_20180130_15100b_2_5g	Y_20180130_15100b_6_6g	Y_20180130_15100b_8_7g	Y_20180130_15100b_9_1g
0	33644.793	31115.926	37682.078	37565.32	34431.199	34233.426	39648.359	34356.367
0.1334	34526.664	33463.016	36512.883	37206.852	34270.762	34828.289	40733.137	34665.27
0.2668	34498.477	33823.008	36732.793	37469.219	34418.789	34334.434	40455.938	34452.516
0.4003	35479.043	33933.031	36157.789	37773.863	34416.562	34428.406	41284.078	35206.328
0.5337	33808.98	32972.559	35860.297	36507.211	34629.223	34966.484	41094.312	34483.285
0.6671	34428.062	33099.184	36765.121	38209.625	35251.418	33162.406	41979.629	35696.016
0.8005	35583.973	32443.199	37486.648	39777.359	35996.238	33511.781	41630.605	34758.395
0.934	36808.527	32358.219	36835	42432.762	36099.113	34906.195	41935.18	34177.023
1.0674	36578.453	32952.977	37931.062	41722.77	36848.871	36504.516	40588.582	37652.211
1.2008	37465.059	33892.746	38161.973	40260.047	36717.797	34320.676	41787.391	38615.715
1.3342	38054.023	32594.328	37640.004	38546.312	36723.559	34432.016	40540.52	36889.207
1.4676	35391.93	32177.883	37305.062	39413.789	36092.828	33693.102	40949.855	36392.312
1.6011	35741.434	32051.805	37332.348	38272.637	38629.883	34454.945	41037.062	37025.258
1.7345	36846.125	33410.883	38240.152	39887.504	36838.895	34802.898	41198.816	36570.488
1.8679	35762.406	33413.863	38846.438	40516.773	40278.609	33099.305	44396.453	35024.988
2.0013	33635.172	33928.945	40972.305	39821.109	40721.605	33410.25	44027.316	37627.48
2.1348	33112.613	35448.441	44100.512	41188.547	45760.164	35275.84	41744.332	36563.32
2.2682	35064.414	38632.41	52492.645	40424.734	63069.328	35873.148	44185.906	38283.719
2.4016	35570.281	44477.41	72411.422	41939.922	89756.172	38958.242	50586.957	43130.465
2.535	39489.898	61614.852	87920.047	47833.699	97177.781	45682.098	66675.875	53187.297
2.6684	45347.762	67515.352	75142.922	58387.168	69782.477	60076.086	88332.172	60079.008
2.8019	62687.531	52134.324	52704.223	64657.738	48311.699	62918.602	88117.953	50435.809
2.9353	71934.008	41151.82	41556.09	54901.938	40746.488	48560.227	64844.715	41627.309
3.0687	65115.719	37568.195	NaN	45027.766	NaN	40695.434	50307.938	38028.875
3.2021	51578.285	NaN	NaN	39777.801	NaN	NaN	NaN	35654.016
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35259.332
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
