x	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_8g	Y_20181208_15692_33_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_8g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_3g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_46_18g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_8g
0	12057.8652	11886.6367	12134.4424	13741.3496	12534.4844	11383.4287	12188.0791	12665.6895	13009.4209	10418.9697	11104.9756	11203.293	12581.0566	13884.7002	11995.8164	11833.3516	10372.1875	12239.3398	10483.9229	16339.5664	10560.1748	12386.9141	11561.4648	12161.2529	14064.3076	12105.1455	11983.6191	11766.6484
0.1334	12176.3359	11412.5371	13239.3105	14621.2783	13232.7314	11174.0928	12491.6914	15740.3359	12599.8438	10338.0605	11535.9746	12249.2383	12454.0225	14600.4453	12942.0469	11726.2988	11315.7285	12089.1992	11391.0752	17731.873	11509.9043	12825.5811	12004.085	12963.1045	13704.9707	12108.9541	13995.5449	14026.5771
0.2668	13129.7832	12119.0078	15911.9238	13390.6357	14623.0342	11510.2129	13469.3682	17511.6523	12682.3887	10424.6895	12860.1406	12089.9229	13115.2695	15801.665	14343.5039	13474.7871	12050.748	11955.2354	14834.623	19303.8965	12070.6035	13000.4307	12179.2959	14230.2559	13876.3496	12927.3164	16149.2441	16145.3945
0.4003	15298.8311	13816.4287	19934.0605	14296.0205	15128.4258	11962.291	15502.375	16701.5625	12986.3701	10582.6318	13368.0635	12257.5312	15403.6895	16168.9277	16493.0898	14767.7383	12755.4502	12608.6865	19163.9609	15828.5801	13150.1436	14954.4248	11983.0654	14674.6348	17518.8184	14151.6221	20744.5195	19129.1992
0.5337	20015.207	16250	20943.3164	14900.9932	14862.7676	12825.9277	18057.3555	13730.3232	15459.3848	11997.7539	13526.4141	13592.583	15910.9785	18067.9355	17682.4883	16218.6895	12657.8242	13777.0264	20115.7383	14878.1006	15383.1748	15972.9766	12735.6006	15150.7373	18227.1582	15384.9785	20184.2832	20439.377
0.6671	23333.7734	17324.3789	17990.3789	16844.4941	13201.6895	13912.4482	18032.8125	12894.9238	16833.1406	13923.7861	12437.7148	14479.9902	14690.209	20376.0332	16412.1738	15550.832	12149.3203	14284.6396	18324.1719	13663.0195	17761.291	14410.2393	13758.2305	14619.9932	15978.9414	17564.5977	17958.0566	18143.2324
0.8005	19989.6406	16174.1094	16575.0742	16817.375	12549.6826	15663.585	16758.5762	12404.4004	17879.8926	13958.2666	11707.4863	15779.6377	13910.0254	24573.6055	16180.7285	14268.4766	11692.3096	16580.2324	15656.0244	13078.6465	17214.2363	13650.7344	13937.7842	13636.4531	15676.4199	19439.1367	16654.8477	17068.4062
0.934	16667.127	15640.7881	15085.5088	17866.9395	11943.1045	15352.5215	15375.4004	11719.9199	15783.3252	13803.248	10724.0391	16109.9062	14920.9199	22487.6621	15971.3477	13616.5977	12646.1641	15678.499	14064.8799	13532.9316	18233.6758	12838.7559	13642.3467	13518.1494	14351.1758	17634.4688	14336.4668	16687.7188
1.0674	15812.6465	14575.5029	15396.7402	17106.4043	11749.7812	13254.6963	15552.8672	11765.1953	14374.498	13493.1797	10727.8896	14852.9561	14440.416	18289.7773	15690.5908	12753.1719	12854.252	14611.7852	13372.2422	14056.8838	16972.2266	12918.1016	13811.6914	13108.7979	14940.3125	14275.6406	13621.5732	16745.2871
1.2008	15045.5654	13767.8242	14686.3838	15934.9678	11279.6738	12022.6787	14064.916	12313.0303	13902.2207	12830.0459	10542.457	13677.6797	14169.0615	17585.5664	15043.5469	11630.9189	13776.96	15737.7256	12737.5811	14206.7676	14626.7617	12158.7021	13786.083	12903.7236	14646.2432	12770.3643	13604.6172	15943.1436
