x	Y_20180212_14590b_16_6g	Y_20180212_14590b_16_9g	Y_20180212_14590b_18_2g	Y_20180212_14590b_20_4g	Y_20180212_14590b_32_7g	Y_20180212_14590b_33_6g
0	41100.938	34303.191	36437.258	37743.105	39224.551	29980.9
0.1334	38413.879	34758.598	37717.367	39143.379	38782.324	29898.166
0.2668	38212.102	34135.145	37990.434	40663.684	39498.5	29917.986
0.4003	38658.617	34010.43	38584	39491.293	39708.824	29305.754
0.5337	39925.637	35993.27	37705.273	40329.914	38029.512	30367.238
0.6671	40648.445	35471.816	39282.488	40298.965	40962.078	29800.051
0.8005	42019.629	36206.633	38258.016	40136.977	40143.473	31357.973
0.934	40587.695	35011.719	37377.141	40086.488	39668.789	32390.666
1.0674	42489.031	35328.949	37459.172	38745.863	40368.23	31511.74
1.2008	41928.57	34938.996	38451.473	39145.582	40016.582	30362.561
1.3342	42694.602	36189.152	38892.914	38760.539	40171.492	31556.777
1.4676	42757.113	36497.812	39937.488	40883.707	39898.375	32707.951
1.6011	43069.082	36666.266	39346.648	40140.398	41770.965	30959.633
1.7345	41808.066	36989.523	40872.711	39113.566	39586.953	30825.062
1.8679	42343.16	35483.055	40974.219	39498.891	39615.539	31049.699
2.0013	42004.676	35429.355	38935.238	39926.914	38680.402	30571.371
2.1348	42040.324	36153.105	42201.711	42165.551	40434.668	31201.045
2.2682	43070.312	36925.527	42718.738	43275.973	41353.594	32083.953
2.4016	44999.586	38141.645	44821.5	46161.887	43582.781	35040.531
2.535	43276.492	37693.586	52736.711	50571.199	46479.844	39942.91
2.6684	44674.637	37032.797	72640.406	60516.418	59532.156	54128.266
2.8019	49645.973	38929.832	100419.609	82797.125	91652.672	81250.719
2.9353	62991.359	45476.168	101372.406	123166.945	147336.734	113288.07
3.0687	89612.523	62386.34	75399.062	137891.984	154845.5	114728.562
3.2021	127599.367	85973.641	NaN	103857.82	111230.75	80291.945
3.3356	128361.398	86347.555	NaN	NaN	73756.5	49993.125
3.469	90784.438	63402.297	NaN	NaN	NaN	NaN
3.6024	62573.68	45089.613	NaN	NaN	NaN	NaN
3.7358	NaN	37945.855	NaN	NaN	NaN	NaN
