x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_8g	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_6g	Y_20181208_15692_31_7g	Y_20181208_15692_31_8g	Y_20181208_15692_32_8g	Y_20181208_15692_32_9g	Y_20181208_15692_33_12g	Y_20181208_15692_33_1g	Y_20181208_15692_33_3g	Y_20181208_15692_33_7g	Y_20181208_15692_33_8g	Y_20181208_15692_34_10g	Y_20181208_15692_36_13g	Y_20181208_15692_36_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_6g	Y_20181208_15692_37_8g	Y_20181208_15692_38_16g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_38_9g	Y_20181208_15692_39_10g	Y_20181208_15692_39_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_17g	Y_20181208_15692_40_2g	Y_20181208_15692_40_3g	Y_20181208_15692_41_10g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_41_6g	Y_20181208_15692_42_5g	Y_20181208_15692_42_9g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_43_20g	Y_20181208_15692_43_2g	Y_20181208_15692_43_3g	Y_20181208_15692_43_6g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_10g	Y_20181208_15692_45_13g	Y_20181208_15692_45_15g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_5g	Y_20181208_15692_45_6g	Y_20181208_15692_45_8g	Y_20181208_15692_46_15g	Y_20181208_15692_46_18g	Y_20181208_15692_46_7g	Y_20181208_15692_46_9g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_10g	Y_20181208_15692_7_1g	Y_20181208_15692_8_3g	Y_20181208_15692_8_6g	Y_20181208_15692_8_8g	Y_20181208_15692_8_9g
0	28199.8164	29707.7461	29957.2617	25251.8652	27264.7988	25805.2441	29835.791	29900.8496	26938.9531	31800.832	32294.3145	29529.7715	30447.4043	25923.1152	28630.3633	29925.4863	28075.8398	28648.9551	29334.9453	27607.5215	31553.1758	27834.6914	26202.4922	28515.4434	29825.1387	31423.3203	25564.8086	26990.2871	31138.8145	28939.1875	28847.4336	28236.4844	27276.2793	29760.6641	30744.6738	30743.1953	28847.5098	28904.998	25652.9941	29645.7793	29644.2852	29217.3008	31408.7422	26346.1523	28166.7422	27297.1328	28310.541	31733.0957	31099.5449	29125.3809	27211.5098	31676.3418	28998.5039	29049.9844	29154.4336	29987.0234	25743.2227	30515.7773	29500.0098	32560.3633	25978.1875	30611.873	30235.2148	31252.5508	30730.3379	27969.0488	28950.9629	28627.8164	32674.2109	29312.5918
0.1334	27964.1289	30371.4375	30203.7891	24852.9004	29308.1172	25649.666	30612.1855	30581.3516	27706.75	31924.9961	33980.8047	29092.0527	30472.498	26864.3066	27984.5723	30009.2422	28913.2441	28493.0566	29078.3535	27483.0938	32487.209	28576.457	27150.0332	28509.5098	29020.9375	31737.2012	26781.2031	27531.8027	32028.3555	28420.8242	29277.6133	28165.9121	28934.0117	28855.1758	31736.666	28301.9863	30257.2988	27768.3027	26182.0391	29471.6035	29683.875	28913.8496	32002.3633	25540.5918	27025.2148	27593.416	28937.1504	30634.6953	33035.4375	27791.4902	26847.8379	32013.3145	30035.3496	30234.957	28970.9453	31372.0195	25819.5664	30758.1934	28557.373	31928.1035	25997.4258	31581.791	32572.3672	31359.498	30644.5234	25963.4102	30325.2305	27414.998	33008.5547	29219.2637
0.2668	30215.1816	31782.832	30314.4316	25043.2285	28641.8867	26027.627	30010.4707	31859.3008	28029.4004	32278.3574	32986.9648	29970.5312	29884.623	26661.3887	29210.6348	30585.6035	27742.3828	28064.5059	28391.9805	27990.7773	30309.002	28553.2715	28193.4922	29345.418	29122.3496	31172.2578	25706.5	26447.2539	32689.8691	28753.8262	29872.5664	26907.8418	27684.8457	28820.0176	32798.0078	30167.3184	28616.3398	27506.9609	26216.5176	28146.9277	30355.3301	29060.2109	31868.5195	26448.2578	27303.8711	27266.3809	29527.0703	31145.1074	31675.4043	28693.502	26904.0684	31627.5664	29594.3359	28377.1113	28789.7227	30932.1953	26224.1035	30626.418	27779.248	32638.5352	25577.9922	30583.0508	30613.8477	31537.7715	30476.9766	26492.7617	28287.7363	28648.3848	33930.4297	30799.5195
0.4003	29079.0176	31338.873	30980.3301	24755.9395	28072.416	26857.2832	29131.8184	31338.7793	27224.9844	31973.2383	32096.7734	28595.8828	29970.8281	25896.9395	28327.9062	30526.75	27904.5332	28293.2168	28081.5566	26827.4922	31065.7324	28832.332	28804.873	30531.002	29325.7051	30786.0586	25860.3574	26282.7891	32509.5039	29909.9609	30043.5898	27221.4238	28008.0254	28967.7285	31830.4551	28919.3398	29242.5898	28685.082	26176.9199	30344.8379	29617.6602	27739.4746	31853.8633	27238.0488	26992.1582	27726.2168	30035.3633	30870.0625	31504.0273	28950.1074	26312.0508	31684.8203	28704.7227	27876.3945	28983.9355	29993.6113	25477.7656	30560.9238	28544.0801	32229.5566	26333.1016	29596.375	31793.8535	30736.5547	30593.7051	26584.4492	28477.3223	28653.3223	33119.7617	29787.166
0.5337	28245.9277	32545.0586	29705.2852	26081.4902	28174.3906	25971.918	30660.5957	31905.6855	26311.5684	31264.2656	32187.9629	28801.7168	31109.1758	26476.1699	29022.9492	32185.5977	28719.0371	27476.8691	28006.1113	27783.2227	31183.8535	29824.9727	28386.457	29560.6523	30232.8008	32304.9199	26433.7793	26350.8535	31816.8555	29310.5547	30761.5352	27132.1191	27721.8145	31230.2285	31954.4766	28509.1875	28234.6855	28031.457	26995.5938	30318.3555	30647.3301	29051.0898	31728.8496	28273.4688	27657.5742	27450.2754	28284.6113	29052.5254	33718.6328	29358.1504	26578.9023	30337.5234	30962.5996	29351.1758	28227.9453	27278.2305	26990.0762	32869.8633	28150.8203	30665.9531	27192.8555	30123.7285	29801.8281	31186.959	30056.1895	25748.4355	29284.9727	28337.6816	32326.3809	30088.2539
0.6671	29732.7891	31289.4297	30296.5781	26201.9629	28662.9727	25981.709	29739.4492	31717.8184	27780.2871	31767.0664	32315.7734	30186.791	30980.2383	27240.1602	28148.9824	30143.748	27804.4375	25879.6172	27495.1035	27248.1367	31125.082	30724.6523	26981.6406	27966.8359	30877.748	32112.6836	26594.7227	26012.1484	32126.4062	29980.334	29943.8281	27344.7578	26627.1777	29825.2734	33247.3047	29909.9531	29534.1855	27489.0371	27239.957	29027.9961	30978.4766	28755.5625	30072.459	27315.2207	28096.8457	26557.7402	27312.5625	28774.0176	31307.9727	29138.0312	27135.3145	29978.1055	30873.6387	28700.123	29515.3945	27836.2715	27392.7324	32342.2305	28657.8848	31437.75	27842.8555	30194.709	30532.4141	31005.8945	30737.3555	26639.9277	30818.4043	27999.0781	31547.0996	31117.8574
0.8005	29980.3633	30442.2441	29310.0215	26497.5898	29534.334	25450.6836	29617.4648	30511.3574	28157.7266	32308.1094	32914.1172	31125.3809	31192.5527	25988.4199	29768.8262	30756.5938	27161.8516	28223.4395	27433.9551	26788.0371	32082.1289	30169.5449	27013.793	29866.6172	30091.2969	31797.1602	25773.2148	26526.6816	32749.3555	28524.6816	29399.4492	26786.5371	27716.1582	28072.3477	31265.0078	30329.5801	29663.3066	26831.9141	26880.6777	29325.666	29108.5117	28463.4121	30690.4961	27087.2949	27732.0371	26175.166	29061.9492	28645.3848	32189.5469	28632.1602	26715.7168	30918.9121	30924.6445	27853.1426	29030.4668	29017.793	27475.8418	33154	29154.5449	32215.6113	26823.25	30938.2051	31647.0293	31042.0352	29458.6348	26015.0469	28964.4453	29268.9414	32384.9707	29808.7461
0.934	32131.4668	29879.3125	28948.4766	27054.7559	28491.7988	26293.584	29500.5977	31286.3535	29393.5215	32113.1289	32644.7832	30054.7949	32422.3672	25043.7109	30695.6621	30193.8379	28238.584	27177.4902	27378.7852	26691.5508	30630.7383	30625.6016	28679.418	27875.2676	29764.791	33097.293	26833.1777	27108.7148	31407.3027	29239.6113	29161	27355.8301	26752.8613	30335.0938	31734.6035	30167.4824	30584.582	27105.2676	26131.2891	28751.0117	29771.8086	28887.4355	31938.3086	27551.4863	27173.3672	26936.3242	29665.7598	28519.7949	30646.6387	28258.7305	26785.2461	31294.5996	30586.9121	28154.5	29743.5391	30111.3887	27724.8242	32847.3359	27971.623	31139.7266	26406.0293	29300.2676	30206.4297	32210.166	29392.8184	27166.2422	28946.1172	29334.9648	31485.2891	30151.3086
1.0674	33073.6562	30998.5879	30673.6543	26566.0977	27248.6133	26885.6934	28849.6953	31233.543	28698.8652	31473.3828	34411.7773	28205.9434	31124.8047	25655.9902	30757.1074	30038.4648	28154.5469	26516.041	27802.4688	27375.1113	31628.0957	30811.9805	27174.1914	27726.6016	30508.4551	31432.9375	26170.0508	26721.9297	32149.3516	30391.0391	28286.4473	28254.5371	27518.9961	28951.0781	30792.5742	30070.5586	29052.6797	27825.1328	27116.6855	29061.166	29658.293	29070.6113	31356.7031	28107.0645	26507.6934	26448.0312	28936.1641	30518.4648	30662.582	29285.6855	26180.123	31853.457	31745.2207	28221.4883	29392.8359	30019	26488.7441	33421.9961	28543.0566	30352.4434	26600.7383	29522.668	29584.7168	31622.8281	28861.3164	26884.0859	29279.4648	30353.1172	32023.3945	30999.7344
1.2008	32448.0195	30424.1055	30042.8398	26619.7227	28435.1055	29379.166	29269.543	30988.5488	26226.3984	30578.3945	34901.5508	28675.0938	32506.2773	25484.6035	29706.8008	29596.582	28472.1152	26797.5527	28425.0547	27467.2715	32956.832	31984.8105	28525.9414	29305.3105	30477.4668	31826.7031	26014.5039	26957.707	31050.4609	30234.207	28611.1953	29385.6406	27525.5527	31454.502	32292.6777	30055.3555	29314.4551	29326.2852	27694.0508	28950.9082	30492.3164	28416.4395	30431.418	27040.6016	27527.1953	27393.2188	27650.5312	28682.6016	32906.0781	31387.5781	26173.5371	32651.3926	31342.666	28093.8086	28419.6133	30629.9355	24993.0098	32142.8613	28533.1211	30977.1602	26379.0078	28860.543	30404.2188	31218.4355	29497.8691	26374.5293	29909.2227	28747.6309	32344.8105	32559.5723
1.3342	34408.8672	29198.416	30218.375	27693.3809	28703.2129	31327.8672	27974.0918	32221.1523	27980.6641	30409.002	35046.7812	29229.1602	33598.5195	25113.0918	33059.5391	31766.7637	29674.1523	27801.7949	29258.6445	26773.9707	31301.8516	33991.4688	29986.3223	29383.252	30701.3145	31959.4043	25126.6367	26726.1758	31730.9492	30720.2344	29569.6836	28483.4414	29241.7637	30532.5879	33211.8555	32265.332	31753.3008	29448.3223	27723.2734	28666.9023	31044.3086	30297.5625	33835.9453	26809.0781	27793.2539	29399.8789	28168.4336	28386.8496	34098.7969	29076.25	27093.1875	31736.4941	31012.7285	28304.9141	29964.4551	34388.7852	26395.3027	34852.2383	29573.5703	31633.75	28162.6816	29385	32344.9785	31548.502	30758.1016	27060.5996	30081.625	28639.1191	32819.4648	33514.7539
1.4676	35850.4219	29515.25	30176.8301	27689.2812	28299.3887	36078.957	28959.4336	32781.6523	26811.5703	30774.2441	35881.6875	28521.2539	33924.1523	27149.7598	33448.5977	31788.166	30023.4805	27380.4316	32434.8438	27993.6172	31513.5117	37790.4844	28671.9434	29377.9922	30466.998	31874.2441	27761.8555	27777.207	33430.1797	32713.5547	28718.0605	29321.9688	28911.8301	30238.4512	32384.2969	30687.9199	32849.7891	29448.8223	30725.5234	28383.2754	31242.1504	31613.0566	32623.2578	29294.9004	27570.0488	27908.3652	27982.125	28793.918	39648.8281	30189.0098	27811.1914	31131.623	32490.6953	30090.5684	31441.0859	40606.9453	26025.9277	34485.6172	29674.7969	31959.0723	29252.8496	31117.4473	34679.043	31315.6523	31018.3691	27868.9824	30823.7324	28758.3125	33195.5664	36330.2227
1.6011	40072.8906	29805.8965	30501.8633	27483.7168	30707.9551	49074.3359	30728.75	33442.8359	27184.2441	30533.5918	37991.2031	29716.1602	33573.3047	26524.2285	33231.8789	34266.4375	30688.9941	28554.5195	35517.9375	30125.5059	33019.168	49515.4102	27843.002	29758.832	31725.3516	32936.2266	29063.8223	27730.8359	35037.2812	36511.6641	29611.9863	29873.3984	29634.9648	32574.5938	34702.375	31358.748	36503.332	31283.9785	32779.8789	28434.418	32254.6934	32442.959	31031.127	31140.4688	27673.582	28308.3965	27165.1719	29979.0605	46009.4219	32518.9414	27962.0254	33677.0938	31140.0137	29628.2773	30800.4004	56763.1406	26388.9277	34065.1758	32073.3594	33956.918	29883.3574	29248.1836	39345.3789	31005.168	32183.2969	31073.7051	32208.3672	29539.3867	36383.6719	46407.1484
1.7345	52853.3672	30240.9629	31237.5488	29891.7598	30307.4551	69398.5156	33546.7578	37519.8438	26530	30087.7695	40768.3008	31049.4316	34779.8359	28171.9277	39470.8281	35811.4336	36695	29371.0605	45427.4102	31675.1602	35353.4531	75567.5703	28579.0977	31105.8613	31668.6953	34277.6445	31032.0332	29095.3145	35776.1602	46658.832	29668.9062	30804.4668	30241.9922	36552.4336	37110.4961	32004.8672	45209.6211	35482.2656	39874.0117	30299.4199	35118.6055	33801.1797	31130.7891	35704.9141	28227.4707	29162.9336	28617.9258	31297.2949	60403.1484	33481.0586	27699.207	35422.4062	31130.666	30348.3496	32176.8613	83480.0703	25989.3848	34685.9141	35959.8047	38445.0469	31515.9922	30460.7227	49324.6758	30825.5508	32564.5527	35400.2969	32156.459	29432.9805	37867.1289	64620.75
1.8679	66812.25	30685.6406	31917.668	32649	32528.002	77965.2734	39960.9414	45105.8984	27157.8828	33022.9414	44910.6797	32554.2266	40245.7539	35405.4688	54334.7617	42930.6172	47386.9531	31595.6426	61248.4297	34248.8242	39272.3281	105800.2422	29064.5684	32975.5664	31295.0996	36245.0391	36842.9766	33681.7148	40160.2695	65985.8516	32315.4141	31363.3125	30184.6074	45287.4922	38607.3477	34462.6562	62473.543	46414.2305	56148.4102	32074.6387	40819.0586	40194.3945	33336.5664	50124.6562	29734.7695	30609.2695	28646.4004	32634.7578	67532.8359	41262.1602	28146.9648	41926.3203	31242.1172	33015.8828	32709.8672	95131.0781	26821.668	36103.3164	43173.0898	47730.043	34547.5469	30653.2812	68371.5781	32140.2324	36809.7383	49103.3633	33517.7148	31479.9238	45674.5781	70256.7422
2.0013	78485.7969	31305.9922	32321.9688	38950.5469	41654.7109	58687.1641	54004.6484	63131.5508	30121.3691	37186.2891	65887.1406	42768.9023	56781.7969	48403.2734	84920.2891	56695.5312	53051.6328	39005.2031	64529.168	37402.8086	54023.5938	98569.5625	30424.8066	37107.9883	32412.8555	40000.7695	51338.4141	45888.0898	46522.3047	83232.7891	35308.0234	35326.5508	34142.7891	60021.3125	48006.8047	38600.8164	89578.9766	63845.582	73312.2656	37451.457	54737.2656	53012.875	33493.4648	76277.2344	33107.9883	37652.7422	29055.1914	42274.75	53259.9492	59135.6211	33650.5352	53636.2852	30898.1895	38134.3477	38093.7578	71864.5	26353.291	38891.6367	57403.7227	68509.5156	46615.1289	33335.2656	102985.6719	35288.4297	46983.7344	61543.0078	36034.0508	34618.3359	64483.1172	53252.8984
2.1347	90259.9453	32469.7617	34478.5508	52536.8555	63269.8633	44035.1523	71458.1875	83743.7812	31562.3984	45015.8906	94403.0078	58618.1367	79471.9219	64811.9531	96714.2656	82461.8203	47415.1484	46058.4375	50187.9961	49192.9727	62489.6562	66426.8438	33655.9414	46792.7422	36724.6836	49614.6367	68759.5	49887.7969	68223.8828	66855.3359	38357.0898	40441.125	36236.8672	66400.0938	64302.1406	52308.4297	96132.7266	72465.4062	70904.3359	50919.7695	64369.5703	72943.5859	37929.4297	91860.0156	40442.4688	50899.6055	31226.3691	52818.6484	40005.8906	83262.7891	40978.5547	73081.4844	32941.8906	49188.9336	48432.1406	48245.4609	28861.0332	48821.25	70021.8906	82676.6953	64273.2188	34319.082	120101.6875	39817.1875	64859.7969	56542.7539	41060.2344	37974.0469	91432.8516	41224.8516
2.2682	85862.5234	35733.7344	43648.5625	56836.3164	74510.6328	40971.1211	74387.3828	79081.6094	35750.1211	51797.5781	104660.9062	73880.0859	90546.3594	60866.6953	70581.5781	87204.0391	36789.3945	42576.707	37574.793	66328.2031	50654.1289	44011.7812	38767.293	67481.8906	41903.5234	72960.9766	64537.8047	42784.4141	95940.4766	45473.8047	48333.6133	44682.8672	37907.4062	56762.4414	76550.4062	77522.2969	70593.5312	53529.2383	49293.6094	76890.6016	56344.793	76529.1172	48933.3789	72624.8594	55739.8242	69148.9688	36105.4414	52633.543	35384	96597.6328	51132.2227	70697.8906	35852.1094	70164.8672	67063.8125	38782.4414	32351.1113	71919.9062	57153.2578	70525.1875	69340.7969	43105.332	98976.9609	53711.7578	88174.5156	39734.7031	61346.2031	51634.8125	81385.7656	35063.7656
2.4016	64415.6602	43315.8281	53620.2969	51867.6016	62970.4023	42964.7461	56026.0977	57119.6797	42950.5312	47815.5234	78124.2891	64800.5312	72792.6953	49621.2148	46452.3555	65019.7109	32607.5742	36552.0156	34824.0625	72866.2422	40488.7344	35616.6758	45379.7383	76768.7969	55194.5508	88268.2109	46162.1797	33486.3008	98784.6328	34068.3477	66975.375	41611.8984	35500.7969	42236.2578	65097.9766	88059.0547	45649.3281	39949.3945	37945.5234	98346.2812	42694.0977	57334.6523	59428.4766	48011.5469	59996.6094	67681.8125	49936.9766	41384.668	34444.2188	93650.0391	52865.2891	52276.1953	46044.3633	76482.5312	74640.0781	34846.168	39512.4648	88467.5156	44124.6992	49272.9375	48807.1914	54673.2812	74558.8984	65590.0391	87473.4062	33422.4531	100326.5547	67229.1484	55063.9961	32757.3184
2.535	47498.8281	62664.9766	49716.582	NaN	44305.2773	NaN	43874.3633	41720.5078	42371.8125	38163.2188	52480.6523	44008.4258	47964.2422	37804.8398	38624.8359	44467.4219	30695.1719	31505.1172	32917.332	60962.7969	34203.7656	31786.0605	48109.9219	65044.6562	88252.9219	75801.8125	34845.1641	29861.6992	69415.5547	31394.1777	74229.0156	35944.4844	30953.1465	34587.0781	49533.3398	65815.6172	35404.0039	34882.2734	33343.1367	77555.0469	35527.0703	40134.4336	55497.8516	38124.3984	51168.5273	49501.4492	71936.5234	32221.8691	36471.3398	73315.9531	40971.9453	40688.7969	62419.5352	59432.4414	59478.5508	35141.7344	47362.1094	81302.4609	44794.6719	39515.6719	35343.043	75782.0938	51456.4961	61768.9219	63611.8906	30780.8281	127265.5625	66830.2656	41851.7266	32500.4219
2.6684	37846.6797	91649.2812	38933.75	NaN	35780.0586	NaN	38225.9375	33787.2539	36346.7266	32824.9531	40962.5586	36936.6719	37710.5039	NaN	36152.0664	36955.4336	NaN	NaN	31135.6484	54970.9688	32776.9375	29138.0586	40176.9258	43719.6797	129624.6719	53182.6016	32908.1758	27906.6484	45975.9023	29984.6504	61286.957	32092.6309	31278.0312	31835.0684	40708.5781	45149.3789	33103.4141	NaN	31543.8594	51931.3867	32016.7266	34201.6094	44407.0781	33517.957	37304.4219	37311.9453	75000.3047	28513.2676	34612.043	50917.4922	33487.3008	34816.5586	68042.4844	48063.7617	42054.3828	NaN	45293.625	57795.5742	57777.5391	36467.9531	29732.8086	70653.5547	40583.9531	45986.6758	43356.875	29508	106359.0938	50310.4688	36251.9023	30944.2969
2.8019	35441.375	94518.0078	34206.3828	NaN	31950.8848	NaN	36075.2227	32092.6973	33002.1562	31738.1348	39100.918	33450.2344	35364.1719	NaN	33159.7812	32164.9082	NaN	NaN	NaN	63724	32719.8789	28636.3691	31848.4648	37332.3516	127738.6641	40148.5547	30440.7363	NaN	36840.9062	29154.3867	48182.7109	28951.5	29327.3984	30757.4473	36535.5117	35584.9062	31370.752	NaN	28942.5195	40715.4609	32609.5332	31036.4512	36442.3945	30661.4609	33967.3359	33997.5898	51896.4453	29151.3984	33755.6484	NaN	30662.9297	32580.6758	56727.0039	40949.5625	37005.7422	NaN	38303.9258	43031.0156	NaN	35796.6523	27957.123	51718.3281	36462.1211	37750.7266	34672.9141	NaN	67335.2031	41542.6914	36478.0508	31171.5723
