x	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g
0	11200.6699	10252.5586
0.1334	12040.5459	11817.707
0.2668	14039.6875	14458.6182
0.4003	17975.7559	18474.2324
0.5337	20767.9102	19673.0996
0.6671	19766.877	18710.8301
0.8005	18690.4941	19316.6426
0.934	16448.002	18902.7812
1.0674	15434.7178	19164.7012
1.2008	15002.6729	18214.4707
1.3342	16209.9863	17850.6309
1.4676	17472.7891	17406.4609
1.6011	17469.543	16799.1582
1.7345	16864.6738	15868.6348
1.8679	18833.9023	15725.1885
2.0013	19572.1328	15170.6641
2.1347	18413.4062	14713.1328
2.2682	16511.5977	14638.5635
2.4016	15935.1787	14503.0879
2.535	13840.9619	14081.9824
2.6684	11982.4219	13892.9326
2.8019	12332.2549	12371.5605
2.9353	12262.7773	12572.2178
3.0687	14072.7568	12658.2461
3.2021	13487.9102	12510.2588
3.3355	13386.665	12281.0527
3.469	12805.5322	11125.6611
3.6024	11636.7842	10547.8203
3.7358	11856.0879	10754.8242
3.8692	12073.457	10858.9424
4.0027	11517.2832	10682.1387
4.1361	11448.624	NaN
4.2695	11988.5547	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
5.4703	NaN	NaN
5.6037	NaN	NaN
5.7371	NaN	NaN
5.8706	NaN	NaN
