x	Y_20181208_15794b_1_5g	Y_20181208_15794b_2_3g	Y_20181208_15794b_6_3g
0	10447.9902	11815.127	10547.9385
0.1334	10711.3047	11598.5068	12699.5479
0.2668	11281.1299	11134.877	16915.6777
0.4003	12437.6895	11701.1729	19873.0469
0.5337	14809.6357	11865.9199	18958.9082
0.6671	15484.084	11820.877	16926.7949
0.8005	13466.4824	12004.0283	14740.2432
0.934	13052.3262	12552.9502	14327.708
1.0674	12229.8604	11627.6387	15297.5117
1.2008	12321.6484	10864.9404	16465.2812
1.3342	12385.1904	11231.1387	15610.8291
1.4676	13435.9219	10803.6562	15075.9844
1.6011	13501.5762	10033.3877	14660.1113
1.7345	14378.957	9803.4004	12894.7266
1.8679	13353.9062	9744.7979	12734.4756
2.0013	13342.4629	10205.9023	12906.46
2.1347	13502.4688	10546.3916	12314.6719
2.2682	12900.3984	10610.0576	12722.6328
2.4016	13620.6572	10427.8184	12971.2734
2.535	14021.4639	10886.5107	13521.54
2.6684	13822.7773	11221.5986	13324.4824
2.8019	13563.6006	10856.2676	12538.9111
2.9353	13368.4033	10985.0752	12616.9004
3.0687	13382.7168	11088.8115	13052.4229
3.2021	13465.6035	10417.2246	12788.7334
3.3355	12979.7266	10642.0146	12593.1035
3.469	12211.2549	10690.7979	11817.877
3.6024	12246.6592	NaN	12905.7764
3.7358	12109.3516	NaN	11900.0977
3.8692	12749.7295	NaN	11600.5322
4.0027	12934.0742	NaN	NaN
