x	Y_20180224_15102_11_5g	Y_20180224_15102_12_1g	Y_20180224_15102_13_13g	Y_20180224_15102_13_9g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_4g	Y_20180224_15102_19_7g	Y_20180224_15102_25_11g	Y_20180224_15102_25_8g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_7g	Y_20180224_15102_4_6g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
0	31812.08	34898.906	38848.008	32690.592	39330.883	33842.16	34443.215	34288.32	37122.359	36487.879	36859.062	38610.59	33304.914	32551.168	35970.184	39840.047	34662.188	34835.188	39687.43	38101.773
0.1334	32419.855	32760.748	37570.418	33335.535	37704.418	36864.23	33762.043	34684.211	37205.184	35126.367	37213.922	40144.828	32557.883	34083.688	37577.102	39778.031	33023.633	34176.113	39692.84	37973.992
0.2668	34098.641	33376.031	38151.531	34417.516	37810.898	36116.633	33661.258	34957.934	35406.438	35434.863	37899.918	39108.871	32968.598	33939.191	38942.973	39748.562	34589.449	33917.949	38985.219	38619.223
0.4003	33285.949	33264.25	37378.82	31555.393	39276.734	35906.203	35133.785	34005.586	35605.949	36777.949	37899.086	40306.484	33644.699	33673.156	38053.09	40586.156	34392.207	32782.668	39100.168	37548.547
0.5337	33192.016	35292.141	38165.977	31546.432	39425.914	36000.977	35112.285	34187.309	36623.879	37691.723	36576.484	41186.32	33135.32	33682.582	36739.445	40232.59	35283.465	35958.152	38755.91	36887.395
0.6671	32551.371	34834.105	35556.656	32927.676	38025.723	36119.488	34701.273	35084.574	38044.105	38396.492	36696.539	39407.758	33889.828	34025.164	37373.887	38889.621	35370.805	34936.988	38513.992	39552.867
0.8005	31606.059	34994.863	37383.609	33445.211	39662.977	36155.562	36464.156	34772.336	35948.57	37594.848	35730.316	40770.871	34549.547	35052.141	37862.184	39174.832	34828.762	33349.652	38906.801	37425.309
0.934	32381.117	33270.422	37967.668	33459.348	40497.43	35271.832	33963.562	34892.82	35944.824	36779.102	34810.125	41355.875	35474.848	34202.504	38301.625	39178.188	34329.93	33488.5	40467.738	36125.18
1.0674	32727.711	35079.004	37915.387	32685.834	39857.859	36140.633	34197.75	35747.566	37506.82	36743.977	34978.332	39628.762	33766.379	35023.574	38112.762	40606.719	35759.211	33867.773	39524.953	37247.363
1.2008	32316.984	36814.016	35070.59	33183.695	39128.566	36376.762	33424.809	36448.676	38175.395	38185.102	35131.672	40625.781	33633.648	34902.531	38996.395	39870.105	34804.977	32801.016	40043.031	37065.105
1.3342	34731.051	37420.059	36606.523	32703.541	39909.43	34870.098	34207.418	34562.883	37412.023	38301.848	34402.504	39935.902	33785.754	34619.012	39553.41	41637.188	36626.469	33333.551	38752.152	36287.16
1.4676	32703.344	36965.543	39051.363	32281.934	39239.703	36867.344	35923.309	35017.914	38570.887	39101.703	35884.074	40010.883	33597.473	33794.332	39570.516	40547.977	33899.324	33076.504	37538.711	37708.152
1.6011	33897.184	35712.023	40181.141	32917.281	39243.648	36704.09	36437.719	36212.801	36434.691	40067.699	35376.176	39189.266	34388.371	33349.02	38630.191	38340.176	35362.918	32613.49	38549.395	37693.66
1.7345	33103.492	35517.387	41474.543	32097.896	40244.715	36125.32	35985.816	36760.559	36848.621	39628.254	34541.164	37709.629	35209.125	33380.387	39009.215	39225.207	36017.32	33419.488	38707.754	37328.238
1.8679	36535.094	37339.965	40753.855	34241.422	43034.309	36114.121	37267.984	36307.766	37529.16	38059.027	34610.023	38792.074	36823.109	34476.539	36687.328	39947.125	35856.805	34912.277	38409.309	40015.074
2.0013	35891.391	36984.785	41362.023	34417.945	43755.875	36663.578	40120.637	34675.312	37406.371	37399.484	35217.219	39227.516	39506.855	37590.305	39799.992	41860.609	37111.547	36133.227	39189.914	41160.543
2.1348	41774.461	38823.371	45046.156	37094.133	46430.473	38019.188	43742.797	36597.055	37562.859	38318.52	35203.457	39424.879	46383.188	39428.434	43692.711	44941.711	39587.461	37318.105	42024.535	42524.691
2.2682	47750.621	44323.062	53569.465	40358.969	56001.637	39775.363	55532.777	39757.441	36604.941	37814.488	38113.801	41040.648	58225.152	44167.727	45878.266	50542.332	41547.645	44234.027	47977.793	53607.543
2.4016	69416.469	56332.422	81634.352	52400.383	89313.727	47112.832	86131.914	49585.312	41648.711	41174.785	42989.398	48968.422	88476.766	61223.652	56334.238	67937.664	47680.422	58981.691	64543.094	75650.945
