x	Y_20181208_15692_33_6g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_46_3g	Y_20181208_15692_7_11g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	27866.8867	32255.1895	26533.9355	31046.209	31531.6152	28499.6191	28251.2207	30769.8535	29094.0312	28406.3125	30116.9141	28638.6133	28503.0273	30074.6738	29198.2402	25347.4746	34388.4766	29754.2246	29172.7402	27792.0234	29739.7344	30294.9922	33750.3047	30202.6406	31195.8359	32371.6836
0.1334	28491.2793	32338.3887	26946.9355	30400.3633	31174.6895	30356.9277	28542.3457	31359.0801	29881.6602	27464.1445	31567.7773	29742.4473	28875.1504	31469.8555	28508.6914	27126.5879	34400.293	29410.1797	28208.375	27070.8828	30982.5508	31411.5039	33791.1797	28665.8516	32933.1719	32184.5684
0.2668	27851.0156	32918.7266	26272.6797	31078.9062	31741.2969	29952.9121	28972.1875	29511.2285	29847.4043	27374.2754	32637.8301	30869.6426	29567.1797	31407.2051	28563.8223	27940.0781	33692.5156	29426.5098	28801.2363	27157.4316	31191.8516	28817.9766	34328.8164	28928.0332	33214.1758	32742.7285
0.4003	28098.9492	32336.5488	26942.4941	31895.3086	31400.8633	31111.9707	28345.127	27819.7773	30692.2031	28117.8906	32622.5703	30344.916	30041.0078	32996.2383	29148.6504	27564.1035	33477.4062	29418.1211	30926.5215	28402.7266	29321.8887	29671.5293	34464.1172	29595.7402	33190.9805	33467.0117
0.5337	28786.5781	31415.3906	27529.5684	34073.6055	32529.1914	31617.7715	30232.8125	29419.2832	30604.2227	28522.6133	31655.5176	32067.4277	30843.0254	31062.0605	30030.2969	26833.2637	33749.8789	30769.6504	30766.6738	28121	31221.9004	30930.9414	35176.5039	32333.2539	32323.6289	33563.5117
0.6671	28773.9043	31588.0488	26626.6211	35323.7539	34360.1836	30882.623	30520.4512	29105.9824	32778.0781	29321.207	31530.5645	31589.5508	30861.1035	31084.3672	30468.2637	28191.4453	33793.6094	30195.2246	30818.7754	28584.0469	31555.0293	31123.8633	34819.5234	32518.2617	32642.875	34647.4414
0.8005	28828.4355	31564.5957	27352.5215	33534.4688	35156.2422	30461.3145	29754.3574	28966.3555	31814.7793	29654.8145	30749.4102	32798.6133	31612.043	31183.4492	32039.334	28375.2637	33564.4336	31339.6641	30614.9844	28432.8379	30547.0781	30339.6621	33448.8984	32655.5156	33094.1641	33825.1914
0.934	30199.2734	32124.5957	27685.5449	33828.1875	35872.3281	31016.2461	29224.3867	29398.3496	32114.9727	29762.332	31431.791	33081.2734	33265.9609	30985.582	36977.2773	28922.498	36325.0898	32678.373	31045.9746	30082.2793	32947.3867	30757.2734	35578.3398	34937.2188	33806.8672	35184.832
1.0674	29067.375	32100.168	28916.0293	35118.957	40986.6055	32087.6934	30380.5898	30045.8223	32616.8789	32663.1367	31388.8281	35311.9062	36123.1719	34045.082	48007.6758	31028.8457	37661.6484	32435.3398	36751.3594	30217.3516	33191.3438	32520.1465	37420.4492	36666.2461	34106.9922	33969.5508
1.2008	27379.873	32886.4453	29904.1602	36791.9336	56403.5469	35425.6953	30541.668	30563.0352	33157.0742	36120.7812	35342.9453	41628.9141	42951.4219	35553.3203	70590.6172	38811.0391	44140.6328	33611.9141	46256.5078	30027.6562	35046.582	32406.3516	39247.8047	43586.332	36201.4609	32280.0078
1.3342	30922.3613	34372.6172	31376.1641	42606.6562	78702.3359	44374.1562	33820.3164	31546.6133	32506.9609	50556.9727	40977.957	47673.8828	54762.2773	36047.6367	99117.7266	48524.293	63439.4688	37622.2227	47425.043	34201.6406	38610.293	34235.1445	39544.582	60012.9492	44032.3438	31192.4375
1.4676	36319.8789	38549.2734	37335.8438	51552.2266	105946.6562	55515.7461	42677.8125	36147.2031	35983.7031	63444.25	53913.8789	46199.3008	56650.7656	37719.4062	97279.0078	50173.5156	82509.9844	49532.25	41117.8359	43706.4805	50948.9844	37925.1211	43869.5	75315.3047	62578.668	32251.373
1.6011	41176.582	44436.0117	45545.332	60517.0352	107368.2031	59932.2266	43313.0156	42424.2852	42865.6836	58434.3789	66943.0234	38898.0195	46830.9648	44028.5078	62244.207	40406.6133	76966.9688	63222.0234	35270.1172	58690.7422	66603.6094	51282.6602	56949.3945	66344.6328	83550.1094	34245.9727
1.7345	40971.6172	47189.0859	43429.6367	55599.0898	87217.0938	47699.0195	34056.5547	40829.3633	62055.1797	42419.1602	61444.4688	39674.1992	37127.25	53255.1484	49224.75	34674.6562	55992.9688	62135.0508	31205.0391	61290.5391	64018.8984	73105.1562	73356.0625	47851.9648	79715.2031	37182.2109
1.8679	34551.6719	41389.418	36064.2812	43458.1211	NaN	38408.0938	29151.3438	34287.6914	82127.0859	34221.9258	44797.8516	37340.2031	33057.8242	56556.5664	NaN	30224.1328	42302.5625	48826.7812	30949.332	46628.3164	46669.8125	85117.2344	72975.9062	35459.7852	54877.9023	42044.4766
2.0013	31072.4336	35759.668	29732.2441	43402.9141	NaN	33452.2773	27236.0449	30125.3594	78095.8359	30043.6758	38055.6289	34921.082	NaN	46956.3789	NaN	28738.0625	35658.082	37255.5664	30817.5605	34796.875	37236.4922	69955.6016	54807.1797	34152.8984	42734.4258	55269.1445
2.1347	29344.4707	31971.8594	29946.6406	NaN	NaN	NaN	NaN	29524.4805	55659.9336	29854.0996	36648.4414	NaN	NaN	39135.8633	NaN	NaN	33271.9609	33320.9961	NaN	31294.1016	33134.832	47016.3398	39488.0508	33688.9062	37409.0234	59765.5859
