x	Y_20180224_15102_10_3_S_g	Y_20180224_15102_11_10g	Y_20180224_15102_11_5g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_3g	Y_20180224_15102_13_13g	Y_20180224_15102_13_9g	Y_20180224_15102_14_2g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_4g	Y_20180224_15102_19_4g	Y_20180224_15102_19_5g	Y_20180224_15102_19_6g	Y_20180224_15102_19_7g	Y_20180224_15102_19_8g	Y_20180224_15102_20_2g	Y_20180224_15102_20_6g	Y_20180224_15102_21_2_S_g	Y_20180224_15102_21_4g	Y_20180224_15102_22_5g	Y_20180224_15102_22_6g	Y_20180224_15102_23_6g	Y_20180224_15102_24_2g	Y_20180224_15102_25_11g	Y_20180224_15102_25_13g	Y_20180224_15102_25_15g	Y_20180224_15102_25_8g	Y_20180224_15102_27_10g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_14g	Y_20180224_15102_28_1g	Y_20180224_15102_28_3_S_g	Y_20180224_15102_28_7g	Y_20180224_15102_3_6g	Y_20180224_15102_4_6g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_7_6g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
1.3342	37415.242	38219.168	34731.051	37420.059	30192.521	37152.621	36606.523	32703.541	36134.316	39909.43	34870.098	34207.418	34562.883	35477.68	38040.758	35213.184	37412.023	40045.301	40842.961	38461.039	40408.801	42430.875	34706.09	36781.406	38208.242	39139.305	38301.848	38186.309	34080.266	34402.504	34690.125	39935.902	33785.754	34619.012	39634.848	32814.25	35099.383	39553.41	40905.191	41637.188	33722.672	36923.543	36626.469	33333.551	33553.543	38752.152	36287.16
1.4676	36405.359	37936.941	32703.344	36965.543	30574.303	37258.516	39051.363	32281.934	35295.551	39239.703	36867.344	35923.309	35017.914	35456.742	38946.641	34254.191	38570.887	37868.363	40875.273	39028.637	40100.496	39610.082	35024.098	38466.246	37702.039	37247.281	39101.703	39684.453	35526.461	35884.074	34708.379	40010.883	33597.473	33794.332	40760.59	33359.047	35709.355	39570.516	39064.195	40547.977	34498.562	37471.094	33899.324	33076.504	33771.969	37538.711	37708.152
1.6011	34877.688	35471.59	33897.184	35712.023	30271.559	35333.059	40181.141	32917.281	36194.352	39243.648	36704.09	36437.719	36212.801	35742.957	38385.797	34330.875	36434.691	38476.012	39572.062	40204.34	39970.406	40642.938	35183.09	38555.125	38256.488	37158.641	40067.699	39402.379	35991.648	35376.176	35705.562	39189.266	34388.371	33349.02	40221.035	33673.797	36709.242	38630.191	39296.117	38340.176	32628.344	37700.254	35362.918	32613.49	36210.242	38549.395	37693.66
1.7345	34164.219	37856.945	33103.492	35517.387	30488.49	37460.469	41474.543	32097.896	36182.801	40244.715	36125.32	35985.816	36760.559	34743.93	39540.074	33629.695	36848.621	36957.629	38990.359	41090.504	39378.617	40526.699	34090.398	38417.32	39626.617	37576.523	39628.254	37705.801	34273.277	34541.164	36983.816	37709.629	35209.125	33380.387	39688.285	34346.508	36794.316	39009.215	42039.602	39225.207	32376.354	36854.09	36017.32	33419.488	35013.07	38707.754	37328.238
1.8679	35121.141	40117.73	36535.094	37339.965	31984.83	38994.059	40753.855	34241.422	35481.91	43034.309	36114.121	37267.984	36307.766	35208.27	40041.371	33807.137	37529.16	38593.766	36044.391	39465.445	39990.633	39967.543	33554.625	38002.977	39721.867	37585.164	38059.027	36984.195	34963.301	34610.023	35970.82	38792.074	36823.109	34476.539	39172.016	33486.641	37140.051	36687.328	39633.68	39947.125	33209.766	38493.102	35856.805	34912.277	35737.777	38409.309	40015.074
2.0013	35327.891	37168.762	35891.391	36984.785	33149.375	39055.84	41362.023	34417.945	36057.902	43755.875	36663.578	40120.637	34675.312	35903.617	39341.832	35131.984	37406.371	39062.094	37040.215	39217.5	40582.07	43200.195	34996.996	39479.5	37676.82	38018.152	37399.484	38665.527	38232.262	35217.219	34957.914	39227.516	39506.855	37590.305	39067.941	32791.18	36785.336	39799.992	41481.777	41860.609	34420.5	38751.922	37111.547	36133.227	34421.836	39189.914	41160.543
2.1348	35972.598	37741.516	41774.461	38823.371	32333.516	40453.715	45046.156	37094.133	38396.625	46430.473	38019.188	43742.797	36597.055	36699.395	40543	32680.828	37562.859	41120.07	36469.344	39170.234	38758.262	46858.387	34711.801	39111.531	38017.887	38175.801	38318.52	38386.559	36504.117	35203.457	34220.934	39424.879	46383.188	39428.434	38950.223	32340.438	37535.207	43692.711	44233.652	44941.711	34653.332	41030.844	39587.461	37318.105	37057.566	42024.535	42524.691
2.2682	36366.832	38785.723	47750.621	44323.062	32745.977	47862.824	53569.465	40358.969	41336.707	56001.637	39775.363	55532.777	39757.441	39013.695	40846.957	34539.738	36604.941	42633.324	36252.238	37707.707	38767.613	52520.242	35349.395	41351.262	38072.258	43441.367	37814.488	39427.238	36212.645	38113.801	35373.223	41040.648	58225.152	44167.727	41458.93	33556.289	38445.559	45878.266	46355.094	50542.332	34786.578	44199.914	41547.645	44234.027	40382.801	47977.793	53607.543
2.4016	39410.602	41179.102	69416.469	56332.422	35892.473	67873.906	81634.352	52400.383	44668.758	89313.727	47112.832	86131.914	49585.312	41902.895	41075.52	39863.176	41648.711	48398.395	39738.305	39758.758	38516.617	71112.375	34203.27	46483.102	37249.023	50325.859	41174.785	43225.285	37654.273	42989.398	38010.43	48968.422	88476.766	61223.652	45635.754	34226.652	41477.602	56334.238	57686.551	67937.664	36754.836	54301.141	47680.422	58981.691	47836.516	64543.094	75650.945
2.535	47523.133	44974.012	98305.797	93861.203	43943.121	102711.094	137655.234	82311.562	50639.062	154230.75	65826.367	124346.273	73511.609	49748.281	43702.227	52512.07	50757.105	62513.387	43669.379	42611.074	39755.863	117770.102	34747.707	60775.668	40263.883	68475.43	49327.617	48620.477	37659.039	52256	40323.766	71262.016	136099.344	85486.242	53139.875	35828.191	46727.961	83454.391	77525.234	110814.273	37327.52	79262.961	62486.496	83241.898	62777.645	100810.742	111104.891
2.6684	61109.742	57450.781	104285.891	144673.609	62004.684	114492.969	162136.359	120037.164	67867.625	186455.156	103761.156	128902.914	117037.172	71579.914	49066.715	74584.5	74623.492	99380.133	56157.047	42670.789	40189.309	173426.609	34688.156	99873.461	46811.527	100364.602	66996.562	65386.164	42099.664	66190.625	48396.352	103944.578	146586.969	92071.141	73318.453	40455.289	62652.574	107877.008	130711.383	160851.969	44544.891	118041.758	95741.203	92629.039	108240.852	125084.203	120212.047
2.8019	73824.133	82197.75	71031.641	130865.984	87770.125	85197.875	128580.523	114295.242	98338.586	140966.875	136507.344	84792.625	153088.266	94149.016	62247.852	85012.531	97304.117	154689.391	81643.047	46723.781	45688.832	158468.5	38721.215	143991.938	55479.863	104587.711	84704.961	96668.516	53194.871	69067.805	54214.344	110670.258	97425.117	71067.703	87534.594	52844.836	100790.758	90533.359	188858.438	150632.516	61304.242	133954.484	122214.352	73714.453	155624.344	97906.117	85834.93
2.9353	68439.188	95417.727	50089.848	84485.719	85586.102	58935.223	85067.773	76897.266	92489.836	85011.055	112470.797	56069.793	127249.305	89373.297	88846.109	64670.148	87719.531	169646.578	97185.547	54939.906	57938.355	97079.609	48315.41	132275.094	66536.797	75250.211	70470.797	119716.969	75793.711	55595.66	48975.027	80142.086	57582.609	49759.254	76699.469	78533.773	146117.406	60957.754	153128.281	92864.766	95890.57	96742.211	94557.43	51282.863	130263.961	64672.965	57439.785
3.0687	52790.551	77718.883	39348.145	58579.477	59592.922	49441.297	58974.914	56892.012	65956.031	60871.422	72108.352	45331.934	79469.875	59428.562	112497.453	49701.734	63394.688	121226.055	83919.398	49348.914	76328.555	58169.691	66240.555	84504.914	62228.777	55669.914	52338.859	100489.367	106743.781	45618.73	42013.91	55413.195	42035.863	46146.215	56743.891	94711.812	145332.375	48077.602	87163.82	62911.527	136209.891	59873.359	60051.211	40727.258	79902.617	47949.859	46796.82
3.2021	43645.785	57194.996	NaN	47495.82	43714.621	NaN	46057.188	49389.672	46813.957	48416.137	52154.82	NaN	50783.086	44801.391	94824.586	45251.516	47991.652	73132.867	58993.34	44666.262	76009.688	46536.234	76683.297	54338.41	48569.434	46597.023	43694.68	64153.949	100350.828	40588.727	38698.578	43102.09	39304.004	NaN	47046.137	79664.664	97817.297	44803.926	54372.789	49891.441	133662.547	45430.332	46461.367	NaN	51328.785	NaN	NaN
3.3356	NaN	51321.98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44679.547	NaN	NaN	42147.996	39806.684	66240.984	NaN	43498.254	53464.594	48516.508	40328.773	57078.66	44508.953	63941.105	45576.734	41202.266	43862.344	43193.602	46576.609	68816.273	38105.707	NaN	39637.254	NaN	NaN	NaN	56373.676	60489.695	NaN	46004.219	NaN	88483.602	NaN	NaN	NaN	41711.109	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40656.27	NaN	51187.023	NaN	40671.961	46278.734	49282.148	NaN	45745.258	NaN	44879.707	42371.582	39552.391	NaN	NaN	40493.797	47777.312	NaN	NaN	NaN	NaN	NaN	NaN	42361.828	47531.109	NaN	NaN	NaN	68578.492	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44885.004	NaN	39321.305	NaN	NaN	NaN	41145.266	NaN	37272.504	NaN	NaN	NaN	NaN	39310.727	39891.844	NaN	NaN	NaN	NaN	NaN	NaN	38205.18	43137.328	NaN	NaN	NaN	67336.469	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40433.078	NaN	NaN	NaN	NaN	NaN	NaN	39264.059	38453.938	NaN	NaN	NaN	NaN	NaN	NaN	38436.445	NaN	NaN	NaN	NaN	59058.633	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
