x	Y_20181208_15693_1_13g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_4g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_7g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g
0	32910.5625	27812.0625	26906.3672	28321.1055	27295.0781	31307.1094	26241.9082	30189.4512	32137.4766	29704.8359	31353.1074	30527.2559	26418.6133	32963.6445	30256.6621	33769.207	29515.8711
0.1334	34410.7461	27901.0371	28600.0391	27172.7754	26979.1855	31124.8027	28111.6172	31127.0957	31584.2148	30274.7012	31808.25	31189.5781	27485.1758	30321.5117	29770.2734	32546.293	29664.6875
0.2668	35478.0547	27387.3516	27880.0918	26652.5801	28722.1543	29778.582	27708.2051	29904.3516	32184.2812	30874.082	33186.5938	31999.0078	28242.2715	31854.7871	31035.8477	32544.1562	29274.7402
0.4003	33945.7812	29339.4297	26562.6035	26637.6328	27278.7676	30888.9199	27682.4551	30506.7227	33184.4609	29761.6738	32762.6113	31453.4297	27245.8047	29997.8789	31087.5371	33175.3633	28961.9277
0.5337	32426.0273	28989.9727	26236.1582	27360.3965	26778.9512	31419.9062	27191.8945	30626.5977	31172.916	30698.459	32121.3867	32920.9766	27797.623	30159.7227	29869.9922	32425.4805	28728.2812
0.6671	33761.7969	27678.8242	26734.6367	27561.1504	27420.8242	33020.5859	28857.2988	31379.6055	31128.7188	31702.4316	32914.3398	32303.1016	28869.5098	30131.1074	31167.2578	31684.1055	29758.2402
0.8005	34560.7266	29110.5352	26535.7871	26735.127	27760.7383	32856.1523	29440.6895	31212.1113	31537.5352	30824.9395	32392.3008	32500.0078	28096.8809	29578.9121	31549.3633	30419.8848	31096.0625
0.934	32282.7559	29128.7129	26184.6016	26670.8691	29096.3555	32055.3145	28031.7754	31044.2539	30606.4785	30946.6094	33194.375	33204.4492	27867.7324	30738.125	30059.9824	31770.2695	30039.6328
1.0674	34693.1406	28191.2305	27139.0586	25955.6797	27950.5977	30216.0176	29159.0645	30763.5586	31192.9727	30615.1875	33670.9258	30943.3164	27494.9609	30931.8281	31464.5664	33617.7773	29411.582
1.2008	34264.9375	28717.1816	27815.2051	26133.6484	27581.3809	31348.2363	29644.4531	31349.9375	29708.9961	29203.6797	32295.6973	30573.0469	28292.0977	30690.4746	31242.0586	32893.9727	30140.5449
