x	Y_20180130_15100b_1_3g	Y_20180130_15100b_10_10g	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_10_8g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_3g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_14g	Y_20180130_15100b_12_3g	Y_20180130_15100b_12_4g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_7g	Y_20180130_15100b_13_9g	Y_20180130_15100b_14_11g	Y_20180130_15100b_14_12g	Y_20180130_15100b_14_2g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_3g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_7g	Y_20180130_15100b_17_11g	Y_20180130_15100b_17_2g	Y_20180130_15100b_17_5g	Y_20180130_15100b_17_8g	Y_20180130_15100b_18_17g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_23g	Y_20180130_15100b_18_4g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_6g	Y_20180130_15100b_19_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_20_11_1g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_15g	Y_20180130_15100b_20_1g	Y_20180130_15100b_20_8g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_7g	Y_20180130_15100b_22_2g	Y_20180130_15100b_22_3g	Y_20180130_15100b_22_8g	Y_20180130_15100b_23_10g	Y_20180130_15100b_24_10g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_24_1g	Y_20180130_15100b_24_3g	Y_20180130_15100b_24_5g	Y_20180130_15100b_24_6g	Y_20180130_15100b_3_13g	Y_20180130_15100b_3_14g	Y_20180130_15100b_3_15g	Y_20180130_15100b_3_8g	Y_20180130_15100b_4_10g	Y_20180130_15100b_4_13g	Y_20180130_15100b_4_15g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_4g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_5_9g	Y_20180130_15100b_6_10g	Y_20180130_15100b_6_6g	Y_20180130_15100b_6_7g	Y_20180130_15100b_7_12g	Y_20180130_15100b_7_3g	Y_20180130_15100b_7_4g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_14g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g	Y_20180130_15100b_9_9g
1.3342	47319.809	105227.578	55886.379	38572.277	50122.246	62194.992	117521.852	141928.703	51776.07	103530.25	67730.148	91592.906	63801.34	89671.227	48018.801	41111.777	67242.609	94258.578	53113.391	124513.961	121314.297	89035.164	79032.375	57085.824	43819.59	40367.277	101774.297	47592.223	99573.312	77025.438	90522.734	94150.336	136095.812	69538.57	67295.688	61948.02	48410.781	33578.648	40283.188	121474.211	56086.844	109412.984	79386.586	62713.891	118087.344	65914.727	110961.914	73249.68	63245.23	80154.859	73086.562	55896.449	74051.227	72718.969	60930.188	53513.348	58898.238	44890.055	91539.375	68288.164	130155.953	96911.711	77236.758	46967.656	55450.473	52886.711	55198.152	145503.406	82649.625	64275.484	117071.797	118272.836	56029.297	58708.801	64501.738	73330.148	74202.992	78354.867	122936.125	62593.984	64224.598	62209.711	54414.18	44245.535	105641.969	88082.312	95851.055
1.4676	66520.352	96777.547	42275.836	40666.383	75008.414	90755.289	130359.891	122463.148	70796.703	81323.789	105926.047	86982.25	45547.375	66029.086	61870.535	54863.762	53046.996	70400.133	82315.789	111736.938	105729.375	63081.859	125044.094	86595.945	56664.867	48566.289	92023.891	60309.23	135781.312	106357.094	80398.953	145870.594	136587.062	98972.516	94623.141	72066.141	73439.438	37950.5	50149.523	134345.578	68370.211	129480.148	90786.758	57902.367	137147.719	100991.789	119992.297	59074.594	46021.352	124729.234	109346.039	102330.703	125814.391	106880.93	86649.438	82793.609	94543.484	64408.215	92354.664	57614.891	81759.867	68556.422	50830.418	43070.906	73948.133	78459.812	67936.875	146081.797	118604.594	89934.641	136680.062	75653.477	87698.766	85622.992	78487.531	62525.934	50865.051	115543.508	87421.391	93987.992	99135.43	70315.398	50913.254	56189.875	112858.438	100612.242	75788.82
1.6011	102480.516	64269.984	36528.551	46633.547	88817.773	126718.969	89925.641	79600.094	83050.383	57245.496	119755.383	62340.863	NaN	44521.469	93526.664	81009.414	42747.648	50116.824	120757.344	78961.422	69477.359	46567.773	136682.766	116709.844	68081.367	62445.172	64977.648	86323.258	114202.195	101901.711	56903.945	133981.141	88804.242	96102.617	107830.695	57143.234	101775.742	50976.434	68785.031	97429.094	59400.59	103045.406	73200.438	49509.289	102431.211	127536.68	81833.258	47891.133	42570.258	144887.406	100702.203	169466.844	161234.625	113103.477	115648.023	145267.812	143962.719	98274.711	68159.266	44987.059	54119.41	51557.242	NaN	41420.332	90946.211	95323.586	88205.867	94871.25	121799.93	91907.539	103331.352	52693.656	113948.531	111554.812	73785.781	48619.867	40398.281	113019.859	59189.277	115016.281	138807.844	61722.762	NaN	82739.094	84207.023	77537.18	55813.484
1.7345	130934.219	NaN	33886.457	57530.766	79020.82	118482.938	59424.609	56939.285	72198.547	NaN	94553.234	45043.582	NaN	41548.312	126484.172	99990.477	37422.82	NaN	131640.25	66017.727	48936.785	NaN	101695.969	95014.969	58571.664	69825.328	46016.328	107045.703	76092.531	67615.961	47922.871	83431.359	59973.762	69482.93	82172.336	43430.699	93400.789	69011.117	106563.242	59794.562	46467.871	66299.258	49596.254	NaN	66675.086	112356.914	53296.027	NaN	NaN	103551.039	66703	166177.844	129946.82	81037.859	102671.109	202542.688	158888.469	108574.305	50718.25	41202.781	43881.934	NaN	NaN	NaN	74019.328	76876.523	77228.102	59338.516	88722.82	67311.289	64925.051	NaN	101111.148	102850.133	56766.391	40124.648	NaN	80461.711	45879.785	94851.523	127180.133	46440.492	NaN	113057.312	54555.645	54331.355	46670.098
1.8679	105912.695	NaN	NaN	75635.578	57323.574	77420.391	49592.828	NaN	51815.234	NaN	58244.422	NaN	NaN	39157.605	109649.531	81355.609	NaN	NaN	91937.078	56807.961	42155.031	NaN	62486.301	60333.273	44471.238	57186.617	39690.715	90976.102	51154	48132.398	44695.332	52705.152	48098.602	50937.086	53908.867	NaN	65589.609	62593.879	132628.766	44638.066	38595.594	47315.484	41084.898	NaN	48920	72827.648	45968.801	NaN	NaN	63184.754	50595.32	104549.719	74960.609	49846.629	66751.297	171951.406	126345.789	81879.789	42938.73	NaN	40224.039	NaN	NaN	NaN	53793.797	52251.594	56297.805	45348.469	59451.309	50365.023	47172.922	NaN	69129.047	70036.906	46470.184	36986.781	NaN	58120.5	42276.586	66109.156	82928.164	40241.168	NaN	111367.094	NaN	42725.289	44471.879
2.0013	67137.672	NaN	NaN	73821.953	44775.223	52487.535	46475.781	NaN	43917.352	NaN	NaN	NaN	NaN	NaN	72219.062	55610.32	NaN	NaN	59634.512	NaN	37959.051	NaN	NaN	44911.973	38584.012	44737.832	38152.02	63073.57	NaN	NaN	NaN	41693.441	NaN	44880.387	46937.102	NaN	47161.121	49392.559	103286.969	39023.934	NaN	NaN	37282.137	NaN	43574.293	53812.68	42989.285	NaN	NaN	47406.926	NaN	65180.23	49622.48	37779.203	47972.078	112032.633	93955.25	55840.938	NaN	NaN	NaN	NaN	NaN	NaN	42280.363	43066.781	42765.66	NaN	49600.461	NaN	42723.152	NaN	49732.992	50315.145	41906.855	NaN	NaN	49042.312	NaN	49520.293	55667.363	NaN	NaN	72481.641	NaN	NaN	NaN
2.1348	51900.648	NaN	NaN	56480.25	39629.195	45090.578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52971.234	43090.473	NaN	NaN	47480.562	NaN	NaN	NaN	NaN	NaN	35784.137	37445.355	NaN	48433.785	NaN	NaN	NaN	35966.547	NaN	NaN	41257.711	NaN	38075.828	41563.539	65747.195	NaN	NaN	NaN	NaN	NaN	NaN	45682.777	NaN	NaN	NaN	42252.293	NaN	53498.559	41881.766	NaN	NaN	77016.422	70158.945	45233.582	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38251.758	NaN	NaN	44898.051	NaN	NaN	NaN	NaN	42534.676	NaN	NaN	NaN	44252.102	NaN	NaN	NaN	NaN	NaN	51143.211	NaN	NaN	NaN
2.2682	42522.66	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44511.203	37069.676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36670.504	35026.027	NaN	44388.855	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34535.141	46958.254	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39469.984	NaN	NaN	57571.836	51603.383	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43291.398	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33884.172	39465.211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46144.25	41955.863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39593.582	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38414.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40965.379	38384.832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38129.348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
