x	Y_20181208_15794_1_13g	Y_20181208_15794_1_17g	Y_20181208_15794_1_19g	Y_20181208_15794_10_14g	Y_20181208_15794_10_2g	Y_20181208_15794_10_4g	Y_20181208_15794_10_7g	Y_20181208_15794_11_10g	Y_20181208_15794_11_11g	Y_20181208_15794_11_7g	Y_20181208_15794_11_8g	Y_20181208_15794_11_9g	Y_20181208_15794_12_12g	Y_20181208_15794_13_10g	Y_20181208_15794_13_11g	Y_20181208_15794_13_12g	Y_20181208_15794_13_15g	Y_20181208_15794_13_2g	Y_20181208_15794_13_7g	Y_20181208_15794_14_1g	Y_20181208_15794_15_4g	Y_20181208_15794_15_7g	Y_20181208_15794_15_9g	Y_20181208_15794_16_12g	Y_20181208_15794_16_15g	Y_20181208_15794_18_5g	Y_20181208_15794_19_11g	Y_20181208_15794_19_20g	Y_20181208_15794_2_1g	Y_20181208_15794_2_3g	Y_20181208_15794_20_11g	Y_20181208_15794_20_2g	Y_20181208_15794_20_6g	Y_20181208_15794_21_4g	Y_20181208_15794_22_13g	Y_20181208_15794_22_1g	Y_20181208_15794_22_7g	Y_20181208_15794_22_8g	Y_20181208_15794_23_11g	Y_20181208_15794_23_15g	Y_20181208_15794_23_18g	Y_20181208_15794_24_11g	Y_20181208_15794_24_12g	Y_20181208_15794_24_3g	Y_20181208_15794_24_4g	Y_20181208_15794_26_10g	Y_20181208_15794_26_17g	Y_20181208_15794_26_5g	Y_20181208_15794_26_8g	Y_20181208_15794_27_14g	Y_20181208_15794_27_1g	Y_20181208_15794_29_4g	Y_20181208_15794_29_7g	Y_20181208_15794_3_10g	Y_20181208_15794_3_16g	Y_20181208_15794_3_17g	Y_20181208_15794_3_4g	Y_20181208_15794_3_6g	Y_20181208_15794_3_9g	Y_20181208_15794_30_5g	Y_20181208_15794_30_6g	Y_20181208_15794_30_7g	Y_20181208_15794_30_9g	Y_20181208_15794_4_1g	Y_20181208_15794_5_10g	Y_20181208_15794_5_16g	Y_20181208_15794_5_9g	Y_20181208_15794_6_14g	Y_20181208_15794_6_1g	Y_20181208_15794_7_15g	Y_20181208_15794_7_16g	Y_20181208_15794_7_2g	Y_20181208_15794_7_6g	Y_20181208_15794_7_9g	Y_20181208_15794_8_15g	Y_20181208_15794_8_7g	Y_20181208_15794_9_4g	Y_20181208_15794_9_6g	Y_20181208_15794b_1_4g	Y_20181208_15794b_10_3g	Y_20181208_15794b_2_7g	Y_20181208_15794b_2_8g	Y_20181208_15794b_3_4g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
1.3342	11240.874	12690.7461	15674.5771	16718.6621	11262.5449	13206.1807	12272.5771	13533.2061	13740.6143	11462.2246	11976.6299	14345.168	11069.8096	13398.916	13162.5176	12793.4141	11728.9961	14068.3057	14420.0752	12537.0039	13364.6729	17654.9766	12892.249	13277.5879	11758.9531	14340.5293	11566.7822	12055.9863	14125.5215	15198.0625	16405.8184	11487.6328	11231.7812	9925.9541	13319.876	12110.2295	10836.4492	11774.2021	12577.4863	11768.0547	12778.9893	16378.2637	16432.5352	12870.46	12774.5137	13338.6143	11784.4795	14160.6182	12116.1211	17544.9141	16656.8164	15500.1465	13345.1523	17466.5684	12395.2402	16259.5098	12567.1934	13437.0859	16154.4531	13371.6514	14544.9268	13477.29	14669.6406	13330.3037	12285.1826	15959.2188	13185.2949	11608.6299	13960.1533	12220.6367	12443.7686	13352.3633	14597.4766	11334.8887	12759.7402	14344.415	16540.5195	12214.5938	12817.0146	13087.9932	14916.1104	13208.499	15479.7754	11837.6152	13337.2617	11139.7363	12840.668
1.4676	10453.3008	12733.9736	13708.8262	15560.3672	11201.9434	12863.1836	12634.3936	14520.0244	15681.4746	12379.9082	12709.4883	14073.876	10712.2852	12449.8105	14324.7832	12836.7012	12477.3594	13782.1006	14403.4844	11491.7676	13452.5791	16707.4473	12998.3633	13252.1709	12348.8975	14730.959	11041.4053	12398.8057	13236.8135	15875.3779	15859.0674	11369.6045	11176.418	10328.6553	12715.3613	11727.6045	10560.8516	12191.2051	12603.8242	13123.9482	12872.7529	15768.1992	15790.0391	12503.2266	12894.9131	12748.2129	12541.3418	14236.4619	11789.0518	18171.8613	15860.7529	15212.9268	12759.8936	17870.5234	11639.1914	16398.1895	12588.251	13440.3369	14550.1387	14403.4795	15213.5186	13396.6846	15224.8701	14018.8047	12787.249	14489.5488	13495.7832	12796.3184	13333.9092	12690.0215	11752.918	13556.6006	14105.6934	11132.1162	13031.1855	13103.1025	15824.04	11416.25	13846.6895	12870.6553	15967.2236	13372.7256	15565.459	11854.4824	12452.9365	11609.3223	13112.291
1.6011	10810.1445	13052.8945	12965.2578	15150.8408	11969.8076	12998.7988	13592.2158	15081.8066	15498.9043	12244.7783	12849.6641	14077.1514	10949.6396	12578.749	14071.957	12236.3809	13409.6338	14041.5938	13767.9844	11219.5625	13510.083	16335.6631	12691.2422	13063.4707	12769.9297	13537.2617	11172.9404	13091.4014	12232.9951	16432.3633	14830.9521	12019.5762	12394.3271	11291.6807	12540.1367	11769.1279	10769.7588	11581.3164	13384.4004	13685.3887	13159.3281	14284.1865	15359.0986	11559.1064	12689.8809	12847.1934	12822.2979	14938.2002	12095.2705	17656.8223	15696.3154	15991.0508	13065.5801	17450.0605	12237.7168	14787.5518	12328.4072	12262.4453	12832.5479	14096.7588	15377.2354	14296.71	13998.8975	13433.6016	12663.1436	13931.3379	14556.0332	12678.1768	13230.2227	12912.8906	12510.2734	13816.3848	14298.1895	10591.2637	13540.3447	12858.3379	16255.0986	11678.1572	13920.999	12469.4287	15088.9902	13411.9707	16694.998	12219.7578	12238.3945	11139.709	12647.0898
1.7345	11234.7451	12746.5215	13226.125	14804.1396	11815.9404	12908.0029	14826.8486	16215.1865	15475.8105	12235.1572	12110.7754	14232.1514	11449.0176	12569.167	13927.9395	12203.582	14176.0635	13906.3613	14736.1465	11649.8848	14533.1787	14963.9639	12437.8438	12491.4609	13978.4395	13298.6455	11714.9785	12144.7549	12105.2744	16376.3887	15304.6592	12058.1836	12989.2646	11407.7402	12147.1279	12138.1182	11170.4678	12731.9756	12298.0664	13475.2207	12270.0059	13791.3623	14462.7715	11060.5762	12539.1289	13328.1445	14944.4658	17034.0977	12332.7744	15622.3232	15658.0352	14174.3252	13833.3613	16771.9336	12916.6934	14638.5791	13085.2422	12197.5303	12859.9092	13870.7695	14041.4727	15054.958	12390.0996	13487.2744	12880.6152	12875.5723	15418.583	11770.4229	13218.7617	13577.8359	12609.0732	15156.6348	15125.1865	11121.6289	13095.7568	12979.3594	15550.0479	11286.3867	14375.3955	13262.1094	13420.9873	13176.7607	15863.29	12891.2988	12827.2139	10645.7236	12744.1846
1.8679	10991.9521	12280.8525	13112.335	14658.0723	11475.7139	13477.1416	13556.1074	16398.9961	16150.6221	11771.7754	12337.4111	13637.7842	11321.2305	13631.1758	13570.4424	13931.5859	15893.4355	13995.7246	14562.0918	11161.3057	15501.0547	14582.4131	11996.6123	11134.124	12769.7852	13368.2578	11921.6953	13021.9277	12256.5801	15296.5166	15431.7461	12902.1328	12937.1699	11925.4326	13380.543	12598.5986	11601.5928	12903.3701	13148.623	12666.0771	11980.8027	13672.873	13604.6953	11004.3281	12984.8047	11731.8994	15051.0703	17010.9219	12800.2959	13768.0156	16177.7119	13381.6309	13650.1572	14633.0488	12937.5771	14200.3789	13850.6875	12032.5352	13573.3555	13002.0449	13201.6084	15430.6133	10665.9336	13874.9092	12269.3311	12800.7188	14510.1318	12091.0059	12688.1533	12780.7578	12104.2998	15299.5918	15282.082	11556.1982	12924.873	12264.9219	15935.9307	12407.9131	14112.4932	13564.9424	13190.9072	12820.7324	15191.6211	13162.4395	12759.5508	10232.5898	11286.8916
2.0013	11333.4961	13049.4561	11919.4492	14884.4814	11995.6455	13754.8887	12737.8184	14595.6387	16265.8408	12138.2373	12645.208	12718.4365	10845.4883	15151.2314	13923.7314	13609.25	14847.2559	14003.3506	13858.9727	11189.8115	15998.3135	13554.1846	11693.5488	10986.1406	12373.1152	13910.5195	11447.4668	13476.3135	12168.5488	14663.2295	15408.2227	13861.6484	12884.5996	12253.8223	13744.1094	13894.1543	11529.8438	13137.0957	12416.0732	12160.2578	11491.6719	14718.9053	13758.9561	10926.8984	13402.2764	11849.7959	14731.9326	16299.7754	12898.0225	13229.8779	17172.6035	13039.8115	12984.2148	13315.4619	11675.7686	14446.3359	14300.5186	11708.3066	13624.8516	11982.4209	12415.1641	15070.2705	11167.293	13836.8389	12737.5938	13206.6289	13479.668	12550.3682	13250.1875	13253.9648	11346.1025	15699.7754	13804.417	11835.2666	13747.1162	12020.0059	15053.8457	11888.2275	13776.9785	13190.4902	13886.2539	12319.2607	14534.4814	12420.6475	11525.5439	10019.8115	10630.8516
2.1347	11734.8271	11475.9717	12132.4248	15360.5576	11914.333	13160.5361	13412.291	13604.9619	15573.29	11793.4932	12588.4443	11855.1387	11096.9932	16639.1836	14535.3193	12697.8145	13457.1992	14461.125	13798.2334	10730.1582	14194.6807	13188.6758	11027.1094	11191.124	12454.792	13483.5879	11277.0293	13033.1641	12293.6904	13344.3281	15779.2646	12843.7998	12505.249	13466.209	13673.5195	14084.9619	11039.2891	13013.2637	11264.7725	11925.8389	11859.3242	15639.3184	14368.5693	11387.916	12643.6367	11794.5967	13458.2275	15073.4395	12434.7354	13383.2139	17692.707	13092.958	13431.6504	11729.6543	11514.8193	14248.0527	15126.0977	11356.0635	13755.8691	11939.0996	12229.667	14511.0469	11057.4541	14355.083	13389.1289	13371.459	13178.1719	13687.1084	12310.2285	13398.4844	11234.4424	16968.5762	13157.1973	12226.5498	13172.0449	12184.7705	15447.2959	12786.1357	13743.3086	13137.3359	14105.3799	11566.8359	13798.3926	11824.6953	11881.9971	9935.5342	11059.2422
2.2682	11984.707	12328.2842	11794.9111	14676.2383	12434.6992	12778.7715	13341.5479	13278.3818	14747.124	12063.8926	12142.334	11812.7471	11021.6338	16760.0938	13906.0781	12742.8311	12795.627	15670.5654	12906.4785	10667.1074	13190.7324	13053.9033	11249.2783	11099.9648	12956.29	13346.0605	11630.0859	12478.625	11629.9844	12178.0205	16118.5576	12914.4404	12013.3506	13705.1943	13767.1094	13591.1191	11300.9912	12359.4189	11629.1562	10886.0225	12425.2637	15459.4033	15146.541	11448.9277	12055.9756	11809.2031	12578.9482	15010.5928	12068.2705	12214.792	16329.2891	12897.2744	13913.9121	11355.2021	11956.4443	12701.5869	16547.1719	11002.4902	13169.2715	11539.6064	12133.8916	13812.793	11077.8457	14686.1016	13747.0059	13745.917	13213.5088	14143.5996	12618.04	12395.3311	10637.4346	16850.0508	12777.6494	12299.2969	12335.7676	12155.7168	14915.4854	12813.8096	13153.6484	13238.8877	15203.4365	11799.417	12708.1211	12007.252	11779.5215	10605.2783	10482.7969
2.4016	12894.8027	11528.2148	11560.3965	14300.3838	13665.7695	12278.4268	13663.8291	12282.332	14129.5371	13115.3936	11865.3281	12433.7383	10853.1875	16239.1504	13387.6221	12753.917	12451.8145	15400.626	13389.0791	10753.8066	13094.7461	12934.668	11015.6406	10955.9756	12964.1367	13752.7285	12189.3389	12609.5957	11727.1475	11916.9492	16167.5244	13966.5244	11817.582	13263.3662	12712.6699	12636.8076	10704.8301	12747.9824	10876.8623	10855.9014	12982.0938	14387.1504	14303.4658	11777.8379	11914.8496	11756.8467	12109.4902	14202.8525	12284.8896	12268.457	14009.043	12672.8916	13849.1836	11105.7246	11018.6348	12259.4834	17874.0547	11155.4678	12504.877	11517.4678	12197.0576	13242.0957	11103.8457	14372.1699	13771.4365	13694.2725	12222.5342	14517.3984	12469.2568	12657.2471	10913.1211	15697.4795	12531.0225	12065.4482	11726.6514	12230.9004	13598.5801	11754.209	13180.8428	13255.8877	15239.333	11968.3525	12320.1377	12101.7627	11837.459	10543.584	11129.8369
2.535	12895.0879	10736.1816	11717.7324	13151.248	12377.4316	11843.8008	13267.2676	12136.4092	13295.1455	12190.1562	11694.5635	12584.8145	11739.6953	15668.6211	13256.6924	12887.3555	12870.3916	14615.8281	13770.9297	10433.6934	12613.1357	16446.168	10903.4482	11097.2676	12667.2012	13655.2188	12115.498	11915.457	11739.9717	11554.8887	16561.3574	13657.8447	11253.9932	12712.627	12893.6299	11878.5977	10936.1699	12488.0703	11024.6172	10923.5752	12724.9863	13544.8379	12957.1357	11597.5078	11634.373	10697.0879	12182.7783	14120.2646	11999.8115	11908.5088	12940.8311	12315.3389	12684.7871	11481.4385	10973.4121	11763.4824	16795.6797	11648.3418	11839.4688	11996.7217	12309.6621	13176.4346	11646.7305	14803.2881	12298.4287	15328.6172	11630.4844	14071.7363	12598.0791	12267.6436	10499.0742	14458.9766	11967.1377	11214.3232	12092.7227	11465.8379	13760.4004	11090.1465	13436.2393	12371.4346	15400.5518	11750.8477	11942.2783	12007.8203	13009.2246	10077.1875	10429.3838
