x	Y_20180224_15100_10_2g	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_15_4g	Y_20180224_15100_17_9g	Y_20180224_15100_20_10g	Y_20180224_15100_22_4g	Y_20180224_15100_26_1g	Y_20180224_15100_28_10g	Y_20180224_15100_28_8g	Y_20180224_15100_29_1g	Y_20180224_15100_31_3g	Y_20180224_15100_33_3g	Y_20180224_15100_4_2g	Y_20180224_15100_4_7g	Y_20180224_15100_9_10g
0	13769.67	12900.784	12721.199	13591.2	13593.561	12166.579	14288.809	12091.736	12644.372	16089.889	15580.616	13755.734	13878.922	16694.432	11805.301	16049.767
0.1334	15124.768	13323.508	14198.068	14919.401	16651.441	13061.604	15626.593	12825.608	14079.64	16890.373	16110.973	14582.959	14933.373	16446.125	12871.478	17384.514
0.2668	17145.871	15783.13	15976.762	17211.576	20549.238	15561.865	17543.658	13112.42	16736.75	18897.846	17114.152	15635.281	15974.369	17205.77	16396.857	21694.672
0.4003	19268.979	16738.283	23786.041	20799.016	24183.842	17838.619	19521.021	14360.309	19212.41	22764.975	19165.16	19261.924	19189.135	19309.408	19870.625	25996.65
0.5337	23062.377	17448.133	32251.861	19933.76	23531.42	16751.812	20966.965	16193.915	19721.795	21748.594	17860.018	21080.621	22298.646	22282.02	21622.189	27533.922
0.6671	25036.068	17476.604	34044.625	19168.029	20391.748	16085.909	19266.957	18237.322	18639.199	20488.207	17016.801	19830.551	22155.516	27372.732	20038.902	24802.445
0.8005	24411.248	17334.811	28968.201	17875.766	19416.215	15421.985	19358.307	17941.201	17806.957	20390.203	17144.416	18427.26	19995.115	25981.154	18233.246	21920.029
0.934	21522.336	17769.957	25684.725	18389.123	18946.971	15121.344	18134.945	18075.521	17339.871	18681.539	16056.965	17602.516	18891.605	23898.229	17913.549	19938.881
1.0674	18808.096	18565.609	22907.908	17278.982	20051.066	15363.321	18072.086	16711.258	17601.957	17512.854	15982.584	18112.547	19011.631	23050.875	18941.996	21856.891
1.2008	18012.857	18506.873	24040.873	17176.611	19588.963	16046.155	18127.787	16166.834	17248.924	17785.084	16704.006	17777.455	18960.85	21087.654	18481.65	22629.699
1.3342	17595.172	19466.895	24443.928	16976.715	18496.77	14954.254	18240.012	17449.877	18701.412	17555.801	18098.406	18805.146	19604.617	20355.721	19023.242	22350.65
1.4676	17328.332	18390.686	26673.33	17276.6	17335.473	14790.755	18970.273	17558.986	19029.586	17880.727	18653.113	19873.098	19440.08	19482.463	17394.244	21364.803
1.6011	16805.857	18641.666	24636.568	17766.613	17748.75	14680.222	18497.645	16375.105	18214.625	17863.877	20463.584	19190.199	19114.488	18342.291	16720.195	22767.373
