x	Y_20180224_15102_10_4g	Y_20180224_15102_11_11g	Y_20180224_15102_11_6g	Y_20180224_15102_13_5g	Y_20180224_15102_14_1g	Y_20180224_15102_15_15g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_6g	Y_20180224_15102_16_3g	Y_20180224_15102_17_6g	Y_20180224_15102_19_4g	Y_20180224_15102_22_5g	Y_20180224_15102_25_14g	Y_20180224_15102_27_10g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_7g	Y_20180224_15102_2_6g	Y_20180224_15102_3_5g	Y_20180224_15102_4_5g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_6_1g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_7_2g	Y_20180224_15102_8_5g	Y_20180224_15102_9_2g	Y_20180224_15102_9_3g
0	34214.785	37442.691	36978.656	46492.25	33563.977	37260.109	34741.328	36992.871	32962.113	37837.723	31679.969	33138.41	35692.25	39097.625	37594.18	36907.82	79207.758	36004.566	36956.562	38418.273	36657.508	36380.301	35388.508	36662.945	38302.961	32131.09	37104.262	38718.57	34876.453
0.1334	35852.035	39141.508	37605.672	42705.641	34546.625	37740.934	35184.77	37155.773	34101.371	37177.074	31582.006	32278.422	34618.375	39632.57	37939.809	37812.961	86588.945	38063.215	36572.594	39324.449	39533.121	37983.309	36909.371	36828.945	38772.215	31873.361	36234.633	40780.941	34414.922
0.2668	34358.559	37312.445	36694.629	40814.625	32741.291	36460.477	33004.176	38051.344	33913.227	37957.023	31198.371	31550.678	34171.922	37658.801	39132.594	37637.23	76524.57	39135.578	36211.598	39734.211	41381.082	35630.918	33812.496	36929.008	37009.523	32891.133	36759.457	40850.273	34825.168
0.4003	33224.641	38455.426	37881.617	39753.219	33541.172	35725.852	34975.191	35739.301	33413.59	36990.461	32119.793	32649.818	36027.719	37718.703	37610.355	36661.027	58590.848	38409.016	36079.547	40223.301	41226.797	35342.293	37398.625	37560.574	38553.41	32934.309	36779.648	38811.68	35526.746
0.5337	34567.855	37756.633	37644.09	38361.477	33990.359	36135.691	35268.727	36140.719	33621.906	36541.281	31455.285	33136.434	35150.859	37014.711	37438.082	37235.73	48222.238	38681.797	35300.879	40123.141	42889.734	36870.684	37057.242	37032.621	39821.641	33741.918	36371.84	37287.441	34884.547
0.6671	35094.551	38290.434	37766.363	39195.406	34698.523	35577.887	35291.684	38119.914	33964.141	38331.16	32609.385	32601.912	36455.586	36947.363	39039.129	37035.523	43822.125	40250.242	34689.301	39679.43	42825.242	36359.672	37873.566	37746.785	38180.164	32116.408	35556.789	38563.961	35587.824
0.8005	35727.047	39397.758	37393.789	37622.895	35447.211	35336.848	34374.93	39482.922	35050.559	38037.16	34335.547	32679.98	36347.711	36554.59	39451.906	36483.445	41662.586	41196.59	36720.195	39785.332	43529.117	36883.797	36190.121	38111.492	38212.621	34540.316	35448.84	37781.656	35665.52
0.934	36897.34	38253.445	38677.141	37952.719	34988.914	34139.488	35064.234	38101.238	36065.914	36981.852	34851.617	33397.156	34439.16	38139.492	39616.184	38297.656	41409.953	41437.469	36895.242	40070.625	41503.055	37854.801	35736.484	38121.613	38855.488	35377.672	35683.258	38450.996	36462.254
1.0674	36428.738	39092.402	37603.422	37547.938	34956.148	32870.793	35349.41	39657.148	36290.32	37581.734	34229.211	34648.781	34771.766	38380.559	38078.055	37266.637	40023.496	43020.863	36410.844	40338.246	42031.672	38634.523	36584.676	39149.379	38888.039	34335.883	36163.621	41396.211	35821.766
1.2008	35776.496	39102.801	38692.59	38027.531	34905.352	33295.492	36251.258	40381.18	36260.008	39466.281	34378.934	34440.844	35597.031	37924.391	37950.668	37386.48	41661.824	42870.805	38308.77	40255.102	40754.879	38132.227	38023.137	39168.418	38644.098	33283.453	37500.27	41112.789	35811.84
