x	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_3g	Y_20181208_15694b_2_4g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_1g
0	14025.334	11815.127	12103.3975	10293.2861	12137.9971
0.1334	14811.126	11598.5068	12869.3271	10598.9844	14089.0205
0.2668	15548.3242	11134.877	13246.6592	12151.2568	16432.7637
0.4003	14521.7656	11701.1729	14530.1797	13842.999	17517.8301
0.5337	13443.4609	11865.9199	16559.0781	15842.0146	15344.8623
0.6671	13021.8057	11820.877	18120.3223	18463.5938	13604.9941
0.8005	12410.4297	12004.0283	17851.0566	17208.1816	14115.0273
0.934	13157.5459	12552.9502	16950.5293	14827.0322	14270.2471
1.0674	13042.3096	11627.6387	15431.1641	13810.1543	13758.4873
1.2008	12553.5938	10864.9404	15543.2656	14685.0977	13474.1982
1.3342	12817.0146	11231.1387	14454.4053	13337.2617	12748.3906
1.4676	13846.6895	10803.6562	14923.0635	12452.9365	13101.0322
1.6011	13920.999	10033.3877	15121.4678	12238.3945	12256.9141
1.7345	14375.3955	9803.4004	14719.1064	12827.2139	11747.2725
1.8679	14112.4932	9744.7979	13075.7393	12759.5508	12390.9316
2.0013	13776.9785	10205.9023	12532.8574	11525.5439	12672.7666
2.1347	13743.3086	10546.3916	12369.1172	11881.9971	12355.7686
2.2682	13153.6484	10610.0576	11484.127	11779.5215	12899.5947
2.4016	13180.8428	10427.8184	12095.4004	11837.459	13254.5439
2.535	13436.2393	10886.5107	11997.1523	13009.2246	12623.0039
2.6684	12509.2881	11221.5986	12219.4795	12052.959	12191.4268
2.8019	12900.208	10856.2676	11821.4531	11809.334	11180.917
2.9353	12362.1162	10985.0752	11111.7168	11632.9258	11093.5674
3.0687	12857.4824	11088.8115	11910.6006	11282.0586	10670.3174
3.2021	NaN	10417.2246	11245.0039	11743.6787	10865.6367
3.3355	NaN	10642.0146	11954.5479	12657.2744	NaN
3.469	NaN	10690.7979	11870.9541	12170.0479	NaN
3.6024	NaN	NaN	12034.7471	12187.3115	NaN
3.7358	NaN	NaN	11970.8809	11982.0996	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
