x	Y_20181208_15100_1_3g	Y_20181208_15100_10_3g	Y_20181208_15100_11_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_4g	Y_20181208_15100_13_6g	Y_20181208_15100_15_1g	Y_20181208_15100_15_3g	Y_20181208_15100_15_4g	Y_20181208_15100_15_6g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_2_3g	Y_20181208_15100_21_3g	Y_20181208_15100_23_2g	Y_20181208_15100_24_1g	Y_20181208_15100_25_1g	Y_20181208_15100_26_1g	Y_20181208_15100_27_1g	Y_20181208_15100_3_5g	Y_20181208_15100_5_13g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_7_7g	Y_20181208_15100_8_1g	Y_20181208_15100_8_4g	Y_20181208_15100_9_1g
0	13042.3926	13731.7861	13293.6006	13802.5762	12193.7305	13428.8467	13638.5713	11959.6846	11525.2441	12703.2471	10708.5977	13071.1016	10053.0107	12889.9023	13750.6338	11921.5176	13192.4062	13342.3633	13531.3223	13392.5225	11573.2871	11703.2256	14307.8643	12652.6133	12040.8438	15163.2197	13417.5938	12296.2197	10893.8037	11808.8994	11524.1406
0.1334	13451.8027	15030.834	13745.125	14665.1191	11859.3184	14395.042	13964.9082	12699.7627	11609.3467	12647.4346	11256.6338	13369.0479	10528.042	13783.7588	14743.4453	12475.8818	13989.7637	13060.0762	14082.6982	13378.8896	11823.4453	13109.6299	15211.6885	13125.751	11950.2158	15768.7549	13338.9385	12710.6865	12008.0771	13516.3604	11815.5605
0.2668	14884.7119	16679.3359	14870.4287	16078.3887	11922.5176	16764.207	14694.3174	13095.0664	13847.8203	14640.5664	11527.8125	13904.5635	11943.2412	15308.2012	16571.9863	14170.1973	16223.3428	13261.4951	15764.8848	13683	13253.0869	15527.8184	16946.6543	14750.8779	12974.2266	16721.6426	13609.668	14831.5674	12936.7041	14855.3779	12740.0674
0.4003	15272.5918	19846.375	15735.8535	19774.3809	12359.1592	18981.7852	16492.748	13211.0879	16033.8193	17063.8496	12555.9668	14703.1123	14049.6758	20053.1973	20834.4121	16393.5195	20472.2656	13624.7812	18021.2969	15823.3994	16464.5352	19675.6465	21333.8945	18144.209	13037.0557	17815.2363	13856.5469	16533.707	14433.335	17802.0254	12550.1641
0.5337	17257.7754	24054.1211	18786.623	26608.1426	14013.0088	20143.4688	20677.2656	13959.5244	18621.9766	19006.6406	15298.2627	17473.793	17023.8105	23111.2012	20908.7129	19682.7207	24786.8633	15649.0664	20594.7539	18850.6016	17877.8008	22133.5273	24336.9258	21699.043	17157.2754	18702.1309	14215.6738	17524.4316	15977.459	19278.2617	12451.1064
0.6671	16601.3633	26553.5449	21520.3125	32679.7383	17107.3418	18586.5234	26249.0352	15778.8643	17123.6055	18392.1875	15810.2344	20397.9199	16272.4609	21865.6074	20916.4707	20318.5762	23792.5273	17967.7148	21825.0723	23106.9805	15757.1445	21554.8887	20533.1934	22568.0488	19957.3164	17606.7148	16528.5938	16075.0762	16287.0146	18208.6133	14432.3408
0.8005	14397.5977	23186.043	20213.5352	29116.4824	18201.0352	16187.1621	26829.2305	16618.8789	17544.2578	15322.1846	15050.249	19023.5527	16502.9043	17646.6211	21124.2031	16208.9072	21145.1152	19385.5195	21027.3633	21949.0879	14177.5918	19069.8438	17780.7383	18202.3574	23521.6426	14566.3691	20347.1406	14797.1318	16427.8555	15563.2285	16059.2646
0.934	14467.3037	19220.2109	18932.0449	23754.9902	17934.1582	15505.4639	23573.9707	16636.2949	17296.541	14753.9033	14228.4473	16964.5566	16469.3359	16403.6074	19440.8574	17674.8203	17938.4199	19963.8926	19876.541	18495.3535	14357.959	17091.1855	16838.7871	16578.6582	22653.293	15575.7266	21274.6484	13825.6807	15822.624	15646.1855	17409.4863
1.0674	13980.9287	17226.8633	17424.4316	19564.2422	17947.4434	14697.3926	19238.5957	14397.8018	16971.9688	14690.6211	13577.1377	16627.709	16145.2373	16826.5078	17901.2207	16605.584	17033.7109	20507.5879	17613.291	17164.418	14562.665	16637.4023	17477.459	16415.3047	20982.0996	15947.7754	18311.3301	13043.3945	14735.9902	16003.96	15129.2539
1.2008	13631.1611	16804.0625	15428.3301	17223.6055	15471.707	14862.4648	18772.8613	16410.9727	15227.3115	15462.7959	13620.3848	18393.2207	15745.1855	15454.9902	15919.832	17222.0352	16695.2305	19251.4961	18420.5273	18769.3496	14541.1348	19658.0059	16991.4023	16233.0225	18422.8184	15571.0254	14344.6787	13046.4971	13742.75	16264.6631	14697.8916
1.3342	13502.2617	17737.4375	14455.5225	16797.2441	16105.4014	16619.5078	19136.0625	15990.0771	14669.2871	16155.2227	14408.5107	20492.1973	15798.127	13662.6162	15230.4111	17310.1621	16191.1133	18078.7051	17295.209	21763.5938	14232.5713	21880.252	16529.1562	15705.707	16611.8574	17304.0293	13487.3398	13275.082	13546.2764	17960.4336	15673.0264
