x	Y_20180212_14590b_1_3g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_3g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g
0	36300.645	35847.152	40758.324	35633.102	36945.051	30529.967	40485.27	34872.238	37415.621	42047.309	32887.469	34927.414	32059.566	37859.602	38066.301	35658.988	40189.668	35134.066	41927.527	38077.074
0.1334	37478.16	36662.035	39527.562	36252.168	37105.164	30407.211	39602.816	35123.84	38766.426	40817.82	32494.057	35521.535	33250.484	38608.457	40859.012	35533.312	39503.926	36454.793	42949.492	37155.887
0.2668	36485.352	37307.434	38507.695	36553.176	37449.355	32589.539	39480.852	36251.637	37441.359	42419.09	33865.434	33871.59	32802.297	39514.684	39302.434	34569.312	40238.312	36104.887	43434.891	37290.148
0.4003	37132.312	36310.898	39117.738	36575.02	37857.992	32187.719	39852.906	37538.586	37305.531	43425.754	34636.598	35324.926	30646.9	38769.223	43310.414	34388.977	40602.508	35971.801	44480.977	37952.027
0.5337	37383.723	36164.574	40853.398	36354.328	37698.254	33196.047	40770.945	37402.516	37185.289	40559.895	33885.457	36109.48	33278.109	38634.152	41078.965	33127.438	39933.543	36301.926	42142.352	38356.973
0.6671	35949.73	36378.664	39791.125	36322.758	37886.082	34456.648	40391.227	38684.961	38427.449	40463.301	33072.48	35418.695	31775.604	38374.727	40589.219	32767.574	39942.156	34604.406	42713.316	38864.422
0.8005	36089.246	34314	39449.207	36669.543	38273.094	33577.41	38490.527	36358.105	38014.605	39947.145	34760.664	35262.453	31771.035	36293.008	40575.039	32668.404	40640.512	33614.164	41838.148	38195.285
0.934	36294.941	35757.414	40275.445	38884.25	39446.77	31947.998	37929.367	37995.945	39193.191	41278.125	33340.328	37249.074	31950.824	38315.102	38550.297	33559.527	40178.098	30715.617	41601.672	40163.684
1.0674	35713.148	36270.777	40505.102	41082.414	38507.047	32242.488	38980.141	37898.754	39286.895	39966.531	34346.141	36260.176	31931.756	37152.887	41064.84	33765.91	39766.406	33378.176	41294.32	38097.344
1.2008	38439.887	35295.875	40511.637	43174.535	38754.09	32623.506	38442.082	37705.48	39585.066	40387.758	34819.723	37147.402	32335.568	41532.668	40262.672	34439.68	38769.043	35279.715	41329	38192.551
1.3342	37739.098	38007.824	42027.758	42187.805	38824.238	32521.928	37516.477	37070.152	38950.688	40444.75	34489.586	36976.113	33694.723	40675.797	42745.883	34266.418	38950.777	35147.84	43094.707	38361.121
1.4676	38337.465	40483.551	44102.09	42255.059	38664.957	34279.137	40489.094	39778.121	41063.746	40354.238	34785.332	38084.215	35720.203	45567.277	43129.719	32836.266	43100.762	38209.496	45560.309	38778.812
1.6011	39622.875	51722.832	56357.82	43496.242	39230.066	36039.492	42920.105	40646.855	45818.176	42211.934	35698.812	38739.793	41917.273	54114.199	48154.371	34733.02	45277.672	36553.336	47537.645	41047.406
1.7345	45292.195	71249.211	84844.875	50016.824	41889.441	37815.473	47724.312	42372.121	63543.555	50073.84	35283.809	43655.527	56828.871	73648.859	62042.16	36695.008	54961.859	35624.547	59406.484	49708.129
1.8679	59892.223	105267.297	140185.344	68345.188	44031.52	45859.383	56560.77	47627.715	93883.805	68071.484	38369.363	52628.844	90688.094	123771.414	86022.539	39982.316	82515.797	40019.191	81271.75	63548.621
2.0013	84251.047	118656.828	157566.156	94589.594	49391.406	66321.219	82826.109	60741.473	120323.977	93581.906	47470.91	84726.109	109861.789	204456.625	130143.719	43172.172	119633.773	44314.754	121554.039	102007.539
2.1348	98755.508	90072.266	108616.094	97420.43	73612.078	107953.984	99852.227	89939.867	100494.43	101414.617	70893.305	146572.688	93857.945	216939.641	145179.844	58151.113	122780.172	58753.969	140775.453	135017.297
2.2682	84809.734	55806.578	68409.852	73491.367	112879.172	154485.031	83046.234	118755.102	63615.957	79269.562	116579.703	169876.469	NaN	150092.172	107132.289	90741.383	85116.789	92633.086	108697.891	118889.016
2.4016	57827.699	NaN	51264.371	51479	143207.031	151810.859	57691.363	111819.383	48065.746	57126.605	149807.156	126165.938	NaN	84995.672	72076.172	114727.68	59600.312	121078.383	70799.195	76400.242
