x	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_24_2g
0	9914.1504	12953.9023	10821.79	12206.6387	10640.1035
0.1334	10642.623	17913.8633	11793.0371	12192.4639	11753.2432
0.2668	11851.2705	22656.623	14204.1699	12782.498	14174.3672
0.4003	12788.2031	21098.1328	17676.9492	15906.3281	15463.3301
0.5337	12732.8955	16428.2148	17376.5195	19260.1719	14875.6123
0.6671	12962.9961	13830.8037	16299.0195	19547.8184	13433.0527
0.8005	13983.2881	13447.623	14671.6416	18176.2676	12329.0957
0.934	16263.6494	13416.1055	14986.3389	15721.459	12009.7715
1.0674	18178.4844	12644.5713	16453.1289	13826.4473	12087.1172
1.2008	16495.4492	12571.6084	16077.709	13518.1494	12797.3057
1.3342	14670.7344	12859.9893	14699.9092	13063.1953	13031.9941
1.4676	13407.9336	14211.7285	13629.6807	12885.1904	12997.7363
1.6011	12849.8818	13793.1123	13034.7607	12218.748	13108.5693
1.7345	11816.3203	14435.2285	12861.0791	12570.9062	14982.6348
1.8679	10991.5586	14663.7314	13940.6074	12480.9541	17146.5254
2.0013	11288.5332	14223.4746	14711.9121	12338.2002	16353.4834
2.1347	11126.5254	13862.5986	15793.0488	12628.377	14935.8301
2.2682	10736.0986	14912.8184	17080.6543	12893.2695	15054.4082
2.4016	10678.1992	15479.0811	16961.7539	13445.5703	14541.0713
2.535	10721.6953	15394.9932	18601.7793	14501.5303	14319.6309
2.6684	10640.042	15050.9033	20401.1465	14746.4434	12961.4717
2.8019	11346.4854	14478.2734	19625.9121	16059.9443	12687.207
2.9353	12382.8438	14796.085	17832.5664	15523.7266	13247.3887
3.0687	12773.5693	14723.0449	16305.6113	15184.0264	12296.0996
3.2021	14956.2256	13698.0195	14723.4648	14097.8965	11881.3477
3.3355	14260.0684	12070.7168	13831.835	12735.0166	11882.6689
3.469	13374.8428	11116.5186	13371.5967	12234.6074	11723.9658
3.6024	13008.0635	9886.874	13986.8242	12750.71	11354.3545
3.7358	11933.2109	NaN	14223.3467	12237.0605	10657.6133
3.8692	11459.1963	NaN	13800.5117	11771.5957	NaN
4.0027	11072.8457	NaN	12576.6074	12242.9336	NaN
4.1361	11291.4688	NaN	13054.9014	11872.0391	NaN
4.2695	11484.8057	NaN	13422.4189	11643.1484	NaN
4.4029	11014.126	NaN	NaN	11295.4111	NaN
4.5363	NaN	NaN	NaN	10896.002	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
