x	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_7g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_8g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_8_9g
0	31209.1133	29831.8652	30838.9062	30275.4531	27796.3965	28203.6758	29709.0391	33562.5	26432.8086	28095.2109	31420.1582
0.1334	29968.4082	31442.1484	31133.6074	30765.2109	28428.5156	28867.3867	28890.0059	32949.4453	26965.3164	28715.2656	31723.7734
0.2668	31735.707	32596.2949	30125.3477	30705.4688	28607.0293	30230.2773	29438.0469	32251.2559	25576.4434	28024.0469	30837.0566
0.4003	30468.1777	36360.9023	30308.2617	30983.3652	29349.5625	30144.2383	29519.8457	32408.1738	25894.8262	29030.7559	31383.3984
0.5337	32187.6152	44560.957	28967.252	30497.2051	29007.5801	31122.5938	30452.6914	33260.5742	26467.8828	28486.8965	32269.7305
0.6671	30307.1992	63064.4609	29750.3906	29493.1035	30431.6172	30474.6719	29119.7168	32032.3906	25624.7266	28641.5293	32618.2207
0.8005	29814.5566	78840.0312	29502.4473	31107.8066	29482.498	32780.2461	30561.1328	33829.1289	25290.7285	30315.5312	32340.9355
0.934	29417.1055	76086.0156	30755.4648	31134.0488	29921.1914	31763.2207	29870.3984	34809.1602	27198.6055	30865.7188	32645.3086
1.0674	30130.5703	54775	32536.9609	30817.6934	30221.3457	32998.4414	29526.7207	34652.1914	26616.3027	30942.7012	32823.4375
1.2008	31726.5156	39735.5195	34006.75	30621.9277	30878.0586	32885.0938	30542.002	33847.0977	27535.3555	31802.541	32357.4668
1.3342	31401.748	35639.2773	39930.8242	33831.6992	30585.5938	32316.5977	30451.6797	35730.2461	27360.3809	32749.8809	31937.7598
1.4676	30691.6797	33702.1719	52891.418	46533.3359	30965.5762	33776.9844	31813.3848	37383.2344	28377.9277	32652.7207	33945.0078
1.6011	31471.248	32359.0469	71812.6719	50922.0234	32461.6895	34960.9727	33041.6094	43030.1133	29822.1152	32956.1133	35309.3828
1.7345	32527.916	32882.6875	76814.9844	53079.4961	33871.2617	35332.9062	38023.9258	53262.5	36574.3359	33231.7266	40889.1055
1.8679	32114.6816	32063.2168	59812.8867	42873.2617	39204.5039	37077.8945	48170.2344	72622.6094	52353.0938	34325.5938	52146.332
2.0013	32963.8359	NaN	43718.1133	35774.0469	41673.6875	44303.0703	63082.9258	86872.4297	60229.6602	35934.2852	60862.6914
2.1347	34395.9688	NaN	36257.7148	33848.043	39891.3789	50303.5039	62245.0898	69093.8203	47918.8242	37039.0898	52222.5312
2.2682	38061.5	NaN	31556.8477	NaN	34701.2422	45222.6055	45378.4961	48798.3711	35231.1172	33490.9062	46164.6602
2.4016	45688.5703	NaN	NaN	NaN	32968.3789	37525.3008	35654.3086	40451.1289	30083.8848	31426.0371	51718.6133
2.535	62037.0039	NaN	NaN	NaN	32046.6289	37005.2695	30876.3008	36259.8047	28295.418	33052	NaN
2.6684	64624.9219	NaN	NaN	NaN	NaN	33765.1406	31693.0977	34616.1602	NaN	NaN	NaN
2.8019	48545.5859	NaN	NaN	NaN	NaN	32124.3477	NaN	NaN	NaN	NaN	NaN
2.9353	38196.9805	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	35500.7461	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
