x	Y_20181208_15694b_1_4g	Y_20181208_15694b_10_3g	Y_20181208_15694b_2_7g	Y_20181208_15694b_2_8g	Y_20181208_15694b_3_4g	Y_20181208_15694b_3_6g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_5g
0	30080.6191	33052.4805	29604.7695	31627.4668	32155.3789	28420.9473	25938.5742	28855.125	30947.2891
0.1334	31557.3281	33686.3047	30786.2539	31126.4141	33004.8438	27323.125	24964.3398	28101.5469	29506.959
0.2668	30502.3047	33976.4648	29279.0312	31641.9902	30595.3145	27070.0605	26190.9922	27266.0664	30973.5293
0.4003	29346.3633	33049.7422	29957.1328	31977.8574	29795.9102	27147.6562	25321.4883	27862.0684	31238.9258
0.5337	30572.9375	31551.0938	30150.5371	30452.0449	29397.8398	27378.6465	27520.5391	26847.6914	30883.1016
0.6671	31158.5625	33865.5898	29265.4961	31262.1289	29804.9648	26479.6953	27270.3047	27769.0625	30094.2676
0.8005	30467.2637	32260.7871	29937.7949	30274.9355	29422.041	26374.9473	26060.4961	27229.127	31009.3203
0.934	31916.8086	32377.7598	29708.1074	30150.0586	28313.709	26775.6504	26076.1289	27969.8105	31236.0977
1.0674	32251.2031	31034.6875	30654.8887	31998.1133	28963.3926	27373.2383	25461.707	27837.0723	31695.3164
1.2008	32423.5645	31493.6152	30756.1406	31790.2695	29912.8398	26275.8613	27039.1953	28109.0723	33174.4453
1.3342	31564.3457	30846.4473	32677.7461	31035.25	28857.916	26990.4219	26053.25	28885.8301	32750.4961
1.4676	31971.1348	29877.9121	32862.7109	30779.7051	29244.8867	26884.0508	24906.0508	28797.6191	31824.7812
1.6011	32430.7773	30951.0781	35307.5078	31735.7637	30527.0645	26528.5254	27597.5723	29719.2949	33332.207
1.7345	34633.7812	31924.2949	41597.9336	32792.7227	32709.5742	25976.3848	27650.207	29224.8203	32550.1836
1.8679	34471.7031	34610.3711	57180.332	33197.8398	36040.3711	26754.5156	25990.8828	31028.9043	32563.5742
2.0013	37666.0664	35575.5312	83814.2188	35361.0664	47990.4766	28192.0957	28268.4902	35822.3047	33312.3828
2.1347	44430.9648	44330.2969	93449.6094	41541.7109	69396.2031	34919.8984	27989.7207	41662.4102	33416.2578
2.2682	58872.1992	66080.7266	72606.9375	52455.9375	78470.6094	51733.0938	30570.2207	39749.7969	39021.8438
2.4016	62971.3594	90629.8359	49637.4453	55351.2266	59446.2227	71297.7031	36700.3984	35197.8242	51979.7656
2.535	54153.6367	85707.7578	37319.5859	47151.2383	47736.5469	67279.4062	46721.9727	30843.0996	71934.0703
2.6684	42379.7969	59742.2109	34938.7031	46620.0039	41454.4062	45995.3008	74600.5312	28477.4473	70273.9922
2.8019	36841.9922	42721.8516	34076.957	NaN	NaN	34600.7617	88860.7422	28946.8047	50783.3828
2.9353	34372.3711	36301.5977	NaN	NaN	NaN	30453.0859	66772.5469	NaN	41688.707
3.0687	34906.5273	34167.918	NaN	NaN	NaN	29901.2715	44896.1758	NaN	NaN
3.2021	NaN	33306.5508	NaN	NaN	NaN	NaN	39384.4766	NaN	NaN
3.3355	NaN	32426.4531	NaN	NaN	NaN	NaN	35061.4297	NaN	NaN
3.469	NaN	32174.5625	NaN	NaN	NaN	NaN	30735.0195	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	31366.9512	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	31857.6992	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
