x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_17_4g	Y_20181208_15693_3_8g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693_9_11g	Y_20181208_15693_9_15g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_7g	Y_20181208_15693b_12_6g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_5g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_8g	Y_20181208_15693b_6_9g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	9833.4414	11874.1895	12516.1572	12086.3311	10079.8525	10484.1631	11200.6699	10252.5586	10400.3047	11588.1016	10274.8096	13068.4434	11700.585	11451.3643	10594.415	10260.2578	10668.6348	10725.1729	12621.457	9142.6152	11808.0205	10609.167	11511.7412
0.1334	10302.2803	13165.2354	14488.3145	12315.7734	10285.2227	11865.4756	12040.5459	11817.707	11845.5918	12708.7393	11282.502	13577.835	13120.709	11387.4316	10984.8486	10102.2793	11855.083	11038.6758	13363.6709	8957.1191	11366.8643	10706.4893	12761.9707
0.2668	11034.4717	15837.2461	17149.2305	13208.9414	10507.6621	13898.7607	14039.6875	14458.6182	14252.9248	14232.0703	14172.3398	15898.6992	15395.5811	11928.0557	11507.1494	10361.6895	13545.9453	12155.0176	14022.207	9222.1074	12298.3447	11366.7305	15947.3486
0.4003	13389.4502	19086.2559	20193.3652	14507.2539	10735.7939	16914.2754	17975.7559	18474.2324	16274.0723	15298.8008	17781.1875	18876.6426	17423.3418	12764.8926	12782.2549	11085.1143	16016.0947	13387.2832	15159.6426	9462.3408	14490.1104	11588.4111	18328.5098
0.5337	16600.0059	18543.3555	22464.7656	15601.4395	11099.415	18856.7969	20767.9102	19673.0996	16268.5264	15278.4854	18754.373	23015.2969	17229.791	14565.5537	12501.1406	12113.8506	18206.3223	16095.2363	17795.9062	11201.9355	17111.2852	12394.877	16750.5684
0.6671	18906.6914	20001.9668	21923.4688	17027.1934	12477.5352	19311.7832	19766.877	18710.8301	15860.8555	14918.7734	16982.5605	20738.7832	15151.0977	15376.5625	14112.5684	15220.6631	20254.5098	17687.8184	20019.6797	14761.5928	18234.1035	13388.1152	14300.8057
0.8005	16184.6504	18727.459	20012.7344	17497.459	13359.1641	16576.8242	18690.4941	19316.6426	15089.9404	14604.7402	15578.7432	18853.8047	14177.96	15757.1709	15631.4395	19770.5371	18904.6641	17939.0332	19330.7207	19348.1133	15874.4346	14960.7373	13743.7969
0.934	14345.9766	17036.7754	18756.4141	16142.8379	13095.3271	15443.4863	16448.002	18902.7812	14890.7998	15293.46	13958.0186	17829.7441	13219.0938	15174.6768	16060.4434	19615.668	18080.166	15810.2383	16819.252	20684.8691	13868.748	15694.6289	13766.6787
1.0674	13754.5342	16692.5859	17613.5703	15162.2422	12180.4258	13754.1416	15434.7178	19164.7012	14015.7842	14230.5361	13956.4189	16051.3848	12622.2354	13617.9482	14780.875	15308.7061	17830.2422	15076.4033	15868.3613	19649.4238	12923.8154	14654.6309	14133.7324
1.2008	13812.6338	15597.9248	17811.1035	14750.6074	12582.0879	12920.5928	15002.6729	18214.4707	12812.1006	14547.1699	14360.0264	15312.0986	13528.4551	13309.4932	14077.3457	13539.1729	16861.8789	14036.5928	14966.9336	17846.4941	11999.501	13463.2363	14002.8174
