x	Y_20181208_15693_1_1g	Y_20181208_15693_1_9g	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_3g	Y_20181208_15693_10_7g	Y_20181208_15693_10_8g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_14_10g	Y_20181208_15693_14_12g	Y_20181208_15693_14_8g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_15_2g	Y_20181208_15693_15_7g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_18_6g	Y_20181208_15693_19_2g	Y_20181208_15693_19_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_3g	Y_20181208_15693_20_2g	Y_20181208_15693_3_2g	Y_20181208_15693_3_7g	Y_20181208_15693_4_10g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_15g	Y_20181208_15693_7_3g	Y_20181208_15693_7_5g	Y_20181208_15693_8_2g	Y_20181208_15693_8_6g	Y_20181208_15693_8_9g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_8g	Y_20181208_15693b_1_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_11g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_11g	Y_20181208_15693b_12_13g	Y_20181208_15693b_12_14g	Y_20181208_15693b_12_2g	Y_20181208_15693b_12_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_14g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_4g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_1g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_6g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_19g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_5g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_16g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_2g	Y_20181208_15693b_5_5g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_13g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_17g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_21g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_3g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_9g
0	10779.6367	12520.5469	11630.3633	11689.8662	12471.7939	9840.627	12765.2637	12982.3398	12095.1904	12110.8721	10693.4346	11647.3643	11662.7217	10979.7666	12213.0039	15604.8379	14792.4609	10994.5068	11150.9355	12013.1562	12281.5215	10551.2656	11668.8984	10796.4609	12653.7451	10563.0986	13156.6104	12145.5273	11895.6406	12493.75	11230.0371	11340.6221	10730.9023	11894.2256	12189.8721	11109.2432	14927.1748	11388.3301	9676.418	10835.7559	11316.3477	11439.4531	13352.7246	11590.3271	14428.9854	13361.5762	12143.6514	12132.3076	11206.2148	11272.3623	12243.4043	11127.1387	12329.4912	10304.9883	12362.5566	13733.7783	12272.1709	11987.165	12624.1035	12381.4385	12993.999	15450.4795	11982.2598	11593.418	12796.7256	12314.6367	11944.2393	11764.7861	11178.5977	9997.9463	11799.9609	10635.5234	10079.3018	12840.832	12052.5547	12153.9609	14888.6924	13384.3555	12611.623	12127.8936	11852.5791	12879.6162	12758.667	11586.9688	16643.7754	10622.2637	12817.4824	12142.168	12089.6416	11147.5098	11819.7705	13763.1768	11136.6855	13207.4277	11118.0947	12191.8975	11019.5557	10775.8242	12006.8262	11240.0342	12359.7793	11611.2373
0.1334	10875.6729	13636.668	12888.2764	11764.1475	13226.9307	9841.9346	14909.1963	14375.2803	13470.5127	14144.2754	11928.9482	12920.7266	11884.3965	12574.0908	13837.3184	17951.4766	16446.1562	11139.083	11946.375	11535.585	13616.6611	11156.8975	13725.6084	11199.2207	14176.6973	10764.1328	13123.9912	13043.0273	11454.8652	14024.4688	13285.042	12545.125	11205.7705	13767.6602	13151.1846	10950.4902	17675.6953	12075.2041	10626.7842	11013.2305	11614.4961	11596.5801	13702.335	11692.5146	16352.9941	15120.4238	12143.958	14012.8643	11502.9102	11476.167	13857.2002	11660.0068	12853.1836	10795.416	12980.4219	15493.4678	13213.9932	13288.4795	12512.5459	13052.1816	12678.5361	18563.043	13668.2373	11161.6016	15175.4209	14275.166	11886.8066	11331.3311	11145.7969	10544.7891	12687.2559	11112.2725	10396.4277	14253.5332	12034.1748	14613.1953	15329.7725	16495.4355	11612.0342	14659.502	11650.3262	14233.9307	12493.5234	12746.9668	21224.7695	10792.918	13402.3945	13636.666	13061.7832	13086.7031	11870.3506	13718.2285	13180.9385	13920.2402	12135.7695	13852.1299	11755.4277	11470.4053	11895.8418	11724.9639	12979.6406	11928.3242
0.2668	12580.8096	15728.0176	14613.7354	12097.6738	14768.543	10170.7412	18709.9492	14917.8047	14608.1279	16538.7891	12356.2891	14772.377	13121.5078	13640.8613	16234.5771	15378.4658	15551.9766	12255.5908	12454.832	12373.2432	15213.6406	11869.9805	17193.3008	11336.1094	16026.2686	11103.9277	14328.7451	15615.3418	12978.4971	15823.8672	13465.25	13948.3174	12050.0381	15769.7051	15304.9531	11024.1182	19263.8926	13510.0361	12145.5293	12265.0547	12633.4238	12986.9287	15860.3076	13158.2871	21694.8457	18734.6621	12848.085	15722.0283	11800.2461	12933.1631	17581.9277	12077.3105	13532.4385	11619.2988	12918.8535	14772.1201	15827.2568	15027.0166	12840.6611	13854.0791	12824.9072	20337.4863	14870.8242	11886.0674	16191.1777	14805.959	12466.0225	11267.4551	12079.1387	10924.9512	14201.6504	12798.292	11241.3477	17040.459	12447.6309	16267.9697	15007.0273	19595.0977	11675.2158	16978.4141	11743.3389	13909.126	12782.1758	16523.7539	23500.8555	11158.3418	15404.1172	15514.6338	15498.9316	15615.8535	11966.2998	15012.1699	16031.0684	15961.5674	12197.5547	17092.834	14469.5342	13259.5957	12014.0127	12024.1465	13536.709	12957.4775
0.4003	13088.3145	16674.1191	17366.7441	12420.3428	15471.0107	10305.6846	20061.4316	14287.3477	17512.1406	18999.7695	14612.9209	15876.7734	14280.9492	13229.5957	16603.8711	12722.2373	14453.9385	14171.6455	13740.1494	13252.5557	15791.2285	13647.3818	21277.3262	13009.0615	19577.9395	11565.6738	16454.5957	18366.7871	13595.3828	19020.0898	15219.0254	13956.0908	12927.0303	14217.6396	17585.127	11278.8242	16772.5508	15782.8721	14523.5889	13976.8047	13480.9229	15062.21	19941.457	15201.7412	20308.2344	25020.0996	13816.7129	19356.209	13726.209	14958.6201	19483.168	12499.9697	13519.127	13561.1328	12685.8027	14867.6436	17018.793	15740.8291	14863.8242	16361.7627	15386.7275	18315.8535	17897.9023	14931.1143	14529.6387	11909.377	12830.0225	12164.2021	13038.9189	13514.3281	16471.709	14847.5645	13365.5557	18008.6602	14014.6309	16465.0176	15625.3467	17107.5312	12236.1367	18724.5684	12855.3291	13312.8271	14056.5996	22039.2266	19788.0859	12819.8301	17545.5117	15892.6787	18902.8672	17468.5078	12631.0029	16774.6758	17028.8164	16771.2637	13488.7529	17534.0215	16404.084	15952.7959	12107.1025	14790.9404	14441.9561	14349.1367
0.5337	15433.624	16699.2266	18451.1895	14351.5117	15488.8535	10497.8125	19200.5254	11961.665	17611.2871	17903.7969	15594.249	14490.3643	13438.7402	13233.9248	13941.416	13489.8477	13787.1836	15857.2412	15923.8193	14294.8271	14657.7598	15174.3301	20578.4414	13892.5391	17213.6035	13739.5088	18079.8516	18826.9102	14054.8242	18132.9727	16104.2236	13343.1904	13633.9668	13859.6592	16832.8164	13467.5391	13737.0479	15453.1875	17465.9258	16271.8232	12346.5615	14976.3018	19702.7285	18014.9102	17849.5957	23397.793	14914.6533	22522.8379	16799.127	19371.1523	16773.2168	13967.4727	12973.6855	14377.9639	13392.4922	16273.6807	14844.8604	13940.0498	16567.6641	17056.0762	17902.2812	14979.7178	18900.0996	16296.1221	14395.1631	11229.2529	14893.3711	13830.0566	14325.6172	14084.7588	17336.7871	16132.7422	15972.3271	18947.3633	16128.1963	15330.6797	19542.9766	14709.1436	13498.9678	17007.2324	14869.4092	12207.3076	16090.7236	25409.8691	16841.0176	14712.9463	18544.5039	16754.5273	17796.2383	17747.1191	13952.9951	17041.7285	16834.9414	15165.6699	14119.4473	18287.1836	15002.6729	16577.8691	13668.3828	16730.9297	15583.4961	15759.9844
0.6671	17197.6367	14566.3691	16213.5078	15089.7031	14358.1416	10331.4014	16514.8535	11309.7266	16918.9492	16660.7754	15643.7559	12904.667	12426.7988	12456.8242	13369.7217	14940.5498	14122.543	16187.627	16176.0459	14304.1221	12923.7256	15005.5684	16303.9082	15336.9717	14682.2842	14702.1543	17536.3516	16248.8076	12960.4268	16172.8799	13589.5195	12867.7256	13305.8018	12434.0273	14371.6406	14737.3574	12147.1104	13351.3779	17533.0586	15420.7432	11673.8408	13043.5273	18080.6797	19156.877	16380.7949	21277.2812	14042.1436	21892.8633	17677.2402	22005.9941	15003.7344	13696.334	12972.1074	13112.4912	15098.4727	14748.0859	12777.0469	11485.9297	15186.6738	16247.7061	18438.8711	15646.2119	17293.0039	14586.1377	13379.6494	11310.0176	17592.8164	15088.4795	14365.9121	14009.6211	17872.1426	14678.7451	19757.1738	20151.1094	17811.1016	14261.5527	22717.4473	13044.1934	14601.957	16549.0039	17222.6523	12721.5625	17129.7422	21321.0352	15183.9502	16988.7109	16606.3984	16549.998	15510.3154	16246.0537	15962.0439	15923.334	15780.4561	12934.4756	13745.9424	16698.5762	13208.5137	15799.1924	15817.0977	18012.877	15791.2969	16749.4551
0.8005	16602.5059	12453.3564	14658.4102	14821.1289	12985.3486	10800.373	15717.7119	11426.4365	15708.4004	15603.1357	15693.7002	12231.9229	11961.6523	12591.748	13363.4844	15464.3643	14078.6328	15413.9424	16242.0791	12006.6475	12364.1543	15498.6836	15043.3799	13917.7598	13864.3994	12861.8242	16427.9258	15362.6777	12577.4541	16302.8955	12275.7158	12744.1934	14345.2217	12598.623	13303.665	15158.2734	11604.29	13253.7178	17096.2207	14777.5215	11162.29	11307.4375	17164.3477	17119.3848	16281.1406	19561.0391	13931.4482	18139.8398	14510.21	19404.9004	13679.9072	12320.3047	11708.7793	11801.4941	15289.1963	13420.2568	11778.4062	10885.6709	14792.207	14962.6836	17508.8066	15898.0615	16769.4219	13273.543	13569.3926	10846.1084	19665.7148	14543.3379	14170.4033	13870.9854	16631.416	13197.3467	21390.4707	18651.4668	16046.8662	13564.9043	23251.1172	11435.1797	14983.8896	15312.5234	15579.7422	12199.1719	15254.54	16372.4248	13319.75	16020.8965	15624.8574	14301.4365	14143.498	15699.0068	15190.7041	14655.0605	15525.709	12591.3848	13715.291	15921.0674	12092.1162	12852.7568	18414.7402	16965.2598	16716.4844	15857.9004
0.934	16436.209	12445.6387	13335.2617	13816.2383	11578.8467	10503.7988	14405.3184	11258.6445	14379.0107	15298.8027	15813.8516	12541.8604	11842.2031	12843.1748	13356.0146	14447.6279	14469.8779	15021.2529	16305.9512	11624.7246	11866.8691	13653.0762	14985.9326	14249.2744	13682.7549	12569.9863	14113.3877	14955.8398	12724.2773	15657.4678	11912.0215	13021.8828	14225.0049	12544.2012	13863.7734	15888.2588	12217.6338	13250.8154	16610.7109	14036.0391	11878.917	10968.5312	16186.6104	15404.1641	16185.5869	19350.2246	12806.7637	16179.6377	13426.6055	17007.5977	12884.4414	11388.5381	11371.0586	11453.1787	15692.0312	12476.8594	10958.3301	11294.4717	14066.6445	14803.583	15132.0029	15805.3965	15669.7354	12047.8311	12533.9648	10861.6855	18264.9414	13746.1279	14316.0508	13834.0527	15304.5557	12063.0801	16885.252	19442.0527	14582.9268	14374.0645	20264	12203.7471	13724.873	14427.3389	15172.2539	12873.8555	14465.376	14165.1318	12531.4424	13207.625	14905.1045	13194.6895	13606.6533	16039.3232	14204.1318	12934.0469	15210.8271	12942.2656	12975.5576	16168.1426	11701.335	12155.5576	18828.2168	15273.376	15688.6992	15155.1055
1.0674	14931.0234	11673.9941	13427.4951	13432.2715	11357.2324	10581.5273	14099.0879	10749.7422	13956.9307	14200.041	15589.9482	12066.8281	11821.3428	13291.501	13814.1953	14169.3389	13695.5088	14618.8848	16503.5977	10889.0859	11955.9629	12215.9277	14219.5664	14607.6406	13995.5635	12414.8008	13278.2012	14450.0674	13314.21	15247.0986	12213.9502	13382.459	13797.4873	11467.75	14503.873	15755.9443	11781.6348	13636.5771	15037.9756	13467.2129	11470.7305	10936.5566	15065.5225	15628.6748	15120.7529	18885.7871	13412.5508	15396.4541	12878.1475	16575.0586	13121.9365	11117.5498	11354.3975	11101.5273	13614.582	12225.8945	10607.5107	11950.7412	13359.0557	15309.0488	12148.7119	14216.332	14109.6699	13186.2988	13792.9219	11837.874	16377.4004	12758.8652	13492.9434	14115.7949	14914.3779	12123.3818	15510.4092	18844.1523	13812.1768	14213.7314	16566.7871	12478.1201	12151.3311	14475.6865	13576.2188	12333.749	14611.7197	13421.0068	12285.4463	12607.0625	14386.7461	13406.3223	14391.3477	16518.6387	14325.1914	12411.9648	14740.9434	12426.3291	13088.7158	14031.1729	11234.5684	11965.7334	17826.6152	14787.8584	15639.792	14722.9033
1.2008	14454.1602	11683.0664	14216.0986	13740.5791	11800.1084	10658.3184	13562.9863	11133.085	12721.1963	12253.2109	15691.999	12491.6699	11517.4248	12989.2861	13627.332	14013.0586	12666.2842	14692.7246	16338.1748	10723.0498	12588.1143	12104.7324	13806.7578	15552.8682	13903.749	11941.9082	14705.709	14571.8223	12688.1475	14771.2363	12127.5254	13086.6221	14113.9053	11614.2109	13266.7354	14796.3027	12221.0303	13418.1201	14401.7256	13323.7881	11352.6611	10974.3877	15435.1621	14844.3301	14573.4844	16873.2461	13494.5752	14041.9551	12629.9766	15361.9834	12914.1641	10981.916	11144.3643	11234.126	12647.5098	12110.0215	11194.6885	12423.8594	14511.8428	15372.6162	11307.8613	14071.2686	14436.4346	12541.4189	13286.5684	11650.3555	15583.7461	12292.0811	12827.9922	14134.6709	14116.7041	12172.085	14438.1367	17895.7656	13635.6328	14373.8975	15679.6934	11362.1807	11331.7637	13381.0225	13469.9707	11721.5059	15059.3916	13865.1621	13141.6426	12625.46	13395.1699	13556.8545	13316.6992	15817.6611	12723.7842	11804.457	15028.7188	12265.6777	12315.8994	13266.6514	11461.9756	12085.9482	15722.3926	15980.8467	16223.7822	14499.666
