x	Y_20181208_15693_1_11g	Y_20181208_15693_1_13g	Y_20181208_15693_1_15g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_10_6g	Y_20181208_15693_12_8g	Y_20181208_15693_13_11g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_14_9g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_18_4g	Y_20181208_15693_19_7g	Y_20181208_15693_19_8g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_4g	Y_20181208_15693_4_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_12g	Y_20181208_15693_5_6g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_6_8g	Y_20181208_15693_7_10g	Y_20181208_15693_7_1g	Y_20181208_15693_7_4g	Y_20181208_15693_7_7g	Y_20181208_15693_8_4g	Y_20181208_15693_9_4g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_4g	Y_20181208_15693b_1_7g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_3g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_20g	Y_20181208_15693b_13_9g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_9g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_18g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_14g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_2g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_8g	Y_20181208_15693b_8_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_7g
0	31897.6914	32910.5625	31162.4219	27627.0195	30754.1191	27380.4883	30173.7852	27812.0625	32287.6875	26906.3672	31665.7793	28321.1055	27295.0781	30139.3906	31307.1094	26241.9082	30189.4512	30470.6504	32197.1523	32137.4766	30891.6543	32814.7852	29704.8359	31353.1074	28256.6465	30527.2559	29629.6523	32043.2266	29623.0078	26418.6133	32963.6445	32774.8242	30256.6621	28506.5312	33769.207	30511.1582	29515.8711	26813.3516	32137.2832	27858.4941	30865.3594	32608.1387	29884.9277	27802.1113	30475.5312	31190.5039	25281.5156	27636.1738	26955.0039	31731.9609	30619.5664	26156.4785	25567.334	30314.5078	29502.5742	33102.0938	25548.3555	32776.6211	31286.6699	32347.3555	28326.9199	31768.709	32714.2441	29852.8223	29037.3594	28339.7188	26973.3828	31591.416	29725.666	26807.4023	28229.4727	25882.5195	31575.2656	29118.4629	26090.4453	30082.4082	31398.5098	30821.9648	32510.4688	31257.1582	24604.8633	29279.2129	26309.2324	27706.7012	33119.0312	29677.3203	30216.0332
0.1334	32501.4473	34410.7461	32102.9199	26352.3555	31744.5898	27728.6973	29772.8008	27901.0371	32633.1074	28600.0391	32071.8242	27172.7754	26979.1855	30764.6074	31124.8027	28111.6172	31127.0957	32482.3066	31144.834	31584.2148	30765.9355	31977.7422	30274.7012	31808.25	28377.0332	31189.5781	30069.0273	30776.2148	31764.9102	27485.1758	30321.5117	32335.8203	29770.2734	28514.3574	32546.293	31346.8223	29664.6875	26547.8145	31818.7598	26378.7617	29690.8633	30282.9023	29996.2832	28250.3984	30616.4336	32777.6719	25220.7988	28046.6699	27887.041	33421.3047	30956.3066	25344.5801	24155.0312	30360.4062	28777.0859	32441.2754	26472.5566	32628.8574	30191.5586	31745.3184	28044.25	32108.2773	34044.3984	32480.6621	31278.6484	28815.5918	26794.4648	32462.3359	29678.6953	28515.0508	26635.2109	26064.3613	31800.4395	28379.7305	26368.1465	30478.2793	31760.502	30969.5371	32390.543	32521.4844	24661.1504	28879.7559	26841.7539	27807.6602	32871.8086	28759.1074	29407.9766
0.2668	32351.8164	35478.0547	33894.043	26910.0508	30895.127	28339.6211	31228.8613	27387.3516	31656.8203	27880.0918	31583.5664	26652.5801	28722.1543	29163.3438	29778.582	27708.2051	29904.3516	30822.5156	30597.334	32184.2812	31740.6504	32350.748	30874.082	33186.5938	27332.5469	31999.0078	29938.6445	32361.7871	31040.2656	28242.2715	31854.7871	32441.1973	31035.8477	27694.2793	32544.1562	32156.5977	29274.7402	26594.4766	32126.584	26907.4609	30249.6816	31079.2734	29919.4453	27331.7656	30966.1016	31962.1738	26270.6758	27981.0352	28649.373	32405.3008	29633.4785	25380.7305	25324.6641	29838.0117	28974.1035	32046.2305	27738.2227	32666.2305	29888.9863	32293.6855	28034.7891	31247.1562	33756.1602	32069.0371	31597.7891	28714.6406	25331.9727	30916.7559	29909.8633	28349.3516	26090.1816	26490.8887	31544.125	29341.2676	28339.8496	28782.8398	30293.5352	31035.8867	32759.2598	31488.4238	24318.5	28748.0137	27740.0234	27249.5469	33382.2695	29207.8262	30435.3047
0.4003	32737.5586	33945.7812	32713.1895	26256.3438	29442.8887	26905.3457	31629.7988	29339.4297	30319.5195	26562.6035	31489.3066	26637.6328	27278.7676	29735.1758	30888.9199	27682.4551	30506.7227	30600.082	31099.8281	33184.4609	31307.543	33678.3633	29761.6738	32762.6113	28077.0996	31453.4297	31225.1152	33448.2305	31067.9766	27245.8047	29997.8789	31741.6172	31087.5371	29674.2207	33175.3633	30838.9277	28961.9277	27075.4648	31387.5879	27502.1328	29569.7734	29711.8008	29584.3496	26401.8027	30959.5332	31841.5586	25566.3457	28153.5254	29760.6543	31299.627	29158.8828	24283.873	25770.9199	28533.8145	30461.5664	32835.3633	27465.7422	30654.627	31926.918	31932.375	29179.7695	30796.793	32931.1211	31658.1602	31915.3906	28631.6914	25250.4707	30968.4785	29082.5996	28224.082	26560.166	25418.0605	30016.0293	27939.2402	27798.4824	27404.9922	30131.4219	31047.6641	33644.5273	32351.5098	24864.7871	29149.3789	28023.5977	26153.627	33630.4141	28866.1387	29531.707
0.5337	32779.6016	32426.0273	31771.8984	26859.0977	28252.959	26427.4121	31391.8066	28989.9727	31396.5957	26236.1582	32423.3223	27360.3965	26778.9512	30603.0801	31419.9062	27191.8945	30626.5977	30382.3594	30795.9629	31172.916	30600.502	32861.9492	30698.459	32121.3867	29800.707	32920.9766	30905.9297	32427.5234	31838.0625	27797.623	30159.7227	31924.7656	29869.9922	27834.334	32425.4805	30296.291	28728.2812	26171.6699	31135.0918	27457.6641	31008.2285	31181.7539	30204.6504	26283.0215	30968.0605	32282.0156	25170.9199	27084.1562	28496.8477	31341.707	29674.3145	25517.8281	25626.6914	30502.625	29347.4082	32467.8984	27983.0918	31496.0215	30810.75	31534.3691	27811.4805	30850.4277	31943.3223	31378.4609	29740.502	29147.0059	25231.6465	31791.6133	29307.543	28170.2363	26046.2539	27414.8125	29950.9023	28909.0781	27583.7051	28257.748	29754.584	31065.5605	33379.9062	32682.3809	23984.5664	29209.6914	27064.9551	25953.8926	33272.5781	29356.8945	29305.6953
0.6671	33464.3164	33761.7969	31654.9219	27289.4297	29775.5508	26215.3027	31319.166	27678.8242	30919.5508	26734.6367	31892.3594	27561.1504	27420.8242	31082.6172	33020.5859	28857.2988	31379.6055	31286.2988	30405.4141	31128.7188	31552.7129	33531.7891	31702.4316	32914.3398	29836.3984	32303.1016	31445.4316	31558.0508	31049.7637	28869.5098	30131.1074	31760.3242	31167.2578	27843.543	31684.1055	30195.3555	29758.2402	24914.8184	30080.0938	26630.3359	30612.2246	30642.6211	30918.9883	25949.7559	30800.4668	31430.2461	24816.2617	26429.3027	29265.7305	32068.1465	29222.9746	27243.3535	25610.4707	31266.625	28643.7109	31698.9355	26731.2441	31150.7266	30241.3242	29917.8496	29093.2598	30741.6758	33229.6328	31780.6621	31398.4219	27983.0391	25472.7773	32530.2773	28823.6367	27848.7637	27496.4121	26990.7246	31463.5098	28946.5469	26799.5234	28395.9707	30380.3945	31715.0195	32596.7383	33599.8906	24640.9805	28384.3848	28370.3594	27624.3379	33204.6445	29333.7227	27244.9355
0.8005	32386.8828	34560.7266	30939.1914	28047.1797	30124.7715	27229.8438	29827.3496	29110.5352	29968.4668	26535.7871	31284.4551	26735.127	27760.7383	29374.041	32856.1523	29440.6895	31212.1113	30914.4043	30305.7598	31537.5352	31856.9062	34745.3242	30824.9395	32392.3008	28564.3145	32500.0078	32605.127	33166.4375	32379.2344	28096.8809	29578.9121	32044.2637	31549.3633	28155.0879	30419.8848	30684.7207	31096.0625	25773.1191	30590.3535	27256.0547	31249.0371	30906.6172	30446.6094	26917.4375	30259.582	30715.9824	24553.3906	26192.2988	28793.6582	30916.0684	29781.7441	25061.0723	25186.9551	28718.3184	29285.9355	31157.1445	25943.543	30582.4902	30724.2207	30900.3906	30296.0742	31181.0508	32490.2988	31267.248	29649.0742	27713.4648	25350.2969	31940.9668	29591.5449	26470.9941	26502.627	27187.7852	31593.6699	28562.4082	26618.2168	28445.3555	30529.3047	31534.3945	33070.5742	32667.8555	24448.2871	29936.7598	26098.457	27145.084	31580.9805	28554.1211	29149.9277
0.934	31397.6504	32282.7559	32104.0137	26067.5449	30905.502	27478.873	30637.5742	29128.7129	30269.3477	26184.6016	31982.832	26670.8691	29096.3555	30381.8008	32055.3145	28031.7754	31044.2539	31172.8359	30791.8145	30606.4785	32485.3242	32880.9141	30946.6094	33194.375	28623.3496	33204.4492	31715.7598	32867.0391	32742.4023	27867.7324	30738.125	30625.0508	30059.9824	27709.2129	31770.2695	29271.3145	30039.6328	25328.5957	30879.2871	26784.2832	30093.7207	32126.3652	29254.1152	26615.1152	31479.4199	31181.7812	25805.8125	25696.1523	28735.9434	30783.7754	28283.7227	24611.5977	26437.9922	28962.0176	28817.541	31845.0156	24788.125	30806.2168	31548.5449	30499.0332	28024.1367	31185.293	30358.834	30824.9062	29649.3203	28994.002	25704.3418	31696.918	28928.8613	28163.1348	26264.6172	27219.8887	32546.0645	28727.7812	26758.4531	27007.2969	29599.9258	31208.4219	33074.5977	31606.0703	24001.4238	29509.9141	27179.2812	27410.7227	31903.4434	28913.627	29483.418
1.0674	32095.8203	34693.1406	32171.8027	24627.7715	29665.4512	27631.8945	29727.4473	28191.2305	30103.0293	27139.0586	31633.5195	25955.6797	27950.5977	30113.2773	30216.0176	29159.0645	30763.5586	31205.3223	32484.4004	31192.9727	33253.5078	32437.8262	30615.1875	33670.9258	28862.8828	30943.3164	32767.834	32091.9102	31769.0098	27494.9609	30931.8281	29266.457	31464.5664	28374.2324	33617.7773	29467.7402	29411.582	26352.3945	31641.3535	26255.0527	29916.1484	32898.2617	29904.4766	25929.3398	32856.0117	31410.8496	25051.3418	27336.1621	28613.0391	30462.0684	30226.2695	25972.3633	26551.7344	30291.2656	29279.584	31908.9102	26427.2793	31555.1152	32319.6309	31700.3789	28024.9023	30593.625	32566.7422	31229.3184	31462.1211	30036.8145	25584.3398	32189.6484	30180.9395	26460.6836	25899.4883	27352.502	31281.627	29922.748	26928.0176	27382.252	30261.3164	31725.4395	33373.4336	32844.957	24964.2324	29292.8203	28525.8496	26697.3027	31995.7305	28940.6035	29239.418
1.2008	31496.1543	34264.9375	31633.1543	25624.2969	29113.3398	27774.0293	28289.2676	28717.1816	30311.9727	27815.2051	31424.0938	26133.6484	27581.3809	28968.7656	31348.2363	29644.4531	31349.9375	32964.8672	30689.2832	29708.9961	33521.3477	34420.0234	29203.6797	32295.6973	29962.9297	30573.0469	33389.832	32375.6855	32534.25	28292.0977	30690.4746	31295.916	31242.0586	28717.0801	32893.9727	29312.5312	30140.5449	25760.5859	31498.1777	27251.8809	29920.873	34742.9727	30426.9102	24679.3555	31594.2949	30931.6191	25924.3359	27294.625	28659.7344	30091.2656	30504.9395	25402.9238	25196.5215	29707.2246	29123.0605	32931.9297	26079.0391	31805.627	30867.4629	30830.9492	28576.9297	32660.3496	31576.0703	31208.1484	30897.8223	30178.2812	26812.7812	31652.7012	30420.9375	27648.8438	26941.1133	26683.2715	31031.0312	29344.7832	27835.0176	26522.0078	30115.707	30727.0801	33034.3281	31768.7207	24096.1074	28291.0898	27433.7988	27969.9277	32857.2617	26942.9473	29288.5469
