x	Y_20181208_15692_33_6g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_46_3g	Y_20181208_15692_7_11g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g
0	11976.0674	14069.0254	10072.6328	12782.9482	11794.4541	10811.7529	11111.2588	12043.4131	12653.1875	10728.6104	9971.9844	10776.9316	11542.8379	9764.1982
0.1334	12607.5771	14073.4307	10671.3994	13618.7197	13307.3994	11226.5713	11215.0674	12634.5479	12544.7734	12399.8555	10911.0645	10633.3496	13022.3086	10595.7109
0.2668	13591.5322	14290.0615	12246.4307	15246.749	16670.6641	12688.3691	12881.0586	13722.5273	14215.0703	12820.1729	12738.124	11875.4932	14853.3662	11534.8047
0.4003	15643.6514	15871.1592	15408.2617	17421.0645	19425.1758	13594.3076	15875.4502	14607.04	15555.7021	13009.5361	14722.1484	15442.9834	16571.9551	14046.8525
0.5337	16316.6035	18294.668	18728.1797	17672.9004	19736.3457	16097.0986	19728.9941	15300.1836	17502.1797	12218.0107	16777.2949	18031.9336	15412.9648	18475.0625
0.6671	16143.3418	18425.1152	17436.9844	15413.9854	17010.4766	15312.5498	18924.7422	14215.666	18812.1445	13473.8076	16676.5742	18504.418	14962.9336	21775.1914
0.8005	15072.6162	15689.9365	16046.5576	13953.5713	15812.6914	15179.0029	15975.377	14667.5986	20316.8184	12981.2373	15666.1279	17237.4805	15003.1328	22285.5488
0.934	14720.4434	13799.6299	15391.9912	13492.5879	15696.6885	14591.5625	14623.7891	14486.3818	17573.1895	12056.1475	14590.1543	15963.7725	14725.1143	21400.4688
1.0674	14320.043	13489.6768	15143.6299	12688.9756	16015.4248	13718.9424	14118.2656	14020.5459	15344.3818	11293.2266	14241.6543	15360.6309	14446.2373	18378.7246
1.2008	14658.4219	14641.8193	14940.0439	13085.4512	16945.4668	12824.6035	15294.6426	12569.9785	15163.6885	10862.5527	13451.5625	14479.5957	13891.9482	16950.1504
1.3342	13739.7686	14653.6152	14606.1074	12842.6904	15835.6992	12112.1455	14654.3145	12562.0488	14493.5391	10288.084	13335.8359	13433.8975	13518.1484	16291.4463
1.4676	13781.5654	14213.3525	13565.1074	12756.6357	15666.168	12095.5811	14030.4551	12442.8193	14154.627	10225.2637	12790.6924	13396.8398	12116.2334	16023.2148
1.6011	13408.1943	13799.2979	13057.6953	12701.8154	14776.9834	11648.7285	13640.4531	12127.0605	14674.2871	10682.835	13071.3535	13473.1338	12315.9424	15987.5264
1.7345	13138.5967	13967.918	12560.7451	12532.7031	13844.8975	11717.7539	13221.5791	11452.084	14355.3691	11067.7803	13472.3447	12915.8584	12072.0547	14409.6699
