x	Y_20181208_15693_1_13g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_4g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_7g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_2g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_4_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	32910.5625	27812.0625	26906.3672	28321.1055	27295.0781	31307.1094	26241.9082	30189.4512	32137.4766	29704.8359	31353.1074	30527.2559	26418.6133	32963.6445	30256.6621	33769.207	29515.8711	30865.3594	29884.9277	30475.5312	27636.1738	30619.5664	30314.5078	29502.5742	31286.6699	29037.3594	26973.3828	28229.4727	26090.4453	30082.4082	30821.9648	32510.4688	31257.1582	26309.2324	29677.3203
0.1334	34410.7461	27901.0371	28600.0391	27172.7754	26979.1855	31124.8027	28111.6172	31127.0957	31584.2148	30274.7012	31808.25	31189.5781	27485.1758	30321.5117	29770.2734	32546.293	29664.6875	29690.8633	29996.2832	30616.4336	28046.6699	30956.3066	30360.4062	28777.0859	30191.5586	31278.6484	26794.4648	26635.2109	26368.1465	30478.2793	30969.5371	32390.543	32521.4844	26841.7539	28759.1074
0.2668	35478.0547	27387.3516	27880.0918	26652.5801	28722.1543	29778.582	27708.2051	29904.3516	32184.2812	30874.082	33186.5938	31999.0078	28242.2715	31854.7871	31035.8477	32544.1562	29274.7402	30249.6816	29919.4453	30966.1016	27981.0352	29633.4785	29838.0117	28974.1035	29888.9863	31597.7891	25331.9727	26090.1816	28339.8496	28782.8398	31035.8867	32759.2598	31488.4238	27740.0234	29207.8262
0.4003	33945.7812	29339.4297	26562.6035	26637.6328	27278.7676	30888.9199	27682.4551	30506.7227	33184.4609	29761.6738	32762.6113	31453.4297	27245.8047	29997.8789	31087.5371	33175.3633	28961.9277	29569.7734	29584.3496	30959.5332	28153.5254	29158.8828	28533.8145	30461.5664	31926.918	31915.3906	25250.4707	26560.166	27798.4824	27404.9922	31047.6641	33644.5273	32351.5098	28023.5977	28866.1387
0.5337	32426.0273	28989.9727	26236.1582	27360.3965	26778.9512	31419.9062	27191.8945	30626.5977	31172.916	30698.459	32121.3867	32920.9766	27797.623	30159.7227	29869.9922	32425.4805	28728.2812	31008.2285	30204.6504	30968.0605	27084.1562	29674.3145	30502.625	29347.4082	30810.75	29740.502	25231.6465	26046.2539	27583.7051	28257.748	31065.5605	33379.9062	32682.3809	27064.9551	29356.8945
0.6671	33761.7969	27678.8242	26734.6367	27561.1504	27420.8242	33020.5859	28857.2988	31379.6055	31128.7188	31702.4316	32914.3398	32303.1016	28869.5098	30131.1074	31167.2578	31684.1055	29758.2402	30612.2246	30918.9883	30800.4668	26429.3027	29222.9746	31266.625	28643.7109	30241.3242	31398.4219	25472.7773	27496.4121	26799.5234	28395.9707	31715.0195	32596.7383	33599.8906	28370.3594	29333.7227
0.8005	34560.7266	29110.5352	26535.7871	26735.127	27760.7383	32856.1523	29440.6895	31212.1113	31537.5352	30824.9395	32392.3008	32500.0078	28096.8809	29578.9121	31549.3633	30419.8848	31096.0625	31249.0371	30446.6094	30259.582	26192.2988	29781.7441	28718.3184	29285.9355	30724.2207	29649.0742	25350.2969	26502.627	26618.2168	28445.3555	31534.3945	33070.5742	32667.8555	26098.457	28554.1211
0.934	32282.7559	29128.7129	26184.6016	26670.8691	29096.3555	32055.3145	28031.7754	31044.2539	30606.4785	30946.6094	33194.375	33204.4492	27867.7324	30738.125	30059.9824	31770.2695	30039.6328	30093.7207	29254.1152	31479.4199	25696.1523	28283.7227	28962.0176	28817.541	31548.5449	29649.3203	25704.3418	26264.6172	26758.4531	27007.2969	31208.4219	33074.5977	31606.0703	27179.2812	28913.627
1.0674	34693.1406	28191.2305	27139.0586	25955.6797	27950.5977	30216.0176	29159.0645	30763.5586	31192.9727	30615.1875	33670.9258	30943.3164	27494.9609	30931.8281	31464.5664	33617.7773	29411.582	29916.1484	29904.4766	32856.0117	27336.1621	30226.2695	30291.2656	29279.584	32319.6309	31462.1211	25584.3398	25899.4883	26928.0176	27382.252	31725.4395	33373.4336	32844.957	28525.8496	28940.6035
1.2008	34264.9375	28717.1816	27815.2051	26133.6484	27581.3809	31348.2363	29644.4531	31349.9375	29708.9961	29203.6797	32295.6973	30573.0469	28292.0977	30690.4746	31242.0586	32893.9727	30140.5449	29920.873	30426.9102	31594.2949	27294.625	30504.9395	29707.2246	29123.0605	30867.4629	30897.8223	26812.7812	26941.1133	27835.0176	26522.0078	30727.0801	33034.3281	31768.7207	27433.7988	26942.9473
1.3342	33864.8789	28947.9551	27096.0078	26797.3945	28468.9648	32206.0605	28822.7461	30546.082	31952.5176	29027.9863	32257.5566	32291.2539	28142.6562	30557.9297	29523.0449	34331.5039	29854.6543	29838.0371	30536.3477	30055.4785	27276.7734	29484.2129	31014.5254	29542.084	30818.6348	30564.8848	27016.1973	27534.459	27759.1035	27238.0605	30002.7402	32593.1367	33288.9922	28405.5273	27479.9492
1.4676	33534.3711	29138.9688	27439.873	26498.1406	28096.4414	32946.3828	29431.4707	31372.4121	31424.8379	30586.6387	33665.9844	31209.9922	27662.4395	31293.1172	30662.9121	34522.2148	29849.3535	30586.3926	29335.0801	31083.5449	25900.7852	29262.1836	29170.3145	29902.5469	29325.1211	30917.0117	26982.1719	28226.6992	26989.0488	27971.7812	31285.9102	31853.0293	31652.4102	27419.6035	27592.9082
1.6011	32383.3789	31020.4941	27615.9492	26653.1875	28460.4492	33192.0234	29527.8105	32158.418	30879.1504	30662.9336	32715.5645	33087.8633	27399.7422	31586.9297	31450.3516	34093.6953	28935.1289	31773.959	30359.4805	29789.4629	26606.1816	29428.3828	29963	30048.6152	29893.0391	32143.0684	27309.7207	30865.916	28417.6875	28112.5078	31034.4414	31971.1875	30720.8223	27230.166	28019.9023
