x	Y_20181208_15692_40_18g	Y_20181208_15692_41_12g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_7g	Y_20181208_15692_44_5g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g
0	10493.3447	10820.7568	11106.7207	9631.8066	10733.0713	10141.7021	13085.4219	9676.7285
0.1334	11533.8408	10669.3096	12897.1338	10038.9111	11560.8135	10727.373	16696.5215	10309.1016
0.2668	12546.5557	10470.874	16552.8066	10374.8555	13299.1475	12431.2881	18445.3555	10798.9521
0.4003	14841.1641	10814.1016	18892.0078	10199.7383	15405.7236	14891.5498	16872.2734	11220.5059
0.5337	18344.7129	11020.9863	18891.8555	10427.292	19820.5371	17632.6484	14741.3945	10885.4521
0.6671	19133.3457	12619.1055	16755.3945	11827.4062	21368.2168	17111.8281	14038.2363	11891.4219
0.8005	18820.9531	12773.2354	14880.499	14020.5859	18105.2793	14130.1621	14436.9854	12580.2197
0.934	16354.1846	12685.5459	14844.8789	16364.7314	14345.5752	12825.999	15721.9619	13910.043
1.0674	17360.957	12286.4043	16341.0098	17808.0039	13835.9873	12795.6826	15136.4121	15093.6406
1.2008	16687.1367	11871.3701	16256.9307	15667.4775	12946.626	12697.0977	14351.5859	13777.4033
1.3342	17122.8262	12104.1475	15003.2559	13088.2207	12508.0518	12132.0205	14295.8672	12999.7158
1.4676	15396.5732	12278.7266	14289.0537	12223.1377	13253.8682	12315.7451	14582.791	13201.2012
1.6011	15057.3047	12599.4707	14355.04	12863.4521	13883.6533	12593.5811	13665.9297	15958.4688
1.7345	14207.0957	12003.9072	14487.2393	12927.6152	12773.7061	12400.9531	14242.9092	14920.1875
1.8679	13282.8408	12100.8496	14271.1318	13553.7305	12223.6592	13406.9805	13824.374	15107.6494
2.0013	12386.4727	12584.7598	13641.6016	14320.8281	12657.5254	13849.7285	14225.166	14771.752
2.1347	11595.2979	12281.1582	12846.2344	14905.6377	13155.6338	14574.8262	14669.752	13908.168
2.2682	11913.5566	12329.3066	12476.8818	13644.4395	13309.8965	13775.7275	14476.1934	13778.6807
2.4016	11798.3691	11538.4902	11911.8936	13751.0879	14814.5635	13156.8027	13700.7676	12950.4287
2.535	12825.5273	11333.3945	11741.6406	13058.7275	15843.1387	12518.8291	13045.2666	12397.5361
2.6684	13938.5684	10729.7354	11900.4316	14111.626	16048.9502	11830.5703	12725.1016	11978.2275
2.8019	13681.8359	10788.8809	12222.5303	14639.2939	15669.6826	12225.3203	12880.5332	11568.3379
2.9353	14049.6309	10810.0605	11616.4531	13333.124	14794.5898	11982.7021	14720.4482	11508.3574
3.0687	12738.0361	10898.9023	11054.5547	13080.4258	16366.1572	11487.2051	14278.6816	11610.3086
3.2021	12719.6006	11994.2266	11060.8691	12346.9102	14537.0918	10923.0234	12377.5234	11259.7412
3.3355	11998.8682	12199.1592	11130.748	11865.9971	13256.4727	11118.5898	12651.8506	10685.3447
3.469	11863.9912	11781.126	11818.2178	10965.999	12836.7422	11540.7627	NaN	12082.1475
3.6024	11534.8984	11868.0596	11448.3184	11142.1182	11795.2227	11569.1963	NaN	11454.4932
3.7358	11592.1943	12076.3682	11342.5469	11164.4551	12204.3018	11427.8359	NaN	11027.332
3.8692	11948.4746	12139.9092	NaN	10923.9531	12247.0947	11051.9844	NaN	11615.0303
4.0027	11020.2754	11577.7891	NaN	10367.4189	11814.9824	NaN	NaN	11521.4248
4.1361	10904.2344	11981.5996	NaN	10701.8145	NaN	NaN	NaN	NaN
4.2695	12187.7803	NaN	NaN	11152.1445	NaN	NaN	NaN	NaN
4.4029	12281.1953	NaN	NaN	11321.2979	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
