x	Y_20181208_15100_18_3g_left	Y_20181208_15100_18_4g_left	Y_20181208_15100_18_7g_left	Y_20181208_15100_19_4g_left	Y_20181208_15100_19_5g_left	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g_left	Y_20181208_15100_23_3g_left	Y_20181208_15100_4_1g_left	Y_20181208_15100_5_14g	Y_20181208_15100_5_9g	Y_20181208_15100_6_11g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g_left	Y_20181208_15100_7_4g_left	Y_20181208_15100_8_2g_left	Y_20181208_15100_1_2g_right	Y_20181208_15100_1_7g_right	Y_20181208_15100_12_2g	Y_20181208_15100_14_8g	Y_20181208_15100_14_9g	Y_20181208_15100_15_1g_right	Y_20181208_15100_15_7g_right	Y_20181208_15100_17_11g	Y_20181208_15100_22_14g	Y_20181208_15100_22_15g	Y_20181208_15100_22_2g	Y_20181208_15100_24_2g	Y_20181208_15100_25_3g	Y_20181208_15100_27_6g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_30_2g	Y_20181208_15100_4_6g
0	10428.2412	12045.4834	12195.1367	9876.583	10752.9453	10642.582	9838.3525	12834.1572	9780.1348	10832.3203	11026.3779	12492.9893	15733.3721	11331.2041	10794.1699	12764.4941	11209.5	10747.4424	10712.4932	9914.1504	9769.6006	12133.5693	12953.9023	11076.2949	10366.9775	13255.8672	12105.6279	10640.1035	12458.7969	11018.4219	13526.4111	11405.8594	10687.5703	14698.1865
0.1334	11645.6758	12556.9355	13848.4531	10062.6699	12351.6084	12557.5215	10043.5137	13774.4199	10437.6309	13194.2646	11563.4609	14847.3066	21156.2539	13952.1299	12844.6074	14389.7188	12476.2363	11487.6748	11009.2549	10642.623	11413.9531	11730.7334	17913.8633	12822.7344	11591.9697	15769.6475	13015.043	11753.2432	15721.6035	12223.2803	16534.8965	12368.3877	10862.1787	18389.6133
0.2668	14675.0156	12555.54	16038.3193	11039.1318	13877.5381	14383.1729	12906.7871	15433.2979	12501.1689	15771.1787	13387.9443	17032.1035	22827.123	18079.0293	18490.5469	16158.6328	14829.2441	14605.3262	11068.1328	11851.2705	14532.2803	12535.4668	22656.623	16500.8125	13444.7441	18051.5352	13878.623	14174.3672	16455.207	14699.8369	18210.0684	12650.957	11047.4629	21743.4316
0.4003	16705.1582	13173.7119	19234.1797	12916.1719	16846.5215	19765.2422	17784.082	20802.4668	16494.0371	16529.8496	15589.3428	20325.498	19018.5938	22794.5625	24526.3594	19873.3027	18027.4551	18393.4258	12842.248	12788.2031	17060.6562	12740.2178	21098.1328	20448.8926	16575.7715	20885.0332	16860.9355	15463.3301	15725.5625	17191.3906	15951.3896	15186.6797	10973.2705	20477.8867
0.5337	18220.6211	16001.3896	18283.6426	15428.8672	18440.2266	23956.5566	24951.4941	23480.3125	18777.6602	15981.6562	17725.6191	20176.1465	17270.2148	24176.1875	25499.1582	21704.0117	20566.7969	17714.5488	16618.2188	12732.8955	16905.0859	13781.1592	16428.2148	21250.8711	17305.627	19511.4805	19224.6855	14875.6123	15002.1738	18460.3945	13410.9863	19440.3262	12175.7314	17253.8594
0.6671	18286.7832	21528.5488	16701.9102	17985.707	16763.0684	22639.3125	29371.6602	22447.5059	17169.1328	15721.5527	18992.3086	17803.0996	15859.6504	22658.8008	20149.3867	21351.6445	19256.9023	15248.6416	18923.5449	12962.9961	14554.3516	15444.7969	13830.8037	17672.0312	15641.4434	16517.7383	18788.9746	13433.0527	14621.999	15368.9111	13178.001	19220.1934	14233.9609	16049.0557
0.8005	18228.2539	23869.668	17910.9414	17711.7852	16313.3721	18779.9414	27731.7441	21603.9062	14987.5938	14932.0703	16904.6074	17284.2832	14934.4756	17844.4141	17160.8594	19951.2559	16527.8281	14303.3711	17793.0684	13983.2881	12844.1035	15307.4619	13447.623	15709.4668	14645.8535	14619.7129	16650.0039	12329.0957	13963.9072	13875.7617	12625.1777	17567.9062	14055.3682	15479.2832
0.934	16143.9551	21685.5977	16944.5859	16820.6992	16331.7861	18468.4141	24136.7637	22772.041	13753.8232	15082.2686	14137.0195	16710.6543	15109.6445	15365.8545	17168.3223	19455.5273	17151.6055	14072.002	16575.1484	16263.6494	11821.1748	13665.9521	13416.1055	14247.4014	14498.0918	13262.4883	15608.501	12009.7715	14997.9902	12974.2344	12158.8672	16398.3652	13356.4258	14862.7461
1.0674	14694.5576	19181.2578	15674.6855	14583.0303	15380.1006	17848.2246	19907.7598	20859.4824	13467.5049	14451.8154	14395.0586	16571.9609	15647.2646	14447.1621	16096.1104	18643.5742	17257.9785	14219.7178	15739.1514	18178.4844	11613.2871	13606.9072	12644.5713	13290.1445	14564.3389	12478.5518	15931.9062	12087.1172	14348.9238	12599.8223	12206.1484	15965.8535	13227.4619	14564.7295
1.2008	14384.9375	18026.8223	14738.6299	13208.8184	15151.6523	16523.5918	17658.082	19013.4336	14001.29	14043.6084	14834.917	16769.5	16460.9961	14251.9316	16249.6543	17423.3574	16507.6738	13727.1074	15098.5225	16495.4492	11462.4316	12624.9727	12571.6084	13451.2402	15215.2432	12422.4766	14517.9893	12797.3057	14381.7891	12710.9336	12111.0439	15896.7041	12635.6475	13816.0029
