x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_3g	Y_20181208_15693_12_4g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_6g	Y_20181208_15693_2_9g	Y_20181208_15693_4_11g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g
1.3342	16728.5371	16094.1465	13813.7881	13007.5596	15260.6885	13886.4902	14416.2568	12674.084	13928.5352	14946.3398	14509.1748	15434.0127	14074.0986	14279.0938	11491.6445	15383.9209	20512.9004	15027.5098	15263.1562	14254.3018	13489.0752	15213.5293	13510.7725	13419.2529	12570.0137	13774.875	17249.5664	13368.1553	15194.6445
1.4676	18540.2422	17075.5977	14562.7041	13364.4395	15404.0498	12271.9492	14215.8506	12514.8887	12863.4873	14482.4805	15343.6992	15008.9229	14488.5264	14145.3779	12781.3379	14642.8994	20366.5508	15604.0986	15438.9014	14266.6104	14436.999	15722.4639	13960.5518	13409.7451	12735.4023	13597.5342	17500.4277	12862.0088	14714.2168
1.6011	17698.5332	17046.6953	13687.5977	13777.1025	15570.2754	11670.0771	13503.3613	13375.3047	12281.9951	13305.4863	14847.0938	15189.042	12967.8916	13902.71	12669.1924	13945.7686	18398.0195	14672.4551	15163.3945	14467.1035	14406.7178	15346.5889	13592.8975	13011.7432	12885.876	12881.6729	16547.7539	13209.0244	14131.167
1.7345	15607.3955	13994.4531	14025.9912	13347.166	15027.0889	12186.1738	12676.2539	13804.0479	12294.7354	12445.6875	14817.1152	14864.4072	12796.4668	12891.0449	12404.0693	14617.3652	15595.999	14595.7471	15990.207	14949.1309	13515.293	15083.5713	13374.0088	13387.6582	12998.3428	12391.8779	17269.6816	13752.707	13957.7451
1.8679	15169.6172	14323.4033	13167.9355	12149.0576	15760.0215	12048.9668	12478.4814	12788.9141	12198.627	12528.5791	13950.5283	15463.7393	12635.8125	11776.6484	12737.4785	15112.0322	14168.8066	13768.7246	14439.6777	14028.5684	12715.2949	14167.8643	13056.1777	13678.3633	14099.2275	11843.2197	16088.082	13552.8311	15076.6816
2.0013	14846.875	14094.4424	12931.0791	11395.3936	14256.3828	11107.7061	12870.8535	12442.7764	12138.1787	11749.5146	12674.0088	14761.8955	11865.2617	12242.5566	12061.1221	14512.2061	12173.6621	13522.251	14764.1279	13912.375	12391.1191	15057.7012	12417.0674	12873.2686	14293.6328	11891.8486	13815.4766	13625.9658	14317.0234
2.1347	14049.8867	12830.2656	11714.7236	11062.2822	13873.0459	11053.3428	12066.4697	12653.1807	12558.9268	11923.5566	12237.2754	15617.3408	11160.2764	12169.332	11521.7158	14155.4404	11359.0391	13952.1162	14514.668	13653.2383	11713.5713	14353.9688	11778.7305	13248.8564	13329.6895	12033.6592	13766.6689	13402.2178	14516.6211
2.2682	13854.1113	13339.7275	12756.1016	11057.5693	12827.5498	11054.8447	11416.2109	12487.8604	13007.543	12791.0156	11942.1182	15710.0674	12003.1553	11104.9473	12107.2412	12468.124	11466.6943	13518.9268	14500.3564	14060.6553	12037.6904	13822.2354	10799.3555	13463.6826	12583.2705	12469.2607	13114.6113	13317.2861	13189.9531
2.4016	13209.1514	13561.9922	12649.7734	10674.1533	12699.7568	NaN	11345.4395	11978.2324	13156.043	12135.5518	11943.7432	15784.9902	11900.168	11201.1572	12785.9229	12448.8613	11872.5371	13603.5547	14112.9668	13291.9014	11409.1904	13798.7852	9368.2549	13129.3008	12037.9219	12033.5703	13156.5557	12563.8193	11962.4668
2.535	13329.4395	12904.8936	12122.3828	10210.1016	12933.4307	NaN	11687.1416	11805.2021	NaN	11580.2002	11735.8936	15251.4004	11125.0371	NaN	12203.8057	12066.1172	11942.8994	13432.2637	13795.4619	12498.4873	11203.9189	12912.374	NaN	12492.1348	12042.9541	12256.9219	12986.1914	11345.5801	11140.3203
2.6684	13064.2002	12526.0625	12174.0117	10368.5684	NaN	NaN	12020.9365	11658.5605	NaN	11316.5059	NaN	13149.7549	12252.4023	NaN	12812.8486	12094.0322	NaN	13215.376	12632.875	13171.084	11141.207	12705.7461	NaN	13045.3418	11196.708	12237.7891	13444.6631	10902.874	11206.5244
2.8019	13416.1641	12256.2295	11401.4004	9809.4277	NaN	NaN	11790.8047	NaN	NaN	11710.1064	NaN	11766.3828	11583.5049	NaN	12745.0029	11349.2334	NaN	13522.3516	12521.8594	12808.3721	11337.8232	11814.6904	NaN	13028.7734	11453.5264	11996.9795	13680.7168	11197.2949	11304.0928
2.9353	12856.5234	NaN	NaN	NaN	NaN	NaN	12283.0957	NaN	NaN	12362.8096	NaN	12156.4014	NaN	NaN	11559.8809	11893.4453	NaN	NaN	11805.6523	12567.4365	NaN	12124.8643	NaN	13283.9805	11368.4258	12678.7236	NaN	NaN	11391.3281
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	11770.5342	NaN	NaN	11634.4551	NaN	11332.708	NaN	NaN	NaN	NaN	NaN	NaN	11548.6621	12469.998	NaN	NaN	NaN	12225.0938	11284.5547	NaN	NaN	NaN	11812.2412
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	11019.6611	NaN	NaN	NaN	NaN	10815.626	NaN	NaN	NaN	NaN	NaN	NaN	11408.8594	12303.6299	NaN	NaN	NaN	NaN	11320.9229	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	11465.7998	NaN	NaN	NaN	NaN	10853.0557	NaN	NaN	NaN	NaN	NaN	NaN	11628.4707	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	10838.9883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
