x	Y_20180224_15100_19_15g	Y_20180224_15100_25_3g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_29_8g	Y_20180224_15100_4_11_2g
0	37918.438	38854.426	38868.328	39002.695	38252.07	34822.602
0.1334	37502.551	39999.203	38803.18	37917.125	38724.113	36132.621
0.2668	37905.305	39756.262	37533.695	39533.57	37105.727	36789.02
0.4003	37205.633	39787.238	38148.609	38161.719	37978.129	37074.32
0.5337	37482.488	39219.387	38771.293	38860.539	38000.914	35423.172
0.6671	38107.395	38474.109	41286.48	38280.164	40342.617	37395.797
0.8005	37618.582	40316.168	42768.859	38168.465	39613.094	37074.695
0.934	37545.148	39718.426	40941.691	37401.949	38487.965	38119.016
1.0674	38058.73	40008.008	38395.051	36926.391	39745.477	35297.797
1.2008	39652.418	40426.379	40922.309	36750.41	39599.871	37544.305
1.3342	39711.086	40200.535	40378.281	37992.277	40919.449	34857.367
1.4676	37764.965	40326.152	38107.77	38362.734	39272.922	35850.848
1.6011	38558.012	42344.461	39995.832	38546.051	40215.59	36049.914
1.7345	38503.203	41665.656	41553.035	38160.316	39461.52	34853.016
1.8679	36458.359	42711.32	41220.527	39486.836	39856.758	37257.008
2.0013	38220.574	43910.777	41285.742	38739.887	40860.504	36671.832
2.1348	40828.016	47385.363	42710.633	40570.555	42988.145	40152.113
2.2682	46119.102	55799.949	43633.66	43787.188	50017.836	37769.055
2.4016	59808.266	78145.688	46876.68	49276.582	63918.52	41772.016
2.535	88457.781	125246.43	55498.496	66489.977	95094.953	42897.57
2.6684	109012.477	146660.078	60108.441	91983.281	108979.906	51105.258
2.8019	91427.43	113171.688	53855.367	99035.242	83133.695	63493.098
2.9353	60548.348	77917.82	44585.699	77902.391	58871.016	60954.613
3.0687	46055.391	61589.602	40987.879	67210.047	47749.254	49736.371
3.2021	39912.402	51481.5	41830.145	NaN	43803.453	41920.574
3.3356	NaN	NaN	NaN	NaN	41188.988	40470.832
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
