x	Y_20181208_15694_25_6g
0	30598.0625
0.1334	29955.1133
0.2668	29053.0508
0.4003	28825.6855
0.5337	29298.4473
0.6671	29015.6855
0.8005	29982.627
0.934	29707.0879
1.0674	29440.5684
1.2008	28187.4512
1.3342	28039.3828
1.4676	30241.375
1.6011	29526.9043
1.7345	28641.7051
1.8679	29827.9746
2.0013	28406.4434
2.1347	28704.9805
2.2682	28233.0293
2.4016	29156.2949
2.535	29822.5508
2.6684	31039.2012
2.8019	35050.9375
2.9353	41783.5938
3.0687	43218.0781
3.2021	36826.8242
3.3355	32055.3574
3.469	30192.1836
3.6024	30354.793
3.7358	29840.8125
3.8692	29044.3145
4.0027	30165.5332
4.1361	29763.2461
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
