x	Y_20181208_15693_1_12g	Y_20181208_15693_10_14g	Y_20181208_15693_10_7g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_18_7g	Y_20181208_15693_19_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_9g	Y_20181208_15693_20_4g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_2g	Y_20181208_15693_5_4g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_7_9g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_11g	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	11592.916	8691.1182	10575.0508	10182.1416	12587.9072	12871.6836	11098.2012	12946.4521	10203.0869	9492.8398	10380.7734	11399.1865	10540.543	11220.4561	10188.7324	11005.5674	12250.8711	11418.0371	11298.2021	10457.2686	12714.1328	10410.7314	10527.8643	12415.0068	9730.5371	12246.999	11984.5674	11937.0156	11474.6992	12546.9131	10143.3389	11551.5205	10111.8613	11896.4893	10628.5977	13018.2607	10665.1211	10714.9824	12906.1504	10262.3164	12407.0439	13367.5713	10010.4922	12509.248	11517.002	12320.5439	11495.4414	10184.417	12051.3984	10377.5674	10208.9551	11571.4141	10446.8555	10315.877	9495.7871	11792.1807	11542.3555	14760.4346	11361.6055	9975.6279
0.1334	11775.6396	9358.3994	10947.2832	10844.1533	11948.6094	12588.5117	10799.0986	14322.4805	10824.6797	9783.7188	11087.0215	11829.1123	11420.3711	11112.5381	11392.7539	12085.0928	13245.9219	11957.8477	12149.3135	11407.8779	12002.5967	11228.7207	10615.0303	12275.4873	10576.1445	12285.0059	13593.3711	14399.4414	11273.6758	13625.1162	11232.8291	12786.876	11813.0811	13590.3926	11031.0518	14729.5801	10577.6943	12022.9795	13303.3643	10646.2402	13519.1104	13763.9297	11060.5391	12875.5703	11882.3984	12405.7842	11860.7832	11583.3184	13279.9795	10930.542	10599.3887	12829.833	12057.6816	11017.1572	9281.3193	13115.0254	13366.2236	15750.9229	11860.9766	10370.7803
0.2668	13248.8389	9689.1709	12003.625	11713.9434	13440.5059	14547.1348	11586.8613	18187.248	11387.3906	10885.7549	11396.415	11875.1084	13671.9229	12180.9668	13680.4531	12426.7695	13868.8809	12454.8887	13222.1338	10606.1133	11581.333	12457.2881	11264.1885	13207.6514	11717.9199	13526.0352	16198.4893	15003.3613	11801.8594	14086.1396	13376.3701	15088.3447	14394.9209	16432.4395	11244.8467	17876.3457	12564.9863	15730.2119	14122.3232	11898.376	14690.8643	15002.5547	12452.334	13818.3682	12648.6924	13362.0518	14189.7139	12844.9199	14652.7549	11344.4893	11438.8086	14386.7344	12963.7939	11194.4287	9633.4277	16584.4883	14960.9912	17872.0527	12898.4648	11179.5137
0.4003	15642.0215	9905.8809	14368.4932	13412.0176	15335.9434	17835.9844	12570.7139	18672.3965	12719.8447	13064.1826	12145.373	12735.8516	16340.9736	15085.8555	17129.8027	13895.6201	16239.9512	13370.2461	13304.1396	11661.0312	12700.0039	15469.0879	12463.4785	15806.9512	13130.4072	14348.9678	15301.002	15441.2725	12385.2637	15264.1699	15957.1963	16133.8936	15604.2744	18615.2344	12520.8584	20870.8477	15448.7139	19281.9453	15856.5859	13700.6123	15757.6982	16404.6816	14517.6016	15473.916	14981.0938	15326.7158	18157.8145	14680.9307	15159.7549	11606.085	12507.0938	16832.2676	13631.7637	12118.9658	10649.9033	19050.2422	14103.9502	19569.4961	14129.6895	11649.0791
0.5337	16225.5762	10825.875	15560.208	13946.4082	15168.2871	19140.0391	13870.4023	18241.877	14131.6523	17089.0156	13100.6553	13995.6611	17458.3262	18995.8965	18069.5547	15026.8594	21052.2988	13351.7402	13996.0166	12659.1348	14551.6152	16586.8477	13717.6641	17263.791	13849.2832	14659.415	14863.7393	14247.1445	13411.8535	16861.4766	15802.875	15957.5342	14818.4844	18340.7266	14834.4414	20822.6445	17769.4336	19185	17167.1836	15462.5068	16512.2852	18982.2051	15198.8633	15933.748	16867.6426	16598.5508	22333.582	16786.2949	13558.3643	11442.6348	14450.6064	18738.7656	13948.4033	13253.8301	10962.998	18438.8887	13129.3516	18811.1035	14543.6572	13067.998
0.6671	15492.6611	12800.9199	16699.9648	15155.7656	15103.0352	16915.3555	15047.5234	17009.1777	13780.5059	17409.6113	15680.5947	14886.2305	17700.2539	19375.3027	17759.7734	13829.1816	20772.7715	14140.3896	14165.1064	13614.6836	13735.5439	17265.2285	13329.2246	16925.8711	16510.4414	16096.7578	14634.042	13267.3848	14755.4482	16762.2871	14794.9883	15260.252	15317.7197	16689.1133	17309.9609	16922.8184	17498.6758	16731.5234	17304.75	15653.7168	15829.752	18393.9512	13279.2676	16393.2676	16923.2227	17196.9375	20247.6172	16582.0879	12807.4131	12387.9834	14653.2949	17140.7949	13543.2529	12697.9648	12408.7266	16530.5938	13834.6816	18443.3516	13001.5078	14124.8682
0.8005	17015.4727	15624.1826	16064.3613	14274.4492	14061.4785	16262.3105	14492.7012	15313.873	14159.8145	15787.9355	15658.5752	14308.542	16040.3711	17326.0801	16915.8281	13320.6641	17972.8047	15636.6221	14276.4961	12349.8486	13126.2344	17779.5859	12545.1885	15099.3447	17891.8848	15448.7441	14167.6768	13470.0283	15078.5557	17450.5547	14188.6191	14417.4502	14988.9268	16517.4941	17537.3516	15768.2295	17122.5059	15170.4199	15484.1211	14646.3184	15389.6094	16965.2773	12691.8652	16168.3213	17509.8516	15204.3564	17292.457	19461.1055	11945.0586	14438.3643	14832.1582	16711.6328	14273.6875	11763.375	12835.6943	15035.0537	14281.6025	17199.6035	12276.3428	18527.4004
0.934	16193.0566	18084.3223	15340.0039	15543.0703	14194.8945	15230.4961	13871.7656	13460.3096	14001.54	14756.0518	15139.9346	14291.9629	14779.6484	15655.6797	16743.9668	11801.248	17211.9883	17535.5078	13266.2598	13256.4971	13179.21	17083.5195	12617.7549	14212.5723	17831.0977	14958.3564	14409.3213	13750.1201	13472.5928	17241.3652	15007.6719	14652.5957	13923.2266	16194.6104	17900.6211	15636.2139	15582.4717	14735.7412	13338.7441	14682.5762	14273.3184	15482.4805	13047.9189	16890.6309	17877.9922	14499.2891	15481.9287	18443.877	12483.3789	15281.9258	14718.5859	15544.2314	15553.7842	11751.3057	12568.3086	13611.1357	13457.8389	17969.8691	12576.3623	19391.7656
1.0674	15665.3584	18986.584	17027.0469	16284.0479	14280.4307	14217.3125	13173.6416	13812.5947	14214.9102	13218.8555	15060.2324	13223.7295	14384.6719	14669.4385	16082.501	11795.2383	16622.832	16606.7988	13528.668	13610.4268	13392.8701	16551.0977	12391.3047	14230.6514	17678.5293	15082.1777	14929.7021	15137.4639	13634.6973	17200.793	15667.1982	16293.8486	14266.3066	16221.9092	18344.209	15341.1191	15488.8047	14656.6523	13777.4238	14251.707	13553.7715	15106.5322	13593.666	16577.2754	16295.2646	15953.0508	15517.2061	18624.5215	12924.4102	14592.2607	14253.0342	15453.5342	14937.5879	11506.5107	12527.292	16111.0117	13127.3076	17026.8965	12851.1396	18462.7461
1.2008	16781.8887	16131.9023	17731.6895	16154.1934	14858.249	14644.6104	13875.0801	14239.3301	15008.3418	13792.4258	13870.8447	13318.792	13894.4004	14250.9355	15848.4502	12019.0576	15587.5869	15829.5146	13798.6133	13461.4893	13643.0439	17668.1621	12863.8018	15025.8252	16595.9238	15119.3184	14369.4854	16064.6787	13242.6348	16705.334	15012.3271	15824.2236	14275.2285	16588.1738	18642.0156	15563.6611	15592.9893	14928.373	13470.3574	12910.9805	13243.5732	14741.4092	13345.8926	15862.6416	15370.0273	15805.2715	14904.6299	19654.8418	12110.8613	14565.7422	13942.1572	13766.4395	13728.458	11075.8906	12457.8486	15084.0566	12826.7822	16823.666	13034.0889	17963.8633
1.3342	16728.5371	15259.3164	17817.8574	16094.1465	13813.7881	13546.0381	14971.4814	15260.6885	14416.2568	14467.4395	13309.1709	13215.8975	13928.5352	14074.0986	14279.0938	11491.6445	15383.9209	15027.5098	13936.5205	12597.0234	13294.2354	17523.4434	12979.7959	14254.3018	16908.4531	15213.5293	13510.7725	16533.3594	14420.4736	17249.5664	15637.4141	15782.5791	14126.8623	16558.1699	17479.2402	15399.168	15847.7109	15218.8379	13610.2217	12778.1299	13558.8369	14670.6777	13247.0498	15464.5957	15658.0586	15236.9814	14367.6113	17896.9082	11941.9287	14217.2412	14668.0088	12828.5898	14186.1367	11673.3965	12740.9531	14107.3262	13374.0098	15990.8867	13781.5244	17476.293
1.4676	18540.2422	13959.627	16686.3496	17075.5977	14562.7041	13693.9883	15075.7656	15404.0498	14215.8506	14729.6934	13607.9307	13916.7627	12863.4873	14488.5264	14145.3779	12781.3379	14642.8994	15604.0986	13694.9053	12776.4453	13865.2686	17109.1875	13792.1465	14266.6104	15989.0029	15722.4639	13960.5518	15785.6982	14712.1904	17500.4277	16355.3828	14738.6914	12826.3887	16814.8184	16523.1719	14340.875	15112.6416	15017.7109	14597.0723	13043.1826	13266.0371	13256.3535	13118.209	15173.2471	15218.0586	15275.6035	14771.2197	18140.2402	12040.6982	13574.0889	14448.1484	12527.0645	14962.1904	11739.3486	12594.0029	13643.9121	12345.8076	14946.0557	13840.8701	15899.9014
1.6011	17698.5332	14053.2285	15799.4326	17046.6953	13687.5977	13794.3789	13896.6592	15570.2754	13503.3613	13904.1035	12764.6328	13690.582	12281.9951	12967.8916	13902.71	12669.1924	13945.7686	14672.4551	13694.8604	12216.7793	13954.9482	15923.1885	13661.5361	14467.1035	15004.3682	15346.5889	13592.8975	14851.8691	13569.1611	16547.7539	14686.918	13615.5898	13239.5801	15553.0137	15360.0791	13324.707	15152.4951	14337.1973	14640.7812	12636.1582	14034.3887	13100.2227	12986.6211	14210.9307	14781.4697	15975.7891	14586.8232	17797.6797	12376.3115	14023.3301	14208.5654	13052.8301	15403.7578	11817.1328	12677.3545	14134.2617	12216.1494	14426.3281	13165.0439	14433.3936
1.7345	15607.3955	13288.334	14353.8701	13994.4531	14025.9912	13138.7451	13349.5986	15027.0889	12676.2539	12384.5684	12673.0781	14057.4502	12294.7354	12796.4668	12891.0449	12404.0693	14617.3652	14595.7471	13346.4814	11539.168	13517.5068	15897.6152	12433.3945	14949.1309	15619.2627	15083.5713	13374.0088	13245.3896	13468.8408	17269.6816	14489.2236	13603.3408	13892.3145	13995.751	15870.1045	12526.5674	13578.3076	14112.1689	14581.8125	11605.1582	13297.0166	13624.2617	12953.1748	13359.4277	13721.4678	16922.8164	13597.6543	16455.0781	11784.9502	13112.8477	14123.6982	13279.0352	15614.3096	11716.3662	12912.1133	13975.6045	12171.127	13333.2324	13095.5332	14187.165
1.8679	15169.6172	12382.8984	14319.9922	14323.4033	13167.9355	12599.6436	13285.335	15760.0215	12478.4814	12227.5283	12427.0371	14309.5342	12198.627	12635.8125	11776.6484	12737.4785	15112.0322	13768.7246	13447.2168	11382.7998	13364.3232	14263.6016	13147.7646	14028.5684	14328.7773	14167.8643	13056.1777	11970.8418	12983.4912	16088.082	14361.8242	13327.9346	13825.3223	12684.4941	15170.2344	12784.0596	12247.2793	15184.5625	14677.1182	11976.5986	12632.6045	13057.1699	13722.7061	13186.3975	13192.9492	16297.9434	13652.083	15133.6934	12801.7979	11732.7031	13227.0605	12654.1426	15141.1279	11171.333	13384.1807	12482.6797	12012.0918	13081.2754	12970.9199	14530.8936
2.0013	14846.875	12413.3135	12742.1299	14094.4424	12931.0791	12178.2744	12849.7588	14256.3828	12870.8535	11999.3965	12282.6494	14289.7031	12138.1787	11865.2617	12242.5566	12061.1221	14512.2061	13522.251	12957.373	NaN	12900.7461	13820.4199	12500.0635	13912.375	14095.9854	15057.7012	12417.0674	11618.3252	13286.168	13815.4766	13035.2607	12627.749	13895.792	12505.123	15922.123	12938.6719	12386.4375	14401.7734	14614.8232	11814.6162	12181.0771	12142.8242	12775.877	12745.6602	13286.0908	15279.6904	12940.8643	13604.4932	12248.999	11663.5254	12903.9893	12067.7393	14099.4209	11227.2061	13270.4922	12836.166	11644.1621	13663.6279	12656.209	14951.499
2.1347	14049.8867	12891.0205	12305.9824	12830.2656	11714.7236	11970.8906	13335.1934	13873.0459	12066.4697	11369.8164	12614.5049	13446.5186	12558.9268	11160.2764	12169.332	11521.7158	14155.4404	13952.1162	12318.9443	NaN	13389.9648	13788.7344	11838.4961	13653.2383	13495.3486	14353.9688	11778.7305	11883.3457	13274.6934	13766.6689	12877.3086	12958.8633	14135.2168	11800.3018	15532.4229	12531.6201	11836.584	13380.3027	14202.9287	11743.0703	12578.5693	11744.417	12212.1191	11478.3545	12584.9209	14324.3213	12725.6797	13547.3809	12521.1211	12148.8223	12674.4775	11851.3066	15073.2012	11049.4756	12777.2656	12574.3896	11656.4297	12393.6055	13387.0479	14672.7256
2.2682	13854.1113	13484.1475	11895.8271	13339.7275	12756.1016	12202.0488	12838.1436	12827.5498	11416.2109	10719.4795	12630.0049	13526.6338	13007.543	12003.1553	11104.9473	12107.2412	12468.124	13518.9268	11708.3682	NaN	12747.4355	13417.3359	11814.9121	14060.6553	12382.2949	13822.2354	10799.3555	NaN	13266.7568	13114.6113	12575.6279	12603.5664	13810.9287	11798.4316	15716.7871	NaN	12045.458	12585.9561	12883.21	12029.959	13307.8154	12245.4307	11665.6885	10735.6865	12519.4014	13847.0811	12487.0361	12938.8682	11988.3594	12567.707	12571.127	11593.5791	15242.5684	11280.9102	11646.7227	12027.2051	11763.0918	11762.4463	12924.9873	14287.9268
2.4016	13209.1514	13538.2852	11783.0293	13561.9922	12649.7734	13127.9365	12852.2764	12699.7568	11345.4395	10549.3076	13401.7354	12840.8105	13156.043	11900.168	11201.1572	12785.9229	12448.8613	13603.5547	12039.873	NaN	12882.6768	13529.1416	11562.4229	13291.9014	11793.4834	13798.7852	9368.2549	NaN	13009.1074	13156.5557	11872.543	NaN	13045.6895	12013.9727	14490.5527	NaN	11966.6875	11587.499	12861.3867	12154.0762	13332.458	12375.0469	11892.2627	10805.8271	11951.6006	13212.8359	13271.6465	12803.4521	12104.1035	12646.416	12106.5068	11296.0068	15426.4941	10804.4863	12049.083	12203.7168	12232.5195	11570.8477	14192.8018	13700.2031
2.535	13329.4395	13582.7217	11871.5029	12904.8936	12122.3828	13150.5771	12325.0518	12933.4307	11687.1416	10806.5762	NaN	11784.7871	NaN	11125.0371	NaN	12203.8057	12066.1172	13432.2637	11989.5527	NaN	NaN	13003.9863	NaN	12498.4873	11379.9072	12912.374	NaN	NaN	12521.9971	12986.1914	11637.4717	NaN	13121.7617	NaN	14519.9092	NaN	12440.1924	12187.7715	12573.4258	12131.0527	13363.3281	NaN	12114.1699	10915.1465	12009.1104	12770.2061	12252.4932	12071.4434	12367.8496	12463.25	12332.6748	11658.1523	14801.2461	11644.9727	11310.2686	NaN	NaN	NaN	NaN	12963.0781
2.6684	13064.2002	12326.9941	11765.3418	12526.0625	12174.0117	12846.874	11894.6719	NaN	12020.9365	10877.376	NaN	10582.835	NaN	12252.4023	NaN	12812.8486	12094.0322	13215.376	12008.998	NaN	NaN	13786.2871	NaN	13171.084	11409.1982	12705.7461	NaN	NaN	NaN	13444.6631	11326.8721	NaN	13614.9014	NaN	13149.1748	NaN	12934.2266	12176.2285	12323.8525	NaN	12214.3037	NaN	11454.5918	10163.9717	12241.5596	12214.1553	NaN	12792.4258	12130.0254	12605.7764	11717.2783	NaN	13201.9453	11618.7178	11149.1035	NaN	NaN	NaN	NaN	11557.3145
2.8019	13416.1641	12359.4502	NaN	12256.2295	11401.4004	NaN	NaN	NaN	11790.8047	11208.2969	NaN	10427.9863	NaN	11583.5049	NaN	12745.0029	11349.2334	13522.3516	NaN	NaN	NaN	13149.5645	NaN	12808.3721	NaN	11814.6904	NaN	NaN	NaN	13680.7168	NaN	NaN	12383.6973	NaN	13722.374	NaN	NaN	NaN	NaN	NaN	11374.2959	NaN	NaN	9729.9463	12448.8945	12171.9219	NaN	12864.2227	NaN	12352.752	12001.6621	NaN	13115.1807	11160.8311	11238.0117	NaN	NaN	NaN	NaN	NaN
