x	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_39_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_20_3g	Y_20180212_14590b_28_3g
0	40474.141	37744.473	36211.102	39801.941	40064.125	32177.17
0.1334	41183.84	37758.305	36289.066	38142.168	41620.207	33557.121
0.2668	43330.625	37266.004	35279.281	38149.438	39862.059	34321.383
0.4003	40726.09	38533.23	35579.738	37724.383	38888.34	35183.141
0.5337	42147.141	38911.895	36988.84	37140.523	38487.777	34691.387
0.6671	44341.543	39964.797	36997.469	38196.234	40153.992	36215.531
0.8005	42430.176	39789.145	37925.281	39144.094	41521.703	37932.398
0.934	41470.215	38647.75	37716.121	40096.926	40362.707	36984.125
1.0674	43163.504	39533.691	40238.418	39936.543	40404.621	36545.988
1.2008	43085.422	39520.312	40710.395	40890.848	40486.543	36627.141
1.3342	44461.953	42916.809	39859.543	42970.625	42014.125	38142.145
1.4676	43985.082	45894.652	38796.422	49141.172	44530.051	45172.219
1.6011	45232.484	52976.066	41697.871	65079.602	44535.066	59304.754
1.7345	52292.133	71198.109	44809.273	98106.695	50504.953	69242.523
1.8679	73879.609	86284.922	52534.398	111732.695	65382.461	60367.418
2.0013	111663.336	74858.234	70186.078	88110.555	87844.891	48743.117
2.1348	126681.102	58602.598	94873.852	59072.578	136121.594	41279.922
2.2682	90656.984	49544.199	97546.516	47243.039	167796.922	NaN
2.4016	59804.293	45376.141	71348.914	NaN	143675.406	NaN
2.535	50104.809	NaN	52217.672	NaN	94261.82	NaN
2.6684	46245.375	NaN	NaN	NaN	65558.422	NaN
2.8019	47061.711	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
