x	Y_20181208_15100_11_3g_left	Y_20181208_15100_18_1g_left	Y_20181208_15100_11_1g_right	Y_20181208_15100_18_5g_right
0	29716.9355	32370.3926	25817.8828	28594.6543
0.1334	30722.5508	31600.8887	25777.4883	27915.5918
0.2668	30754.332	31543.9141	27232.5137	27615.0566
0.4003	32481.7812	31547.75	25889.4238	28146.6133
0.5337	31643.1992	33939.8672	25758.1406	29268.3457
0.6671	32254.1895	35015.8945	27285.6543	29066.2559
0.8005	31612.5918	34819.4102	25754.8164	29087.9668
0.934	32894.8203	34206.2031	25889.8027	29218.9629
1.0674	32322.1445	33395.543	27293.3613	30727.1328
1.2008	31805.6172	32942.6719	27227.8262	31126.6055
1.3342	32944.9688	33425.5	26523.8789	29296.0605
1.4676	32426.0684	33162.5859	26777.8887	30850.7754
1.6011	34091.4961	35029.5977	26210.6934	31596.0078
1.7345	33733.6016	33866.6055	25904.8984	31415.002
1.8679	36386.9453	33565.0469	26746.8496	31129.8301
2.0013	38086.9531	33282.1992	27359.0273	31115.1562
2.1347	40260.668	34011.9258	27054.4043	30517.1016
2.2682	41641.8867	33624.5859	27048.2324	27971.1426
2.4016	42370.1562	34467.2773	27109.1211	28203.7676
2.535	41632.7344	35489.3008	28380.2715	30104.1016
2.6684	40876.8359	34637.3867	28024.4395	29494.9453
2.8019	41928.0391	39722.1719	28286.7812	30616.6816
2.9353	52198.707	54417.5	30933.7246	34180.4102
3.0687	70294.4453	72834.4453	38960.2305	38270.6758
3.2021	79662.4297	74546.875	47753.3516	52510.6484
3.3355	64870.3359	56443.1445	41460.8633	69586.2578
3.469	47602.5234	42577.5586	35692.7852	65517.125
3.6024	38854.1211	36297.75	30237.9199	46802.0859
3.7358	33755.0391	35179.7812	28027.0879	36373.0508
3.8692	NaN	33169.1172	26044.0176	NaN
4.0027	NaN	33003.8594	NaN	NaN
