x	Y_20181208_15100b_1_3g	Y_20181208_15100b_13_15g	Y_20181208_15100b_19_9g
0	31773.7852	30680.4219	28727.2852
0.1334	30634.4062	31263.3008	27854.7363
0.2668	30323.2617	28998.6289	28270.8848
0.4003	31621.9336	30406.3242	30317.6484
0.5337	32008.5039	30865.168	29209.4688
0.6671	30650.4199	32276.3828	30175.0996
0.8005	30701.3379	32349.6777	28922.9141
0.934	30220.1973	31996.8203	28805.0859
1.0674	29137.6562	32555.0508	28896.498
1.2008	30098.2266	31125.0879	29972.7402
1.3342	29784.6074	31799.1953	29404.9004
1.4676	30454.2637	30888.9512	29145.9297
1.6011	30826.4844	31955.7852	29561.7852
1.7345	30590.9492	32628.6465	30152.627
1.8679	30966.0156	33122.875	31557.3477
2.0013	30695.3359	39444.6562	33353.6484
2.1347	31565.8418	51923.6875	32467.8398
2.2682	31717.0684	70196.4609	32763.5449
2.4016	33744.2891	76538.1641	38060.9727
2.535	35837.4805	56998.1289	43976.0156
2.6684	42107.5859	39926.9297	46658.3164
2.8019	47124.1484	33761.1367	41553.4102
2.9353	43443.9727	32273.0879	35198.7383
3.0687	39739.9336	30699.7637	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
