x	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_7g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_17_4g	Y_20180212_14590b_18_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_28_4g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_7g	Y_20180212_14590b_35_1g	Y_20180212_14590b_37_2g	Y_20180212_14590b_4_2g	Y_20180212_14590b_41_2g	Y_20180212_14590b_44_2g	Y_20180212_14590b_45_5g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g
0	13884.15	15646.871	17271.621	15740.1	13634.142	17501.232	13879.635	15108.05	14645.059	15939.087	12078.775	12719.844	16268.169	14385.61	13810.308	16597.691	14206.254	14378.884	15958.317	15691.315	15348.539	16216.022	13327.221	13567.314	14385.876	13890.618	15379.378	14016.851	12567.673	15495.031	13080.889	13277.3	14960.002	13651.652	15866.076	12984.581	12909.635	15177.754	14160.704
0.1334	14663.065	15227.772	16929.275	15147.985	14380.918	17778.584	13930.765	16467.393	14773.38	16066.669	12664.08	12608.565	17611.949	15314.989	13740.895	16762.434	14897.279	15671.047	16289.297	15249.833	16710.354	17568.436	13302.512	16360.232	15245.293	14297.957	15595.466	14397.379	13274.238	16456.5	13521.677	12912.342	14788.698	13755.799	16876.135	14535.102	13838.447	15866.479	15940.389
0.2668	16716.469	16361.312	18592.943	16253.938	17546.029	18757.002	14622.967	19457.564	15549.537	17014.055	14088.587	14989.653	18967.842	15778.417	14761.323	17148.684	15262.005	17376.6	19243.59	15214.341	19171.762	19770.117	13876.711	18709.055	16005.277	14391.497	16354.189	16863.482	14944.097	18339.676	14579.534	14692.451	14796.307	14662.766	19323.338	15772.794	14991.128	15908.679	16838.367
0.4003	18454.527	19266.951	20925.701	19185.021	19453.578	19877.844	16354.709	21780.975	18934.879	20334.969	15242.43	18261.938	24989.756	17385.406	18234.418	18924.564	16741.131	19066.906	20860.537	16877.748	19872.516	20829.064	14689.598	18690.428	18088.125	16218.474	18237.936	18332.742	15797.236	19431.246	17046.576	17477.473	17184.5	17368.102	25703.707	17129.434	17503.984	18461.533	19857.213
0.5337	18598.703	19082.109	24404.992	18917.783	17774.25	20147.312	18815.223	22170.777	23914.9	26115.717	18213.141	21683.703	31602.635	19613.188	20644.674	23280.045	17399.051	20395.455	20724.99	18692.498	19073.775	19539.471	15295.174	17176.977	20481.041	19017.705	20468.289	17992.533	14173.088	18438.414	19514.947	16625.84	22422.203	18980.256	30302.961	18327.809	18454.879	20785.02	19006.928
0.6671	17743.197	18498.812	25071.355	18328.863	16090.169	19813.24	20347.852	21501.963	27104.434	28959.863	24035.469	24346.279	32641.258	21651.627	20920.197	24401.646	16551.514	19038.252	18487.506	18318.295	16941.885	17840.1	15164.626	15846.634	21815.59	21028.094	21219.48	16937.635	13871.409	18921.738	21787.76	15782.67	23037.582	18852.357	29284.576	16519.322	18952.252	19991.516	17854.867
0.8005	17016.984	17884.939	23652.039	17380.291	15577.966	19109.736	20150.625	20749.484	24601.285	25465.439	25262.746	22937.406	27461.117	21003.385	20597.061	24470.285	15825.673	19063.332	16448.822	17137.223	17199.586	15677.304	14742.535	15309.036	21233.75	19502.504	20987.988	15017.401	13135.16	18933.646	21029.395	14583.086	22289.107	17905.344	24398.105	14120.126	18621.062	17875.324	18458.566
0.934	15926.827	18173.711	21085.016	17847.246	16105.817	17532.145	18369.346	18743.309	23456.619	22968.5	22004.432	24353.221	23459.041	18800.6	20030.52	23359.699	16250.267	18578.984	14899.551	16571.76	15330.896	15393.242	14284.328	14851.089	18420.682	18846.018	20533.525	14733.766	13249.275	19469.064	19611.277	13838.436	20822.676	18715.199	22491.938	13431.372	19905.293	16049.409	17127.293
1.0674	15654.475	16538.691	20064.43	16437.609	16160.437	17905.41	17950.359	17414.67	23305.73	20241.504	19219.455	23780.184	23508.658	17805.766	18115.344	22733.715	15854.236	17083.812	14326.138	15647.546	15469.184	15215.896	13517.903	14648.537	17966.988	18292.242	20237.939	14714.973	13600.593	18804.334	17222.168	14280.921	19183.666	18735.828	22404.424	14097.643	18795.539	15939.798	16154.717
1.2008	15946.907	15771.77	19247.498	15464.826	16276.388	18919.088	16316.656	16636.326	21898.529	17730.033	18233.877	20194.518	22189.609	16256.729	17911.656	21508.193	16401.252	15714.135	15052.67	17251.818	15916.196	15790.44	12638.193	15790.808	17994.074	18153.605	18721.117	14632.285	13870.789	18712.203	15150.206	14425.922	19232.156	20079.373	21175.172	14017.429	19131.508	15044.416	14515.233
1.3342	14714.186	16549.752	19203.977	16313.805	17157.824	20467.18	16665.512	16829.895	19246.639	16674.662	15522.888	18663.895	19466.723	15829.139	17732.09	19253.045	17219.73	14977.946	17567.043	18540.984	17949.906	16187.059	13957.751	19637.34	18524.377	19901.684	17216.32	14894.869	15783.214	18268.443	14606.333	15941.505	17829.318	20219.307	19394.293	14312.115	19971.404	15282.833	14649.062
