x	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_8g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	28804.2754	34894.2422	29814.2891	34238.7383	29933.5195	29814.5195	28012.9609	30265.0918	29027.9414	29835.7383
0.1334	27292.9805	34694.8281	29539.3984	34755	28893.3613	29566.0781	29926.1406	29973.7637	28131.9844	29993.0391
0.2668	28798.9375	33296.293	29485.8047	34264.7578	29668.6953	30806.3926	28328.8047	29811.4922	29095.8398	29314.7949
0.4003	28898.2832	35000.5234	29274.6133	35759.1797	31023.4453	30382.2969	30068.1016	30357.4238	30066.5098	28794.873
0.5337	30603.5996	34967.5938	28807.207	35091.3828	30503.6719	30884.3184	30843.8906	31137.8867	29444.2344	29454.7227
0.6671	28910.625	35655.3867	29178.4531	36632.1328	31773.4023	31252.2812	31593.0879	32280.0605	29534.6426	30160.3301
0.8005	29006.2363	34617.0664	28322.7812	36357.1523	31846.8516	32022.5879	31693.791	32613.543	29374.6211	31508.6348
0.934	30130.9609	34066.875	28327.5977	34419.3594	32223.2109	33013.1641	32779.0508	32943.4844	29648.0723	31045.625
1.0674	28343.5996	35150.6289	29524.209	34643.0547	31958.6309	32230.4531	33588.3789	33584.9492	29340.8281	30714.2207
1.2008	30309.3223	37437.7266	29799.8984	35383.1133	31412.0957	30920.4375	34782.4922	36175.0664	31015.8652	31484.1445
1.3342	30234.9941	37467.3672	30547.4121	36389.8281	31863.9844	30513.4805	34327.2266	40797.0781	31906.1094	31538.1758
1.4676	31381.3027	42433.8242	31353.3359	37803.043	33074.6016	32365.3418	39336.3477	49719.3086	35562.9766	32411.791
1.6011	35577.7891	53668.8359	31431.918	46319.7422	32527.3125	32961.4141	47892.1172	71082.0156	44735.168	32357.9883
1.7345	44782.4844	79209.6875	36891.0742	63127.207	34542.8789	34736.9727	71809.6953	84513.5312	56769.1523	34384.1133
1.8679	58284.3438	107404.9375	45995.3438	71048.6875	38632.1992	40135.8789	103918.6797	68828.8359	59919.8672	35129.8984
2.0013	60659.6094	100464.5781	54477.0586	58069.7617	51205.7109	47404.8164	102840.4219	47855.125	55986.3281	37928.8047
2.1347	47800.0156	65657.0156	49290.1367	43759.1914	72213.3984	54043.793	70697.75	38221.9141	48167.9023	43808.5508
2.2682	37429.6641	50302.3984	38441.0039	37336.7812	83338.4922	48497.7812	48930.4062	36263.9141	40845.3555	47562.7188
2.4016	33071.5039	47761.6836	32882.9258	35305.7148	65338.9219	38369.1211	39103.5273	34402.9141	34253.9375	43871.6719
2.535	31838.8828	NaN	29065.5312	33655.7734	46729.2656	34120.2227	33520.2188	NaN	NaN	37321.4883
2.6684	NaN	NaN	27802.6777	NaN	38591.6836	31479.2012	NaN	NaN	NaN	34533.3672
2.8019	NaN	NaN	28015.7402	NaN	35399.3633	32480.0254	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	32844.2656	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	31428.8809	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
