x	Y_20181208_15693_1_5g	Y_20181208_15693_1_8g	Y_20181208_15693_11_10g	Y_20181208_15693_11_13g	Y_20181208_15693_12_1g	Y_20181208_15693_12_2g	Y_20181208_15693_12_3g	Y_20181208_15693_13_12g	Y_20181208_15693_14_4g	Y_20181208_15693_15_11g	Y_20181208_15693_16_4g	Y_20181208_15693_17_11g	Y_20181208_15693_17_6g	Y_20181208_15693_17_8g	Y_20181208_15693_20_1g	Y_20181208_15693_20_3g	Y_20181208_15693_5_9g	Y_20181208_15693_6_4g	Y_20181208_15693_6_9g	Y_20181208_15693_7_11g	Y_20181208_15693_8_11g	Y_20181208_15693_8_12g
0	13457.7246	11935.8008	10512.8105	13831.002	14551.6299	11147.874	13228.96	12929.125	10672.5088	11974.7178	12482.708	13133.9082	10218.8838	10369.749	12875.96	12946.7275	14773.4814	9601.9346	12209.416	12098.0654	12250.8242	11319.8223
0.1334	13681.4775	11889.5156	11894.8838	13864.8496	18579.1367	11151.3887	14256.417	13498.4404	11359.9043	12482.3115	12686.6914	13812.6143	10077.4082	12094.0176	12945.7314	13770.9609	17594.3242	9429.3145	11908.1621	12777.5107	14834.6074	12143.8574
0.2668	15806.8779	13841.4863	12926.5967	13464.5732	17965.582	12198.8428	18150.8594	15637.6455	11691.373	13278.7627	13703.9756	16485.3281	10287.9463	15311.5176	13518.1465	15505.4414	19924.7148	10095.7812	13148.5264	12976.0156	16834.3535	13713.2129
0.4003	18228.4922	17101.3867	13071.8262	14075.499	15383.9697	13630.4111	19443.4961	20284.4824	13633.9102	14232.0576	16409.9824	19593.5781	10413.3555	22427.6719	16102.248	18521.3809	19144.0098	10049.7715	14532.1162	13418.9238	18091.0664	15901.2871
0.5337	18587.8613	17801.4961	12295.3525	15897.1592	14043.123	15619.165	17150.4805	23469.418	16308.8828	17452.1426	19388.6289	22111.1602	10674.2871	25514.3066	16981.0098	19503.4941	16386.1172	11081.9893	15085.7324	15061.9834	15526.9561	16866.4004
0.6671	17080.1094	17075.9082	11839.5645	17742.1289	13026.1113	16609.2227	13995.4551	23053.8984	17370.2656	19333.0371	19873.4922	20884.8184	10817.5615	22836.957	17523.4922	16607.457	15421.2773	12003.9678	15329.6836	16325.6484	14523.4844	16286.9482
0.8005	14319.9648	14709.4854	12328.8311	17283.2402	12762.4014	16049.9824	12245.3135	19604.0039	14929.6602	18521.5762	20359.9395	20302.2559	11179.5586	18664.4004	15411.7344	14591.958	14290.458	14073.7188	14506.3086	15387.1328	12476.3301	13857.8447
0.934	15322.3359	13162.2295	12034.3135	14959.3398	12704.9248	14849.9336	12272.5674	18039.7031	13468.748	16936.6914	17161.1602	20293.2285	11400.3184	16934.1738	15437.1328	12878.8018	14595.0312	14793.5039	13976.1289	13678.5801	12581.0215	13258.9277
1.0674	15559.2139	13174.9268	11842.4697	13372.6494	13706.2715	14841.6943	12614.96	16401.7344	12789.2422	15506.5889	14300.0977	23525.4668	11337.0078	15351.3438	14679.0781	12290.248	14807.5986	15819.2998	12787.6934	12907.9092	12389.6016	13317.1436
1.2008	15639.6943	13445.4004	11864.4346	11726.5479	14189.6396	14430.8486	13556.9004	14685.3145	13328.9639	13898.5342	14453.2656	24102.6836	10963.1494	15307.9346	14793.2344	11767.5137	14425.3975	17242.0488	11700.9512	13182.9102	14216.9297	13909.6768
1.3342	14992.3828	13210.0928	11910.3682	11569.7715	14316.1738	14328.2939	13386.7861	13969.04	12763.3184	13402.7822	14197.2451	22391.3652	10839.96	14390.9297	13861.2236	11774.1172	14789.5645	17311.8613	11236.5576	13528.3154	13909.043	13827.0088
1.4676	14679.3779	14354.4736	11895.6357	11853.5137	13329.2324	13345.9062	13837.8008	12667.0273	12814.001	13490.4395	13075.2812	18780.1445	11353.1338	14294.3828	13597.2197	11857.752	15469.9658	17031.748	10957.792	13695.6289	15304.126	13624.291
1.6011	13163.1992	13724.8779	11524.4189	11708.2461	12796.4551	13302.7207	14422.6045	12179.5908	12615.1797	13384.251	12766.2139	18371.7031	11446.5361	14354.1182	12545.9688	13417.8438	16115.5342	16758.166	11759.4365	12903.8545	14340.1211	12344.2217
1.7345	13237.957	14368.8184	11398.1943	12494.1914	12505.584	13334.1006	14783.2676	12316.8174	12042.5576	14396.4629	11978.8672	17644.3398	11256.2744	14813.7285	12701.9756	13185.3535	15093.1572	17328.7891	12385.2197	13114.7441	13960.0039	11164.4756
1.8679	12068.9609	15248.3213	11218.1865	13172.7422	11448.2266	12124.8633	15195.4912	12442.8594	12367.0029	13090.1797	11971.4463	15592.127	11477.8691	14848.3994	13205	12308.7393	13461.5098	15348.1055	13246.4814	12691.3438	13512.5645	10765.7852
2.0013	12224.0771	16249.3359	10843.3408	15275.957	12402.0342	12779.5137	14994.3691	12212.9639	11888.7441	12737.3389	12292.626	13628.918	11139.5283	13320.8457	12737.0986	12127.2568	12583.0684	14514.8916	12921.5859	13558.0029	12693.7822	10249.9805
2.1347	12279.3535	16120.2451	10621.7773	15581.6523	13032.1953	12881.1182	15902.7959	12271.5732	11842.9297	12019.127	12222.8887	12633.1152	11083.8594	13971.3682	11735.3984	11611.998	12094.7119	13928.4951	11527.7168	13668.4268	12539.3613	10553.6807
2.2682	11706.9688	14998.0498	10562.4619	14696.4492	14159.1738	13130.7676	16287.002	11794.3857	11963.3057	11960.0947	12332.0264	11431.6826	11863.8496	12725.9561	12095.8682	11187.6494	11301.6807	14103.5459	11124.2051	13859.0039	12020.3301	11241.9453
2.4016	12097.8096	13413.3574	10432.3389	12968.6406	14778.9443	12088.9336	15411.2109	11606.5566	12178.0811	13062.835	11426.6377	11153.7676	11761.6543	11578.8008	12037.3447	11964.5781	11227.9463	13858.3008	11291.2734	12365.8379	11769.4268	11527.7324
2.535	12845.6855	12535.9883	10219.4316	12862.9561	NaN	12104.1318	NaN	11649.415	11627.8896	13926.748	11357.5713	11114.96	12026.8682	11785.6172	12167.4961	11920.2197	11453.4424	12865.7939	10927.4141	12384.7451	11539.8711	11109.5322
2.6684	11954.8809	11635.5684	9919.3447	13046.8291	NaN	11271.6084	NaN	11866.3125	11800.7803	14417.2949	11809.6318	11237.0508	12236.3604	12062.6934	12664.6436	12117.6836	11264.5781	12247.6406	11269.9482	12615.0029	12378.2979	10663.2471
2.8019	11753.4834	11376.0742	9968.627	13212.5049	NaN	11654.4326	NaN	12433.3828	12413.6689	14394.8428	12035.1699	11824.9033	11871.1738	11122.8594	12233.3174	11728.9775	NaN	NaN	10890.1221	14009.166	11369.1133	10257.9473
2.9353	12332.9736	11692.9023	9787.8506	NaN	NaN	11646.4316	NaN	NaN	12182.0244	13591.8105	11037.0586	11665.667	11543.2227	10988.8799	12308.751	11806.5166	NaN	NaN	11318.8311	NaN	11163.5	NaN
3.0687	12271.9297	NaN	9376.3096	NaN	NaN	NaN	NaN	NaN	12465.3496	12738.915	11561.2764	NaN	11316.7734	NaN	11832.7705	11911.4453	NaN	NaN	NaN	NaN	NaN	NaN
