x	Y_20181208_15693_1_11g	Y_20181208_15693_1_13g	Y_20181208_15693_1_15g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_10_6g	Y_20181208_15693_12_8g	Y_20181208_15693_13_11g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_14_9g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_18_4g	Y_20181208_15693_19_7g	Y_20181208_15693_19_8g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_4g	Y_20181208_15693_4_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_12g	Y_20181208_15693_5_6g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_6_8g	Y_20181208_15693_7_10g	Y_20181208_15693_7_1g	Y_20181208_15693_7_4g	Y_20181208_15693_7_7g	Y_20181208_15693_8_4g	Y_20181208_15693_9_4g	Y_20181208_15693_9_8g
0	12738.5059	13337.5537	13307.5391	12140.0771	10944.4102	11636.2646	10571.0625	12604.8584	14049.8711	11040.1133	13937.6504	12562.1514	13398.6953	11064.46	12313.0498	9927.4883	11811.6348	11854.0898	11466.7852	12194.6631	11401.3018	13225.4336	13353.6602	12489.7783	11909.8496	11429.667	9831.918	14694.9463	10348.8066	10189.707	11837.9941	14013.4863	10106.1826	14597.6631	16392.877	12314.584	12415.2285	13348.7236	12576.7148
0.1334	12905.752	14830.8076	13870.7773	10989.8262	11369.8047	12192.748	10989.3584	15530.5967	14293.6875	11776.1172	19290.7148	12997.5459	15036.8184	11695.292	12996.4004	10416.9844	13823.9316	12805.0215	12840.6553	12222.6729	12267.8105	15358.1641	14138.4619	15069.1152	13657.418	11540.7471	10481.0938	14761.0312	10858.7949	10853.4365	12614.7559	13324.1299	10722.4512	16518.3164	16525.3027	13143.7227	15446.5635	15401.6436	13784.375
0.2668	12460.1895	17805.1426	14627.6689	11899.4014	12835.1904	13916.7832	12764.9873	18209.8418	15896.2451	14552.1416	22379.9609	14115.2773	16534.1367	11811.124	13626.7061	11386.3594	14179.8594	16154.9229	15096.7861	13468.9443	13525.9326	19110.3828	16560.3691	18261.4297	17593.998	14174.6865	11776.6543	15460.9873	11069.9316	11960.0811	13747.0156	14858.8643	11617.0176	20639.0742	15296.7793	14608.6895	16584.2754	17837.1621	14091.7432
0.4003	12731.9043	19947.457	16560.3184	12234.3447	13617.4707	15643.8203	14934.8213	17302.0996	19298.8242	16630.7812	21073.0078	15024.8945	14954.417	14570.6729	16501.252	11687.916	14030.7725	20615.2246	18166.9844	16702.2012	16128.6279	20334.1172	20253.5195	22973.7969	25719.6582	16511.6934	13338.6943	17894.248	12550.6221	12849.1045	15668.6787	16835.0488	12430.3174	19726.0312	14618.1719	13846.8291	15843.7285	18158.877	14790.7041
0.5337	13028.083	16625.3457	18309.2441	13038.416	14353.0996	17132.4258	14797.3105	14718.4658	25818.1035	15160.1436	17730.4492	14433.877	13395.209	16273.2363	15024.7754	12716.001	13091.0977	21184.3691	18241.1348	17597.0117	18620.3242	18215.2715	19718.4531	23739.3457	33047.6328	17397.4062	18481.3379	21234.8887	14628.6943	13861.1904	18165.5293	16864.9336	13758.6455	16836.2422	13608.1797	12416.8027	15053.832	17243.0371	16518.7695
0.6671	14884.6074	13340.3125	18054.2402	14216.7891	13175.4268	16914.1504	13574.5557	13232.8838	28453.9609	13872.7598	17377.5801	13419.5977	13451.9229	17026.0078	14121.2637	14134.4482	12344.5537	18055.8086	16190.5977	16754.7227	17636.7734	16190.6807	17670.8867	20766.5391	29365.2344	13884.0283	19423.4844	18973.0586	16777.3848	14459.2295	21302.2637	16402.8145	13671.3711	15522.54	13914.7314	11953.0645	14490.6201	15153.4219	17206.3008
0.8005	15737.9531	12653.8086	16241.374	14616.0176	11917.0723	15213.9121	12695.793	12307.8652	24968.0859	12534.0283	16809.8477	12930.5527	13527.0703	17156.6309	13041.9346	14593.6963	12466.3164	15835.042	15649.3457	15250.1221	15972.2129	15001.5635	15757.5059	20012.4551	21516.3086	13969.3945	17262.6426	18370.7656	17527.6758	13483.71	19923.0586	16446.625	13675.0752	15104.7256	13240.2715	10858.3271	14027.1377	13948.957	16215.4844
0.934	15850.5361	12046.6777	15060.4512	13401.957	12184.9902	14186.8154	12530.2871	11057.4121	22504.6875	12563.7988	17145.6074	12605.3799	12549.0527	15751.7646	13989.4678	13081.6621	12165.1855	14893.2383	15531.543	13640.1279	15042.3799	14499.7012	15071.0723	19192.9941	17226.5098	13438.752	16488.375	16839.8164	17612.4277	13140.8652	18293.582	15744.6455	14258.6729	14244.7695	13065.6025	10880.4375	15810.2236	14488.5254	15051.7012
1.0674	15328.9131	12306.4814	14063.7148	14016.1904	12817.1367	14497.1152	12645.8662	10934.6182	20390.3223	11757.1152	18579.5879	12836.2871	12329.1602	14162.5312	14685.8525	12885.6885	11641.9277	14920.1787	15238.2344	13097.5312	14360.5586	14400.418	13845.0039	19641.7227	15207.5117	12933.9609	14882.4482	16506.6895	16703.002	12586.0303	17110.7617	14977.4795	13716.2402	13861.1396	13443.1875	11342.6318	17988.7266	14799.0293	14169.459
1.2008	15098.3936	12806.8359	13082.7627	13664.4551	13085.4219	14243.1562	11913.1143	11107.4414	19420.0781	11270.3115	18769.2344	12342.0059	11459.5098	13818.9668	13714.3916	13642.9297	11982.791	14392.6455	16023.8027	12176.7139	14627.5391	14032.3945	13417.4883	17663.7344	14423.1973	13151.207	14203.5078	16719.4316	15894.3545	11902.8398	16674.6348	14894.9951	13961.999	15044.127	15616.7764	11244.8184	17960.4258	15094.9287	13235.9053
