x	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	10373.3994	10153.2744	12823.4824	9791.3066	9015.2578	11968.541	12088.6787	10962.0996	14368.8467	10527.0615	12064.8408	11014.9912	12222.1787
0.1334	11574.6484	10221.4521	14007.7607	9485.1318	10534.0293	13827.4922	12936.0615	11823.1611	14183.7227	12005.0576	11200.6348	11680.2139	12267.167
0.2668	12733.9844	10857.8164	15201.458	9795.29	11876.3242	15853.9395	14043.7881	12830.8604	15162.5391	14329.0088	12239.8633	12992.1152	12315.0635
0.4003	16261.4121	12234.0869	17415.3281	10854.9814	13760.0977	17952.6641	16267.3721	15091.2422	16647.9023	16245.3369	12908.7139	14683.3701	13288.7207
0.5337	20850.832	15250.6387	17915.4121	12894.9014	12307.541	17555.2637	14918.2939	15999.6074	16961.1836	15022.791	13281.1221	14400.8838	17180.3145
0.6671	21591.5645	17052.0996	16142.2822	14177.3955	11640.9512	15292.3457	14995.9004	16974.0312	14712.1338	14564.8867	15499.4609	13783.8086	20156.8418
0.8005	20926.5312	17542.7891	16097.0547	16102.9316	11932.2031	13360.1748	15171.2871	16982.6562	13418.3799	14023.3037	14190.1592	12812.0518	21282.4102
0.934	20035.8828	15551.3594	15080.4424	16180.9482	11710.9043	13266.8555	13555.1621	16397.8047	12542.2871	13826.9287	12656.8867	12309.5654	18210.543
1.0674	22901.0234	15109.7158	14995.6523	16526.1719	12413.2666	13956.751	13926.8701	16958.2324	13072.8291	14612.623	11868.5938	12384.2803	16957.8281
1.2008	23534.3008	15716.1396	13403.3584	16298.3418	11607.6934	12623.7422	13382.2383	15782.4336	12877.9854	14208.6748	12001.835	12424.7266	14515.9482
1.3342	21434.0078	16938.7852	13504.2656	16836.6309	12948.832	13082.8125	12912.6055	15185.9219	13023.332	13689.2881	11845.2754	12892.5586	13831.543
1.4676	19410.0723	16450.3887	12161.1543	16067.1973	13038.5625	12764.124	12688.2236	14287.6523	12534.4355	13299.5518	12323.9678	12196.5244	12972.3438
1.6011	17088.6445	14768.457	11486.4375	15462.7646	12983.0664	12593.5908	13167.4873	14131.2568	12540.79	12907.5439	11847.4912	11730.9219	12860.3672
1.7345	15417.2422	13130.8232	11352.9785	14326.9756	11943.7178	12708.3311	12883.8857	13282.7305	12902.8105	12804.0312	12014.6357	11632.3857	12614.9551
1.8679	14704.6758	12450.4531	11499.4736	14262.0215	12623.1445	12539	12271.6426	13013.6826	12990.3574	12283.0674	12246.3359	11997.7217	12800.8057
2.0013	13764.291	12049.9521	11530.9951	13807.3594	12246.3193	NaN	11517.3691	12079.4473	12778.7852	12460.0723	12496.9072	NaN	11656.4502
2.1347	13481.4521	11934.1689	11383.582	13081.1807	NaN	NaN	10818.1865	11656.4561	13224.5342	12733.5986	12077.4258	NaN	NaN
2.2682	13473.2256	11714.3936	11703.0342	12082.874	NaN	NaN	NaN	11659.2705	NaN	NaN	12659.6787	NaN	NaN
