x	Y_20181208_15692b_12_16g	Y_20181208_15692b_8_7g
0	9930.541	8978.7686
0.1334	10030.6084	9494.9727
0.2668	10447.6377	10791.085
0.4003	10730.2656	12781.0498
0.5337	11686.9043	15187.9834
0.6671	12508.5977	15376.0322
0.8005	13025.376	13908.6387
0.934	13848.0537	14749.1729
1.0674	14599.6465	14264.082
1.2008	13765.2432	13759.0615
1.3342	13626.4893	13658.4229
1.4676	13251.8574	13695.4521
1.6011	13300.3721	12849.3584
1.7345	13235.6475	12434.1211
1.8679	13643.3711	13365.2598
2.0013	13116.5498	11949.835
2.1347	13057.54	11729.4297
2.2682	11961.8809	12147.2461
2.4016	12140.6465	11836.5088
2.535	11833.4639	11540.9434
2.6684	11919.8545	10671.7236
2.8019	12677.71	10713.8643
2.9353	11609.6162	11367.2881
3.0687	12246.2803	11450.0586
3.2021	NaN	NaN
3.3355	NaN	NaN
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
