x	Y_20181208_15694b_1_6g	Y_20181208_15694b_6_6g
0	32140.9355	30927.2773
0.1334	31168.4941	30612.7383
0.2668	31019.8633	30699.4805
0.4003	31089.2734	29686.959
0.5337	32324.5332	32123.3711
0.6671	33067.0078	32011.7012
0.8005	33475.7812	34409.4492
0.934	34737.2812	39184.957
1.0674	40565.5938	51165.6875
1.2008	55479.4805	71995.0625
1.3342	85712.0781	84354.2656
1.4676	104060.7969	70210.6328
1.6011	83453.2266	51774.4883
1.7345	54683.8281	39703.7188
1.8679	41441.7695	37141.2656
2.0013	38372.0312	NaN
2.1347	34609.0117	NaN
2.2682	33343.4492	NaN
2.4016	NaN	NaN
2.535	NaN	NaN
2.6684	NaN	NaN
2.8019	NaN	NaN
2.9353	NaN	NaN
3.0687	NaN	NaN
3.2021	NaN	NaN
3.3355	NaN	NaN
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
