x	Y_20181208_15694_12_3g	Y_20181208_15694_16_1g	Y_20181208_15694_20_1g	Y_20181208_15694_24_3g	Y_20181208_15694_29_11g	Y_20181208_15694_3_19g	Y_20181208_15694_7_4g
0	9004.4385	9866.7598	11078.9209	9483.9316	14827.4404	12777.5713	11036.8496
0.1334	9481.6445	11037.9404	11993.334	9593.1221	16693.3848	15547.4785	11113.0439
0.2668	9543.166	10874.7139	14365.9365	10548.2109	14995.9492	18995.2344	12491.8008
0.4003	9950.6367	11066.7891	17102.8438	10914.6445	15014.3389	19037.043	14599.1328
0.5337	10653.4395	11044.7412	17817.8281	12726.5059	15187.7188	17531.7031	14831.9121
0.6671	11564.4141	11268.1104	15513.1006	16188.5459	13755.1094	17775.627	14612.3174
0.8005	11771.2373	12409.6611	14057.251	16009.4434	13471.9932	17249.834	14926.335
0.934	12268.2734	14063.0137	13997.4414	14384.0049	13484.2773	16552.0605	14268.6152
1.0674	11802.7881	15190.3066	13587.0596	14332.3262	12703.1562	15705.9521	14100.501
1.2008	11445.7109	15089.4023	13520.1396	13541.1123	12628.8799	15382.9805	14476.1201
1.3342	11814.3066	13748.5693	13430.0752	13871.3389	12951.6074	15421.8369	14603.2285
1.4676	12102.5254	13202.5645	13084.9893	13531.501	14254.1895	16541.4707	14243.3154
1.6011	12792.8467	13185.7471	12848.25	12652.7627	14308.4053	16521.3438	14623.9014
1.7345	12802.9033	12858.6621	13159.9668	13127.834	13912.5654	14774.9482	14427.3906
1.8679	12531.7529	12983.8828	13223.5391	12869.2256	14564.7246	13024.5537	13595.3135
2.0013	12011.1699	13099.2969	13657.7168	14116.1973	14936.5186	12616.873	13361.4795
2.1347	11847.3828	13517.6611	14076.0322	14397.0703	15252.3105	12867.585	13442.6777
2.2682	12673.8574	13186.5166	14756.7725	14813.5557	15746.7197	13677.748	12851.542
2.4016	13453.9062	13610.3105	15979.8926	14740.9531	16043.7617	14245.8516	13337.29
2.535	13640.627	13510.3613	15757.2812	14693.0674	15168.1221	14425.8652	13446.5352
2.6684	13046.3857	13288.9121	14813.1016	14132.3662	13732.3125	14187.0576	12204.7773
2.8019	12784.9844	13076.5293	13712.7852	13754.1338	13342.6191	13815.9453	11582.3994
2.9353	14055.5	13028.0811	13952.2705	13275.1855	12363.999	13452.3779	11362.8994
3.0687	13462.6201	11759.5459	14430.6387	13379.709	11853.749	13044.2998	10896.332
3.2021	13891.9004	11500.8838	13654.4502	12896.3779	11363.2812	12798.1143	11584.3955
3.3355	13200.2236	12203.0557	13354.7168	12828.1982	11236.3359	11780.9697	12392.6855
3.469	12452.9199	12763.5781	11861.2305	12671.4062	11429.8223	10921.5078	11278.3389
3.6024	12382.9629	12307	11491.8809	11652.4385	11606.8252	10442.4199	11784.8271
3.7358	12386.2422	12555.3301	11187.9092	11935.4004	11480.1465	10024.835	NaN
3.8692	11795.8672	11807.5703	10581.7539	11622.4727	11513.5527	NaN	NaN
4.0027	10984.9521	11787.1689	10877.1318	11266.3828	NaN	NaN	NaN
4.1361	10973.5137	10918.1846	NaN	10859.1016	NaN	NaN	NaN
4.2695	10687.2363	10444.4893	NaN	10548.9961	NaN	NaN	NaN
4.4029	10456.3047	9875.6357	NaN	10147.9385	NaN	NaN	NaN
4.5363	9930.2861	9134.0117	NaN	NaN	NaN	NaN	NaN
4.6698	9798.457	8977.793	NaN	NaN	NaN	NaN	NaN
4.8032	9609.4766	8909.1621	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	8689.502	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN
