x	Y_20180130_15100b_11_8g	Y_20180130_15100b_14_1g	Y_20180130_15100b_15_3g	Y_20180130_15100b_23_2g	Y_20180130_15100b_2_6g	Y_20180130_15100b_9_15g
0	11823.888	12084.73	11962.223	12937.297	12527.753	10964.138
0.1334	12289.417	12803.644	11940.078	13470.185	13383.344	12014.069
0.2668	12993.562	13173.61	12827.633	14209.24	13555.157	13261.444
0.4003	13642.189	13925.64	15793.524	17387.686	15292.066	14295.534
0.5337	13598.013	15028.403	17943.502	17277.59	16340.799	17520.527
0.6671	13324.634	14423.782	19633.295	16033.087	16251.478	16976.676
0.8005	14533.836	13877.555	17452.875	15964.157	15882.057	15122.19
0.934	14434.182	13630.87	16148.665	16850.307	15463.346	15788.261
1.0674	15301.735	13112.087	15356.882	16376.562	14897.138	15983.949
1.2008	14428.996	13592.239	14998.463	16109.26	14576.675	14717.19
1.3342	14409.721	13796.397	14778.179	15538.082	14618.595	14868.727
1.4676	13726.916	13646.442	13738.727	15368.002	14578.336	14332.56
1.6011	13359.07	12814.073	14767.077	15756.65	15255.825	13782.799
1.7345	12993.24	12369.498	13423.748	15761.77	16208.22	14102.301
1.8679	13506.714	12379.34	13130.82	14482.361	17247.762	13872.182
2.0013	13638.606	12028.805	13549.678	14196.142	15877.109	13857.002
2.1348	13276.33	12241.381	13915.52	13688.034	14002.662	13147.315
2.2682	12921.197	12614.858	14022.6	13587.429	13735.437	12564.695
2.4016	13419.773	12041.764	13429.338	14006.708	13942.933	12368.932
2.535	13988.731	12145.763	12480.84	NaN	13112.698	13560.224
2.6684	13398.158	12796.553	12162.688	NaN	NaN	12892.143
2.8019	12169.296	NaN	12103.679	NaN	NaN	NaN
2.9353	12582.577	NaN	NaN	NaN	NaN	NaN
3.0687	12509.411	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
