x	Y_20181208_15100_11_5g	Y_20181208_15100_13_3g	Y_20181208_15100_16_4g	Y_20181208_15100_16_8g	Y_20181208_15100_18_6g	Y_20181208_15100_19_3g	Y_20181208_15100_20_9g	Y_20181208_15100_21_11g	Y_20181208_15100_22_10g	Y_20181208_15100_22_4g	Y_20181208_15100_27_1g	Y_20181208_15100_27_7g	Y_20181208_15100_6_4g
0	34471.9023	26500.5332	26318.7656	30102.9414	29247.4141	25125.2383	31639.9727	31560.0664	32304.7656	28757.7344	15689.7109	26506.6172	30195.1348
0.1334	30741.666	26929.8906	25984.127	30485.4668	29759.7363	24912.2324	31545.5117	32748.6543	34063.3164	28303.873	15117.7139	26367.7852	31734.5898
0.2668	33750.293	27382.9648	26688.5508	30413.5137	31356.0371	25056.7383	32278.0566	31710.9707	33451.2305	28268.4766	15402.1113	25491.377	31566.2363
0.4003	30397.3027	27941.7988	28315.4395	29867.6152	30633.7734	25401.7988	32224.6406	30878.4961	33620.5625	29508.209	20489.3652	26022.4375	31026.6543
0.5337	33276.0078	26833.5898	27363.2285	31663.1289	29231.5996	25836.2578	32062.9199	31976.918	33234.9922	29530.2559	20104.4121	25774.7012	30367.4199
0.6671	32430.373	28592.6914	27758.3848	30592.2637	30700.625	25131.5293	32071.8008	32181.0059	32062.0195	30524.0098	21185.3555	26555.4316	30611.9922
0.8005	31751.168	28406.498	29751.2773	31368.127	31740.7656	25177.0469	35205.4336	32613.3223	32640.7031	29408.4668	21157.4121	26828.0605	30443.0938
0.934	34627.2617	30659.959	33293.6562	31669.5391	34004.9414	26036.1113	38333.6289	32906.5117	33576	30904.0605	23894.5449	28328.5273	29352.3145
1.0674	35565.9727	30753.541	39890.8281	34055.4023	39865.207	26594.8633	41213.3125	32778.0703	32733.1406	32100.3945	26729.6816	28974.1484	30714.0527
1.2008	37641.2227	33515.4922	58561.8633	39296.125	52881.7188	29142.543	55605.5156	34946.6172	33728.4883	34226.7188	42724.9297	33546.543	32801.1172
1.3342	46631.0469	37373.9023	85282.9062	58884.3398	71932.8828	35074.5391	81661.3438	35979.2773	32995.0938	41742.2617	67461.7188	42978.3398	36578.3672
1.4676	73430.625	47344.0195	93717.4531	94061.1406	83204.5625	50130.8867	124666.3828	42072.7305	36613.2383	53670.4336	100879.3281	60981.4062	47299.1602
1.6011	137173.6094	66571.5781	69056.1641	119013.5781	66910.3984	65858.3828	136770.0469	56513.7656	43999.6172	80306.2344	111591.1797	79435.1875	64976.1914
1.7345	174783.7969	79793.6172	44615.5117	96596.3906	47940.293	63167.7344	95172.3516	80245.8203	66127.8281	89572.9141	86203.5	75255.3984	75504.4688
1.8679	137184.6406	64597.3398	33306.2148	60037.668	38179.0156	47489.2109	59870.1914	93379.4062	96459.8984	65689.2812	53716.9688	52514.8828	60152.6836
2.0013	73739.1094	42945.5898	29647.4336	43665.3984	33191.5938	40227.7422	46332.7852	74012.1094	93220.7422	44047.2578	38761.375	39721.7969	42079.4141
2.1347	49101.0703	36147.875	28395.3633	36182.8594	30497.2637	45418.6172	40029.6836	52068.1211	65576.6875	37558.0781	31777.1055	34027.5312	34846.0391
2.2682	39673.2773	32218.0898	NaN	34124.5977	NaN	NaN	39229.4453	39912.7656	48704.7812	34324.6094	28625.3086	NaN	33599.8594
2.4016	37477.0586	30264.1016	NaN	34750.2891	NaN	NaN	39594.4883	36147.7148	41070.3516	32042.9492	28350.7324	NaN	31946.2598
2.535	34492.543	29424.6758	NaN	32953.2188	NaN	NaN	39963.7578	NaN	35972.4336	32116.2324	NaN	NaN	NaN
2.6684	35532.3594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35297.6758	NaN	NaN	NaN	NaN
2.8019	32632.5859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
