x	Y_20180224_15102_1_4g	Y_20180224_15102_11_6g	Y_20180224_15102_11_7g	Y_20180224_15102_12_12g	Y_20180224_15102_12_14g	Y_20180224_15102_13_12g	Y_20180224_15102_13_4_2g	Y_20180224_15102_14_1g	Y_20180224_15102_14_3g	Y_20180224_15102_15_16g	Y_20180224_15102_15_4g	Y_20180224_15102_16_6g	Y_20180224_15102_16_8g	Y_20180224_15102_17_6g	Y_20180224_15102_2_2g	Y_20180224_15102_20_7g	Y_20180224_15102_21_5g	Y_20180224_15102_21_6g	Y_20180224_15102_22_3g	Y_20180224_15102_24_1g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_7_2g	Y_20180224_15102_27_13g	Y_20180224_15102_28_11_1_S_g	Y_20180224_15102_28_6g	Y_20180224_15102_29_5g	Y_20180224_15102_3_4g	Y_20180224_15102_3_5g	Y_20180224_15102_6_4g	Y_20180224_15102_6_6_S_g	Y_20180224_15102_8_7g	Y_20180224_15102_9_3g
0	15578.498	17787.881	15632.424	15771.747	17159.43	15030.371	20116.746	13973.097	16131.65	17046.629	14573.712	13874.302	15401.871	15874.657	14770.879	15911.548	16351.483	13427.061	13968.646	15526.68	14074.186	15130.57	16498.016	14178.098	13732.582	15576.454	15499.212	14429.921	14864.291	15095.591	13254.671	14432.826	19258.941
0.1334	17682.518	18112.154	17306.172	16544.504	18692.168	14226.396	18355.928	15342.769	17640.758	17244.625	14936.757	13748.553	15967.084	16311.417	15994.387	15297.906	18352.957	14400.424	14340.366	15158.001	15438.944	15735.834	19340.742	15322.279	14895.245	17117.725	18104.461	15122.2	15673.826	16300.188	16666.32	14359.202	22633.033
0.2668	21260.715	19318.672	20840.035	17445.184	20747.596	15311.407	21222.148	17315.27	22886.211	19397.516	15032.368	14708.755	17991.443	17668.553	18527.512	17022.297	24949.193	16140.446	15618.66	16338.344	17281.432	19383.738	23022.838	17072.875	15881.518	19642.018	26831.635	18279.949	17902.227	20135.365	21666.254	17532.916	25678.309
0.4003	26429.658	22735.525	24438.273	18572.535	26264.557	19388.547	25279.223	20679.924	27186.99	25545.096	15997.438	17861.84	20711.584	21553.758	23833.816	20560.734	32351.428	20407.102	18192.006	18881.414	21832.131	26300.486	26895.361	20829.729	20790.736	25995.697	38161.938	23469.633	21103.281	28181.562	26058.893	20812.342	28149.51
0.5337	26068.867	32884.574	22226.193	19768.684	35997.438	25454.293	25290.412	21601.875	24906.875	28636.834	19178.041	24212.457	23731.936	24283.607	25699.348	22348.271	30052.842	23270.518	18608.305	26320.861	28334.594	26592.037	23682.23	22156.727	24133.834	28773.377	38648.016	24621.137	21698.787	37932.305	24403.752	21926.732	26684.963
0.6671	21844.41	53862.879	19538.99	18374.01	42585.074	26448.605	21864.855	19407.305	19454.391	23781.738	19775.486	27994.879	21655.791	24133.492	21736.035	20341.648	24452.529	21630.824	18926.816	29663.279	28793.082	23948.365	21646.539	20444.287	23468.74	25374.238	28719.506	20502.172	19127.363	38635.23	21809.365	19329.771	25837.102
0.8005	16846.176	60972.539	18035.025	19259.938	37855.77	20610.363	20553.711	16451.703	18816.053	19796.701	17416.332	25375.264	21739.893	21656.348	16642.43	19004.535	21172.068	18465.381	17645.881	26779.936	22296.721	20407.217	20493.146	17988.832	21002.498	21703.695	22345.494	16662.27	18040.393	29402.041	21136.975	17997.418	24717.654
0.934	14864.294	46484.137	17875.287	18450.139	30537.188	16783.486	19864.088	14358.042	18923.061	18319.15	15831.809	20359.719	21978.24	18670.09	16268.093	17778.449	18504.826	16224.732	17905.893	21452.264	19598.223	18738.764	19824.854	15403.183	19728.867	19254.277	20360.246	16516.516	17457.85	24706.957	19976.5	16810.998	20258.301
1.0674	13171.333	31277.756	17561.646	18504.229	26409.359	15766.086	17565.555	13900.34	19052.668	16787.082	15902.166	17972.246	18674.746	16950.59	17457.32	17228.033	18132.871	15159.687	17643.424	18473.416	18628.777	17195.551	19069.998	14907.669	21802.846	17089.965	19171.811	15194.48	16437.396	20228.881	18798.049	17276.307	17191.24
1.2008	13148.609	22238.273	17092.566	19466.906	24149.502	15910.558	16446.334	14542.3	17653.818	15563.866	15770.297	17705.004	16400.363	16748.318	18212.789	15408.264	16309.667	14463.831	17654.027	18026.955	17724.564	16666.646	17904.85	13991.463	22746.83	17798.51	19018.982	14924.167	16439.178	18820.475	17538.326	18610.051	16757.158
1.3342	13660.048	18475.379	18149.002	20505.865	24104.164	14680.453	16655.957	15008.493	16646.234	16236.94	15590.437	17181.648	15827.929	16209.729	17183.994	14686.166	15440.495	15109.599	17728.074	18459.41	17606.867	15585.479	16024.308	14100.142	20723.551	18091.766	19701.004	16385.299	15263.006	17856.205	17167.619	18746.678	16574.266
1.4676	13867.109	18255.812	18921.268	20854.354	22714.43	15978.873	16412.83	14818.485	15599.862	16971.422	15709.855	16365.8	15445.227	14916.325	15480.807	14694.186	15251.336	14646.971	16195.677	20173.426	16973.854	15938.725	15541.61	15540.498	18456.832	18464.492	19733.291	16901.451	14808.624	15906.853	16946.838	18553.365	15945.612
