x	Y_20180130_15100b_10_15g	Y_20180130_15100b_12_15g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_8g	Y_20180130_15100b_2_7g	Y_20180130_15100b_5_2g
0	28842.191	34565.645	31906.098	36871.836	37078.473	32885.148
0.1334	29808.24	34905.137	30454.387	35266.258	36520.617	34497.773
0.2668	28604.82	34882.445	30272.338	37063.559	38264.516	33780.777
0.4003	29309.518	34266.887	32489.91	35907.23	38258.52	34054.891
0.5337	29740.525	35056.309	31554.086	36255.023	38346.414	34599.957
0.6671	31141.791	35630.641	32343.512	37008.723	37627.395	33816.656
0.8005	30420.486	36226.812	32931.602	36066.305	37239.016	35309.012
0.934	31474.527	37229.914	32144.176	36328.344	37582.824	35186.281
1.0674	30893.99	36804.723	33597.469	37254.941	37374.484	33623.543
1.2008	30745.289	37206.148	32522.457	36333.27	39804.809	34296.672
1.3342	31113.971	37964.949	31280.268	37352.781	38613.371	33177.848
1.4676	30821.342	36959.949	31687.344	37955.488	38189.766	32735.141
1.6011	30125.592	38399.738	32105.807	37045.012	38899.766	33470.195
1.7345	30040.475	39706.09	33024.277	37078.32	37703.426	34907.199
1.8679	30218.213	45203.207	33695.973	40028.914	39134.137	35519.66
2.0013	31971.268	51999.023	35595.906	45943.148	39881.809	40007.426
2.1348	34895.598	61971.266	38213.836	61744.48	41776.609	49331.375
2.2682	40964.98	65280.105	48137.75	94849.734	47430.09	53846.73
2.4016	41299.691	52074.262	54967.992	139927.359	59076.793	45432.328
2.535	35737.109	42526.402	48949.086	136384.547	64130.172	39368.387
2.6684	32557.789	39312.445	38251.734	89895.469	54916.387	36722.773
2.8019	33715.82	NaN	34188.906	57698.887	46041.637	NaN
2.9353	35191.191	NaN	NaN	46261	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
