x	Y_20181208_15100_11_1g
0	25817.8828
0.1334	25777.4883
0.2668	27232.5137
0.4003	25889.4238
0.5337	25758.1406
0.6671	27285.6543
0.8005	25754.8164
0.934	25889.8027
1.0674	27293.3613
1.2008	27227.8262
1.3342	26523.8789
1.4676	26777.8887
1.6011	26210.6934
1.7345	25904.8984
1.8679	26746.8496
2.0013	27359.0273
2.1347	27054.4043
2.2682	27048.2324
2.4016	27109.1211
2.535	28380.2715
2.6684	28024.4395
2.8019	28286.7812
2.9353	30933.7246
3.0687	38960.2305
3.2021	47753.3516
3.3355	41460.8633
3.469	35692.7852
3.6024	30237.9199
3.7358	28027.0879
3.8692	26044.0176
