x	Y_20180212_14590b_18_2g	Y_20180212_14590b_33_6g
0	36437.258	29980.9
0.1334	37717.367	29898.166
0.2668	37990.434	29917.986
0.4003	38584	29305.754
0.5337	37705.273	30367.238
0.6671	39282.488	29800.051
0.8005	38258.016	31357.973
0.934	37377.141	32390.666
1.0674	37459.172	31511.74
1.2008	38451.473	30362.561
1.3342	38892.914	31556.777
1.4676	39937.488	32707.951
1.6011	39346.648	30959.633
1.7345	40872.711	30825.062
1.8679	40974.219	31049.699
2.0013	38935.238	30571.371
2.1348	42201.711	31201.045
2.2682	42718.738	32083.953
2.4016	44821.5	35040.531
2.535	52736.711	39942.91
2.6684	72640.406	54128.266
2.8019	100419.609	81250.719
2.9353	101372.406	113288.07
3.0687	75399.062	114728.562
3.2021	NaN	80291.945
3.3356	NaN	49993.125
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
