x	Y_20180130_15100b_1_11g	Y_20180130_15100b_1_4g	Y_20180130_15100b_11_4g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_11g	Y_20180130_15100b_13_15g	Y_20180130_15100b_13_8g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_11g	Y_20180130_15100b_15_1g	Y_20180130_15100b_17_9g	Y_20180130_15100b_18_13g	Y_20180130_15100b_18_16g	Y_20180130_15100b_18_20g	Y_20180130_15100b_19_14g	Y_20180130_15100b_19_5g	Y_20180130_15100b_2_10g	Y_20180130_15100b_21_9g	Y_20180130_15100b_22_18g	Y_20180130_15100b_23_4g	Y_20180130_15100b_3_2g	Y_20180130_15100b_3_9g	Y_20180130_15100b_5_14g	Y_20180130_15100b_6_1g	Y_20180130_15100b_7_10g	Y_20180130_15100b_7_8g	Y_20180130_15100b_9_17g
0	38046.68	34829.965	39016.145	31967.576	32497.598	32683.898	36686.488	34353.059	40342.324	34359.164	34249.848	37873.738	35502.156	37707.691	39383.551	34869.961	37305.289	37937.047	33720.273	35693.41	38895.082	39964.797	32818.977	36890.074	37525.355	31624.658	35410.621
0.1334	38992.09	34957.219	38954.438	31342.361	32749.457	33601.684	36716.633	33497.453	37455.719	35686.48	34598.621	38473.652	35433.156	37241.41	42058.535	34304.484	37298.844	38785.07	34074.586	35066.137	37931.84	38339.242	33310.215	36703.59	37918.727	30414.736	36123.801
0.2668	37750.895	33159.109	38058.27	31406.422	33400.52	31970.154	38787.48	36598.629	37636.715	35599.777	34207.359	37994.945	34934.547	36239.453	43233.758	34016.309	36705.328	39068.402	34142.105	35551.688	38880.324	39505.145	32912.336	37888.582	39140.914	30817.824	35699.023
0.4003	39509.258	33771.406	38538.855	32001.768	32070.715	31388.24	36403.969	35101.426	39025.93	36209.266	34607.707	38659.359	35328.016	35799.145	41171.039	34217.281	37560.75	38499.641	32727.045	36377.133	39235.285	38503.102	30943.611	37166.633	39766.828	31746.064	35375.16
0.5337	38574.969	33968.723	38883.945	33080.941	33056.668	33328.402	38204.797	36652.566	38707.457	35708.746	33627.793	38533.453	36571.164	36421.23	40014.281	33560.137	38596.633	37744.801	34499.504	36976.832	38301.535	38496.738	29868.246	37549.438	38783.469	31290.52	36033.609
0.6671	40547.832	35479.555	39229.984	33085.062	33319.176	32058.396	38644.613	36199.09	38840.871	34456.359	33910.93	37419.34	36134.113	37678.938	42483.504	35569.094	39052.84	37348.555	35148.977	35599.656	36986.852	40559.152	29735.119	37146.035	38950.859	31682.527	35097.266
0.8005	39821.273	35761.207	37586.488	32733.643	31660.932	32792.262	40290.941	33893.949	38457.148	35729.316	32925.84	38802.152	36390.148	35927.91	43974.711	33449.434	38615.539	37374.203	33989.82	38430.512	37257.668	39601.922	30331.996	37095.105	36554.09	31663.486	35764.438
0.934	40564.922	34828.777	38004.527	31410.484	34121.93	31855.684	39559.871	34031.27	39993.703	36931.758	34534.805	39373.156	36684.852	34895.219	41995.598	34789	38013.867	37930.781	34998.137	37077.812	36684.098	40095.711	31377.193	36870.211	37501.594	31102.887	35519.77
1.0674	38841.109	34823.605	38771.555	32916.148	33959.477	31822.492	37034.035	36447.973	38392.211	35822.012	34634.75	38744.973	36478.871	35438.457	40509.684	33925.945	37938.484	38525.559	34301.438	34562.555	37244.012	40851.934	31897.758	35245.406	38495.191	32946.234	35500.613
1.2008	37607.355	35551.516	36947.043	30844.047	33617.066	31633.371	35925.25	34347.68	39329.09	35552.934	34227.316	37619.773	35894.805	35648.781	39401.711	34429	38716.184	38850.16	31721.984	35103.695	37127.27	40652.43	32018.953	36579.305	38470.172	32964.5	35803.426
1.3342	37816.43	34929.828	35566.785	31154.568	33992.574	32536.418	37751.938	36555.602	38605.785	35350.355	33704.984	39038.285	35211.152	35577.727	39625.051	34873.629	37573.125	37964.301	33158.891	36519.07	37730.012	39338.051	31603.637	36218.992	38767.109	34316.082	35657.047
1.4676	38280.875	34898.035	36394.91	30389.752	31345.232	31548.055	36930.043	34746.051	38032.332	35228.785	33812.973	39538.312	34805.762	35150.168	39401.5	33980.43	37815.488	38236.031	33997.504	37180.184	37910.598	40377.902	30501.535	36185.293	40244.012	33870.918	37435.68
1.6011	40183.043	35209.816	36392.363	31268.553	32583.877	30991.391	36254.164	35803.52	38848.465	34176.055	33510.602	39606.316	35612.676	35945.723	38157.152	33657.266	39248.883	38873.949	36458.207	35435.973	38534.777	39851.879	32454.754	37025.562	39882.242	35157.332	36358.629
1.7345	39287.566	35404.648	38323.852	30708.096	32774.996	31086.717	35645.219	34639.668	38624.473	33696.402	34033.598	38247.766	34699.309	35440.391	37535.754	34360.93	38547.586	37936.883	35053.207	37066	38880.758	38530.465	32063.924	39093.012	40275.242	36180.039	34340.438
1.8679	40803.395	34642.922	38420.91	31838.939	32208.484	32554.715	37448.031	34149.145	38893.332	34872.824	33993.781	37944.812	35071.746	34646.93	38497.734	34894.031	39547.586	37587.785	35089.645	35473.504	37914.812	37333.102	30169.814	39308.062	39435.316	34423.977	34394.457
2.0013	37812.184	33797.613	39253.656	31683.035	32960.996	32911.801	36997.301	36089.691	39469.758	35776.227	35137.93	39159.18	35377.59	33742.969	42113.305	36056.102	40063.684	40046.656	34781.035	34977.707	38954.547	39771.066	30044.195	39619.953	40267.328	31604.311	35732.504
2.1348	36948.875	35201.223	39850.652	34121.777	33373.125	32319.965	37415.84	37138.727	40822.422	36687.461	38937.82	39353.195	35704.16	35960.453	39853.988	35953.422	40391.352	43021.531	36234.934	35907.922	37458.457	39787.996	30641.736	37216.59	43265.469	33557.387	37671.59
2.2682	35839.488	38663.105	40915.344	32249.158	36372.008	31525.059	38687.629	37337.766	40388.184	36488.586	46284.684	41027.801	35745.703	35884.555	41175.426	35614.906	42461.543	43890.242	36412.715	36529.398	36752.641	40997.203	31248.889	38971.254	45905.434	32949.258	41006.84
2.4016	37948.301	40788.754	42443.332	32273.967	39602.195	33343.746	38678.129	38185.789	42798.375	38477.051	67531.57	41989.117	37563.312	35493.309	47888.523	36874.875	48436.934	50553.262	36845.605	39022.215	39338.371	43397.25	30300.23	40136.844	48196.465	35622.758	46473.23
2.535	39774.48	49738.41	42578.023	33272.332	47429.43	35205.176	43460.348	39044.852	48816.262	42582.152	96327.188	44698.785	39010.16	35870.723	61027.945	42663.93	59000.859	73057.461	40519.09	44146.422	39571.121	45500.355	29877.205	44347.043	55463.402	39921.312	65697.844
2.6684	41446.531	73387.25	47392.66	36852.629	64527.109	36864.531	52394.551	47746.086	65753.773	47519.156	104171.016	51729.566	43315.172	36604.066	97559.016	55464.715	75208.914	121312.812	50069.223	59453.484	43300.969	58469.512	30079.178	53271.324	67224.547	50082.586	100469.484
2.8019	42364.484	113150.648	57387.164	43329.973	108627.336	43674.906	81160.055	65275.227	95775.805	48598.891	71893.812	69662.547	50148.809	39503.02	165434.844	80732.844	76400.055	170291.078	77061.766	92768.836	48639.875	87339.703	33280.316	74505.602	67420.812	65304.516	107839.906
2.9353	49931.27	127237.297	80192.234	61405.934	140946.391	60874.309	130312.164	106358.391	125137.281	42431.723	48810.32	114655.562	65643.414	44001.875	169944.469	103446.156	62314.809	159056.406	98018.43	109178.078	63100.105	104273.047	35590.602	95749.453	55299.887	69426.773	75892.742
3.0687	68925.445	93706.336	125142.789	81132.188	117824.109	99870.273	146656.078	132072.406	112915.477	44409.234	41961.191	171719.766	82433.578	54086.797	112818.797	99208.172	52255.43	109665.406	88958.25	87462.578	86440.758	84916.211	43907.359	83574.344	43669.836	55973.031	52623.461
3.2021	93201.406	58932.559	165023.688	77757.609	73199.961	127012.859	107613.719	94851.016	77277.703	45159.992	NaN	172355.531	79627.336	77675.531	73231.68	71750.141	NaN	70708.008	67608.516	61370.926	83937.711	61702.777	52219.859	57165.797	39728.18	42231.621	NaN
3.3356	89106.922	47962.438	146163.625	55067.078	50237.449	101551.992	86296.352	64388.723	56161.582	43157.488	NaN	120972.891	59925.812	95983.633	54136.449	NaN	NaN	53942.07	50729.305	50269.406	61795.355	52020.922	49383.531	47016.02	40909.883	NaN	NaN
3.469	65711.758	NaN	89503.445	42656.375	40704.379	67727.008	NaN	47700.887	46506.301	39548.832	NaN	74586.641	47480.703	79617.719	45296.82	NaN	NaN	45445.141	41029.211	44990.09	46715.113	NaN	42391.129	42349.496	NaN	NaN	NaN
3.6024	48826.168	NaN	59118.172	NaN	39760.535	NaN	NaN	43128.152	NaN	37891.473	NaN	58233.578	NaN	56810.035	41561.832	NaN	NaN	40812.855	NaN	NaN	42255.262	NaN	41195.93	NaN	NaN	NaN	NaN
3.7358	41660.242	NaN	47514.539	NaN	NaN	NaN	NaN	NaN	NaN	36064.027	NaN	NaN	NaN	45317.293	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	39184.062	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40513.219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
