x	Y_20180224_15100_10_2g	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_15_4g	Y_20180224_15100_17_9g	Y_20180224_15100_20_10g	Y_20180224_15100_22_4g	Y_20180224_15100_26_1g	Y_20180224_15100_28_10g	Y_20180224_15100_28_8g	Y_20180224_15100_29_1g	Y_20180224_15100_31_3g	Y_20180224_15100_33_3g	Y_20180224_15100_4_2g	Y_20180224_15100_4_7g	Y_20180224_15100_9_10g
0	41555.18	39346.797	39024.387	38160.699	35498.566	32556.348	42237.137	36879.613	36652.621	41080.332	39780.926	36641.277	37858.238	36902.434	35328.867	40066.57
0.1334	41899.348	37570.062	39758.039	39543.836	34438.297	32772.008	41096.543	36615.449	36861.594	41370.863	39234.215	35790.496	39334.574	37092.078	34031.957	40283.789
0.2668	43102.504	37062.871	38045.309	40739.793	35647.652	32804.383	41561.141	37857.473	38942.121	41194.645	39554.18	35742.785	39882.773	36630.133	34549.664	40001.766
0.4003	41298.664	39952.738	39864.156	37642.984	36699.375	33332.766	40978.473	38293.789	38429.598	43237.59	40405.992	35444.023	40276.938	37124.84	36446.668	40609.352
0.5337	41484.895	37131.586	40961.844	40910.562	35756.121	32783.18	42396.008	37958.406	36940.469	40023.594	40427.664	36844.273	39038.449	37952.82	33485.488	40609.863
0.6671	41673.574	37474.793	40390.664	40116.559	36146.062	32012.812	43666.387	38121.188	37330.59	39831.367	41697.789	37201.145	39998.969	36359.301	34860.734	41719.188
0.8005	42469.887	39036.918	41936.035	40826.172	37356.789	32792.668	44984.453	37820.008	37878.453	39643.691	42390.23	35628.656	39017.941	37311.469	35031.391	40707.711
0.934	42627.039	38733.199	42327.691	40427.711	36653.176	33241.629	42691.777	38516.246	37577.035	39900.297	42240.871	35173.555	37927.703	37772.902	36492.473	40042.742
1.0674	42045.648	38117.129	42178.797	40268.008	35656.234	33464.938	43809.055	37656.629	38068.273	40096.797	41435.16	36278.004	39164.328	38102.18	36801.617	40379.09
1.2008	42874.922	39510.551	43539.504	39937.676	37142.582	33960.008	44242.957	37299.539	37899.809	38804.477	42483.785	35964.387	39710.023	38188.691	38145.988	41431.934
1.3342	46421.977	39265.438	43639.453	41510.715	36525.766	34133.738	44129.703	36599.797	37085.23	39976.137	42274.422	38618.395	39715.707	37834.332	36787.508	42737.109
1.4676	45613.801	39898.918	45976.852	41151.48	36349.891	34225.961	45032.027	37451.969	36626.152	40089.238	43206.754	37849.422	40691.098	38858.875	37732.566	42818.656
