x	Y_20181208_15100_17_7g	Y_20181208_15100_18_7g	Y_20181208_15100_24_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g	Y_20181208_15100_8_6g
0	26039.9082	33157.457	25040.7012	29322.334	30119.7676	28194.4902	28263.6113	28594.6758	28697.459
0.1334	27041.3672	34740.9023	24921.0059	29661.8242	29149.2441	26534.2871	29062.5078	28118.5898	28449.6113
0.2668	27507.6992	34642.5469	25178.2949	30503.7656	30799.8223	27748.1953	27553.4609	29618.916	29890.9238
0.4003	26903.0371	35262.9609	25840.8594	30618.9707	30302.7148	28559.7969	27619.9824	29554.709	29421.4902
0.5337	27129.334	35373.793	26973.4688	30775.043	30779.3203	28228.5977	29383.9199	31673.0938	29354.3926
0.6671	27057.6426	35090.2227	26239.5684	30624.1934	30916.7754	28735.4004	29069.3086	30955.9297	29081.918
0.8005	26842.3145	34469.8906	25527.2168	29190.2559	30759.5391	28852.4941	30585.0039	31866.2773	29514.7676
0.934	26720.3398	34277.7109	26762.1914	30775.2812	31863.498	29110.0918	30798.6484	32201.7598	30159.5586
1.0674	26469.6211	34686.3398	27679.5898	31599.918	31301.1309	30862.0605	29570.3672	31535.2129	29857.4492
1.2008	26926.9824	34523.6133	30080.0293	31895.4258	33623.2852	31456.5137	30433.3066	31628.7246	30204.1094
1.3342	28279.998	34083.8047	30117.7559	33893.6406	33380.0234	32717.2891	31516.8184	31484.3672	29849.2129
1.4676	28958.1992	35743.2969	31021.7812	39207.2344	33555.7734	32605.752	32129.7148	29486.6426	31299.0312
1.6011	30435.7852	39466.0156	31092.0391	53005.8281	33430.6016	32670.1797	33422.6562	29283.334	32477.4004
1.7345	31608.1348	51284.0117	31373.043	71859.9531	33374.4531	33850.7344	31757.4121	30053.75	32581.6738
1.8679	38816.5938	68595.8594	31023.9629	76877.7266	34264.2266	34526.668	32096.793	32483.9004	36510.543
2.0013	55933.2852	68052.3125	34275.8164	58233.9336	37701.9141	35788.5742	36855.3984	36614.4141	43882.1289
2.1347	77478	51889.9688	36175.9492	42038.4102	40877.5547	40907.2617	44587.4922	41868.2461	60821.9375
2.2682	83830.25	40739.4414	35221.5703	36110.2891	48964.6211	54755.7539	59127.25	55103.1875	72460.0391
2.4016	59868.2344	35931.0625	30260.6484	NaN	65033.9258	65006.0508	62173.0742	70319.5312	61508.8789
2.535	41134.1484	NaN	29891.2949	NaN	65614.0156	50326.5	51066.082	61820.8789	43851.9648
2.6684	32801.8633	NaN	28361.3906	NaN	51595.2969	37033.5547	38736.4727	46162.9805	NaN
2.8019	NaN	NaN	28747.4375	NaN	40100.9648	34127.2422	34312.9922	35977.1602	NaN
2.9353	NaN	NaN	NaN	NaN	36174.7266	31386.5469	32827.1211	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	32963.6602	29758.1504	32657.793	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
