x	Y_20181208_15794_1_14g	Y_20181208_15794_1_16g	Y_20181208_15794_1_18g	Y_20181208_15794_1_1g	Y_20181208_15794_1_20g	Y_20181208_15794_1_21g	Y_20181208_15794_1_5g	Y_20181208_15794_10_10g	Y_20181208_15794_10_15g	Y_20181208_15794_10_17g	Y_20181208_15794_10_5g	Y_20181208_15794_10_6g	Y_20181208_15794_11_2g	Y_20181208_15794_11_6g	Y_20181208_15794_12_10g	Y_20181208_15794_12_13g	Y_20181208_15794_12_3g	Y_20181208_15794_12_9g	Y_20181208_15794_14_2g	Y_20181208_15794_14_3g	Y_20181208_15794_14_5g	Y_20181208_15794_14_6g	Y_20181208_15794_14_7g	Y_20181208_15794_15_1g	Y_20181208_15794_15_3g	Y_20181208_15794_15_5g	Y_20181208_15794_15_6g	Y_20181208_15794_15_8g	Y_20181208_15794_16_16g	Y_20181208_15794_16_5g	Y_20181208_15794_16_8g	Y_20181208_15794_17_1g	Y_20181208_15794_19_5g	Y_20181208_15794_20_4g	Y_20181208_15794_20_7g	Y_20181208_15794_20_8g	Y_20181208_15794_21_10g	Y_20181208_15794_21_11g	Y_20181208_15794_21_12g	Y_20181208_15794_21_3g	Y_20181208_15794_21_5g	Y_20181208_15794_21_7g	Y_20181208_15794_21_8g	Y_20181208_15794_22_3g	Y_20181208_15794_23_10g	Y_20181208_15794_23_14g	Y_20181208_15794_23_19g	Y_20181208_15794_23_6g	Y_20181208_15794_24_8g	Y_20181208_15794_25_5g	Y_20181208_15794_26_14g	Y_20181208_15794_26_16g	Y_20181208_15794_26_1g	Y_20181208_15794_26_20g	Y_20181208_15794_26_21g	Y_20181208_15794_27_10g	Y_20181208_15794_27_4g	Y_20181208_15794_27_7g	Y_20181208_15794_28_11g	Y_20181208_15794_28_12g	Y_20181208_15794_29_2g	Y_20181208_15794_30_3g	Y_20181208_15794_4_3g	Y_20181208_15794_4_5g	Y_20181208_15794_4_7g	Y_20181208_15794_5_14g	Y_20181208_15794_5_17g	Y_20181208_15794_5_1g	Y_20181208_15794_5_21g	Y_20181208_15794_5_8g	Y_20181208_15794_6_13g	Y_20181208_15794_6_15g	Y_20181208_15794_6_19g	Y_20181208_15794_6_21g	Y_20181208_15794_6_8g	Y_20181208_15794_7_13g	Y_20181208_15794_7_17g	Y_20181208_15794_7_5g	Y_20181208_15794_8_12g	Y_20181208_15794_8_13g	Y_20181208_15794_8_1g	Y_20181208_15794_8_6g	Y_20181208_15794_9_15g	Y_20181208_15794_9_2g	Y_20181208_15794_9_5g	Y_20181208_15794_9_9g	Y_20181208_15794b_1_6g	Y_20181208_15794b_3_5g	Y_20181208_15794b_6_6g
0	31240.3672	30716.6602	31959.2363	30919.6211	31105.5762	29150.6523	33849.2461	28892.834	25117.1094	27373.8164	30809.7578	30872.5742	27763.998	28425.7285	30824.0449	30146.9375	30198.2812	29494.1738	28891.3711	28376.8848	30532.9043	28153.416	28625.3262	27559.4434	29763.5332	26067.834	31882.3633	25113.2676	32954.6133	24841.627	30217.2227	28271.5234	31873.8086	33803.4609	28480.2461	31150.9258	27323.9551	29094.0762	30185.5059	28662.3086	29655.1641	29152.2676	31459.0547	31025.1816	30660.5664	29846.8125	26377.7793	26085.4688	25328.9824	31579.082	32531.9609	30579.6367	26882.707	28841.8008	29626.8242	31786.1152	29630.4941	30593.4609	28053.3906	27856.0137	29008.0645	30034.8809	26302.4297	29368.0977	31975.9727	31056.5078	29275.8652	29397.916	26271.6836	30370.3496	29013.0273	31808.5078	30174.7793	28510.0684	26283.2754	30389.2676	32025.3242	28740.8184	30455.3594	29177.5215	31074.2246	27076.123	25753.9668	29127.6328	26800.6074	27755.4551	32140.9355	27604.043	30927.2773
0.1334	30468.4141	32533.8633	32182.1699	29284.5566	31348.4395	29097.3555	32374.6191	27412.3613	26884.6895	27581.7734	31769.8125	29723.207	26352.1016	28332.6309	30589.1074	31930.2441	31494.9648	30279.7266	28999.457	28709.8066	30894.1934	28891.3789	29498.5234	27178.998	31558.6309	27193.1035	32305.9043	26947.543	33263.9453	25330.4531	30389.9121	29299.7148	31865.0684	25994.3691	27568.6387	30890.5781	27789.6309	28796.9219	29816.6191	28590.4004	29884.1406	30133.5156	29962.2109	31503.0566	30953.3242	30249.4902	25803.8281	26320.5156	24873.4473	30280.4922	32093.8887	29934.8496	27154.082	28232.5703	29790.1953	32494.9668	29632.7012	31205.209	26493.4648	29584.084	27595.5352	28278.877	26016.8516	28335.8809	31806.2734	31104.7734	28620.8477	27960.916	26619.2168	29895.9766	28637.4277	32550.7852	29403.7891	28021.0977	25282.7305	30512.0625	30145.5742	29263.3633	28897.3223	29393.0078	30924.0645	27258.7344	25400.5703	30379.6016	26456.9512	27535.1426	31168.4941	27096.0703	30612.7383
0.2668	30224.0938	31110.9727	32877.3125	30099.3262	29983.3906	28753.7773	31656.9863	27631.4336	27949.4492	27420.8477	31554.916	29943.6973	27344.2988	28737.6953	30156.127	33260.7891	31533.9492	28309.4688	29328.1719	27490.3887	30285.6973	29949.6797	28476.8086	27220.0039	30596.1992	26611.8457	32616.1543	26889.8438	32749.4512	26258.3438	31255.9375	29797.4648	31649.1465	25715.3418	28260.6055	30285.0742	27271.668	28707.0469	29133.9629	29911.6289	28167.5547	30868.9941	29956.3672	30701.4082	30541.5645	29921.1719	26870.666	26026.3438	25676.6582	30748.8164	32093.5938	29097.0723	27672.1484	27702.4277	30558.75	32121.7598	30199.1328	31073.8301	26734.2051	30345.6875	29819.8887	29007.9492	26984.5469	29464.3984	30682.4824	29474.5605	29518.9629	26504.8066	27573.7871	31001.377	27821.0098	31765.6074	30374.3613	27531.9121	25904.3613	30721.2832	30703.5137	31074.8691	30430.7363	28491.5273	31366.6309	27475.4902	23544.7344	30330.1641	27598.5938	26825.5098	31019.8633	26157.3672	30699.4805
0.4003	30596.2578	32851.7617	32395.6172	29787.9199	30666.334	29758.125	31741.6211	27295.8535	27103.4941	27415.4961	30341.168	30370.6914	27630.1719	29342.0391	30808.5137	33579.3203	33122.9414	29805.043	29953.3457	27580.2227	29002.082	29014.9707	29738.8594	26358.2656	29864.8281	25889.668	31655.5195	26793.4941	32141.207	25929.8711	30399.4746	31296.4453	32011.8496	27273.0762	25794.332	29704.3281	28568.5098	29324.7949	29844.5664	28459.1602	28593.0176	31764.3613	29989.3613	29074.5996	32596.1387	30123.8008	26837.4551	26465.9746	25922.8711	31761.3418	32016.2148	30810.7715	26540.1074	29143.7637	30695.791	31258.6133	30314.5742	30162.2871	25612.9629	29375.7793	30188.0996	28573.0703	27144.6895	31155.5312	32628.4121	29354.8867	27985.0957	26928.8301	27189.6992	31041.2715	28539.6543	31295.8906	30456.125	26329.3125	24736.8457	30305.7324	31693.4727	29419.2227	30075.0508	28393.1582	31330.3457	28688.1758	25344.6035	28974.998	28883.5547	28447.8574	31089.2734	26920.0332	29686.959
0.5337	29641.1016	30341.0234	32998.8086	30422.4961	32003.5625	29786.6523	30802.3906	28053.7324	26740.082	27566.4219	30091.2012	29893.541	28770.4453	29569.4902	32427.0527	32702.541	31395.5293	30153.1465	30565.625	28313.4648	28460.2949	29642.7344	29171.0098	27177.1055	31033.7578	26840.084	32105.6699	26179.832	31628.123	26869.1445	31513.1406	30745.4805	31166.3438	27545.9629	26865.0801	29820.293	28518.248	30550.6895	31081.0078	30151.6055	29019.1172	31491.7598	31135.2422	29881.4219	31731.5977	30643.1133	25806.0781	26025.5469	26839.4375	31343.4746	31074.375	30320.2109	26720.7129	28859.0039	30807.3516	32279.8535	29896.4844	32233.2754	26793.5078	30939.0977	30196.4141	29618.4551	27709.543	29750.8203	33458.8594	31144.5684	28062.9805	27622.5137	27394.7891	32712.1836	28797.9785	30785.2109	31726.9395	28298.3145	25881.584	31065.834	32255.2773	29725.5273	30889.1973	28250.8633	32279.9258	28622.5742	24854.8398	30469.25	27726.9062	27686.6855	32324.5332	27731.8848	32123.3711
0.6671	30578.7188	32187.8184	32919.125	29749.8223	31640.0215	30942.5234	33270.9023	27227.8926	26170.4414	28193.3242	29381.2949	28604.6406	27880.6699	29460.5898	31566.8027	35388.0234	30496.6309	30680.6191	28478.4766	29402.291	29533.9023	29650.8496	29405.0508	29201.1309	30557.2188	27351.4355	30418.9668	26810.6621	32109.7871	27495.6602	33058.8594	31910.1992	32818.9336	28091.0371	27139.8359	29772.5918	29478.5762	31316.0879	29303.668	31724.3965	29386.7656	35100.168	31694.9668	29937.0645	33365.2812	30415.3398	28233.2969	26249.5254	26368.3047	31921.1152	32021.5918	31487.3223	26790.2578	30059.7734	32835.3945	31901.6543	29279.6172	32420.457	27358.8457	31661.4395	29552.1523	28710.6523	28121.5234	33364.2578	31446.6621	30959.4082	29106.4629	26424.2109	26901.3379	32046.5859	28388.5078	32227.8008	31953.3164	28830.3145	26533.4863	30188.7383	32777.6211	30242.3711	32200.168	29910.6289	31508.3672	32025.7031	24393.3594	29504.748	28362.3848	27992.6211	33067.0078	28788.5859	32011.7012
0.8005	32947.4375	32639.6914	34738.582	30834.1074	31522.8457	32676.334	33408.1836	27665.4219	27855.2402	34118.4336	30665.5098	30242.4082	26812.8047	29303.9512	31272.2383	39087.2344	31915.1699	30452.6016	29566.9141	29999.3691	28805.5039	30365.1719	30257.0078	27656.1328	30557.1836	28981.5742	31091.7969	26183.1484	33549.2188	28630.0371	34118.8984	31416.6406	32373.1289	28169.8184	28045.4844	31492.0859	31901.3926	34228.3203	30166.9766	33452.2109	31870.4414	40911.2617	30386.6973	31586.6523	35265.2031	31577.5469	30249.1289	25845.7695	27332.2695	33585.9883	32238.0898	33246.9492	25991.1602	28352.5879	36693.8281	33522.2383	29765.9746	34266.5781	28326.2812	33836.6641	30142.3926	31297.9473	33149.4961	39176.6914	36401.2227	29290.8887	27546.2578	27848.2578	28390.2715	31095.8398	29346.7578	33809.457	31206.1504	29187.7012	27073.6602	32764.2754	32537.4824	29646.627	30939.5898	30441.7422	33323.6523	37272.2109	25157.3086	29447.5254	30047.2031	27343.334	33475.7812	28606.9004	34409.4492
0.934	34387.0156	35337.4961	36537.3203	32103.1191	33982.5781	36328.1094	38464.6562	30750.9688	29518.7168	41906.1836	31452.877	31354.9668	28478.0898	30130.373	33312.9648	47090.8398	32906.8438	30645.957	29311.6152	31791.5879	30718.502	32386.8047	30193.9785	27679.5215	31842.8086	35200.9727	31725.7051	27388.2266	34972.8242	31024.498	45041.1992	32449.7383	32489.9258	28364.7266	28622.6562	29506.1699	38741.4492	38343.2383	31619.7363	42146.3789	37283.8203	53995.7461	31445.8496	34804.125	45939.1797	32994.5	33253.1406	26595.1895	26772.3418	36234.375	32106.4434	35282.3906	25935.3965	30666.3496	42823.2344	33467.5664	28850.2246	33160.5859	29056.3379	41904.3047	31755.9766	32922.1719	41677.375	49903.8516	40151.4727	29388.5938	27832.748	28376.877	29166.9883	31951.2852	30178.7012	36272.4375	32171.3477	29965.8906	26573.0898	31750.7695	35164.332	31393.5918	31782.5371	35284.9414	32719.3672	47530.2227	26907.1309	30420.3887	32741.4883	28177.7715	34737.2812	31935.9746	39184.957
1.0674	36978.4648	37575.0703	39785.5352	34148.3008	36345.4258	47559.8516	44889.8984	35240.4805	32688.4102	51786	31868.2559	32400.9785	27482.1914	30883.0098	36843.8672	58758.707	35189.2734	33232.1562	28906.5605	33088.8398	32363.7129	32980.1055	32726.7305	27670.623	31077.0879	43928.4258	32938.3633	27154.5234	39090.4883	40329.4453	63414.8672	35606.3945	35979.8555	29892.2812	29747.3574	29471.6406	50790.9141	46077.2109	36981.5117	64240.7266	53271.8047	78360.4688	34833.6055	39689.293	62503.1172	39551.5234	43641.7812	27297.5586	27842.7617	39927.9922	32350.5391	40845.1406	27092.123	32630.2656	59190.0039	35633.1602	29614.3281	35211.293	30431.6641	57059.2383	38706.7969	40692.2383	59240.0508	61598.9805	51045.7656	32265.2754	28094.6895	32136.4473	32794.6992	31376.0234	31633.1426	41791.9883	32028.6035	31116.0762	28765.9531	34133.875	38132.9492	35034.8477	32693.9258	41800.2812	35403.1641	58565.668	29312.2988	32847.1758	39235.1758	32739.5605	40565.5938	40152.8242	51165.6875
1.2008	44044.6562	43828.6914	49616.4258	43048.832	40205.957	69626.8438	66922.9219	45852.0898	39454.168	47539.2656	33199.8164	36754.3906	30643.9668	31688.6016	42062.8047	65453.9453	37094.1484	37602.7148	31243.4883	38039.1719	35705.6875	37297.1992	31505.6855	28338.2207	31977.9062	61374.4336	35288.5625	27796.7324	50754.1133	57743.9492	82352.8594	40006.3203	38616.4648	28695.207	30143.3477	32476.0645	62227.9023	63659.4258	53269.6641	80600.9062	71115.8516	96260.3359	45091.1875	58433.7969	74979.1484	51057.1992	63789.8906	27589.8008	28575.4492	48499.3828	32501.2793	59877.125	28507.3105	40050.2617	88984.2969	37893.2617	32081.2988	38569.6328	35192.7148	81146.5859	48843.2695	59706.5703	72602.0938	53759.5312	72342.5781	36055.1016	29073.3086	37075.9961	38096.9375	32149.9629	37547.9102	58017.0273	31938.1738	33424.5742	30018.0469	37502.8281	45770.043	40160.1172	34612.6172	58708.8672	42073.7812	54056.1602	33190.9297	37709.5508	54442.5234	39247.5938	55479.4805	58555.3047	71995.0625
