x	Y_20180224_15102_10_11_S_g	Y_20180224_15102_11_4g	Y_20180224_15102_13_10_S_g	Y_20180224_15102_13_2g	Y_20180224_15102_14_4g	Y_20180224_15102_14_6g	Y_20180224_15102_15_12g	Y_20180224_15102_15_15g	Y_20180224_15102_17_1_S_g	Y_20180224_15102_17_5_S_g	Y_20180224_15102_19_9g	Y_20180224_15102_2_5_S_g	Y_20180224_15102_2_8g	Y_20180224_15102_20_9_S_g	Y_20180224_15102_22_2g	Y_20180224_15102_25_1_2_S_g	Y_20180224_15102_25_2_S_g	Y_20180224_15102_26_4g	Y_20180224_15102_27_9g	Y_20180224_15102_28_8g	Y_20180224_15102_29_1g	Y_20180224_15102_3_1g	Y_20180224_15102_3_2_S_g	Y_20180224_15102_4_4_S_g	Y_20180224_15102_5_4g	Y_20180224_15102_7_1g	Y_20180224_15102_8_6_S_g	Y_20180224_15102_8_9_S_g	Y_20180224_15102_9_4g
1.6011	22534.963	15553.042	16685.549	17560.006	17260.65	17233.441	22124.818	17309.66	26701.996	16990.842	19665.797	23520.6	20232.301	17442.695	22246.926	24050.383	25619.637	21975.203	17342.695	21636.535	18493.361	15165.359	16497.119	15633.05	17898.113	23369.949	19485.158	21929.977	17877.27
1.7345	21824.713	17174.453	15940.561	16853.303	17105.652	18329.879	21414.105	18061.635	26570.764	17547.428	19665.158	23422.85	18682.449	17560.879	22735.49	22816.928	28511.32	22454.674	17887.879	23227.338	17603.023	15724.591	16750.646	15916.186	18186.188	22952.062	18584.76	22870.504	18094.625
1.8679	23160.055	18713.004	16442.387	17338.107	17411.459	18822.219	20429.826	17958.191	25808.053	17920.084	19947.443	22889.477	17404.537	16686.094	21936.861	24154.213	28122.805	23718.617	18397.668	23085.887	17533.414	16110.763	16331.943	16209.236	18265.611	23675.488	17682.777	21469.154	17666.74
2.0013	24664.469	18459.701	16350.672	17195.416	18368.422	18044.953	20648.727	18117.674	27495.895	18516.521	19441.814	22308.336	16250.278	16989.709	22426.557	23943.959	25367.592	23852.344	18631.301	23165.787	17433.926	16262.339	16270.07	16893.457	15888.568	21789.479	16671.268	19715.439	15941.503
2.1348	24179.68	17870.896	15741.011	16012.972	18173.762	17884.859	19746.947	19117.23	27420.42	17752.828	19657.078	24113.342	16755.721	16842.137	23584.473	22742.553	24188.242	22465.346	18972.23	22956.656	18095.912	16537.891	18326.383	15762.804	15234.311	20180.125	15865.288	19625.918	15622.406
2.2682	24772.609	17480.494	16179.393	17205.938	17731.088	18646.385	18923.43	18290.09	25753.447	16908.607	18905.818	21396.383	17665.748	16231.971	23291.777	22835.623	24044.227	20104.459	17551.396	21248.287	20044.939	15543.309	19408.572	16288.669	14424.793	17230.611	14424.032	19073.797	16237.971
2.4016	22605.588	18727.715	16413.283	16762.182	18619.352	19721.963	19635.08	17040.357	22212.354	16032.217	18142.283	22187.576	18068.473	16628.855	22419.422	22951.826	24173.311	19726.047	18269.068	20331.277	17659.285	16172.522	19222.434	16435.082	14302.305	16304.395	14933.089	18126.658	16360.422
2.535	20846.75	19190.283	15835.079	17423.662	19066.445	18782.42	21504.934	16859.875	19396.301	15027.732	16233.342	20837.486	17732.701	16537.965	22873.533	21245.453	24861.438	18497.352	18873.061	21746.432	16836.541	16981.652	19619.439	16688.844	14996.391	15366.146	14831.773	17759.686	16980.881
2.6684	18403.445	18678.033	15650.719	16155.144	19116.58	18831.422	22364.459	16249.858	20048.965	15611.951	17493.799	21705.711	17030.418	16248.421	22630.68	20532.174	24243.754	17417.609	17627.98	21754.152	16496.355	16188.62	19286.896	16393.574	16273.746	15869.163	14497.583	18351.555	17590.24
2.8019	17299.982	18370.053	16615.301	15439.972	17179.133	20644.475	22768.58	14788.452	21397.211	15315.924	17390.344	22631.096	15943.066	16554.74	23981.984	19712.914	25684.582	17442.838	16792.836	21966.736	15221.167	16754.223	19623.711	16436.535	17578.35	16325.562	14635.125	20247.865	16369.739
