x	Y_20180224_15102_10_7g	Y_20180224_15102_12_8g	Y_20180224_15102_15_5g	Y_20180224_15102_18_2g	Y_20180224_15102_23_7g	Y_20180224_15102_25_9g	Y_20180224_15102_26_3g	Y_20180224_15102_27_1g	Y_20180224_15102_28_13g	Y_20180224_15102_28_5g
0	12940.026	12326.135	13211.825	13025.438	15696.143	13059.681	12225.367	20839.732	12824.512	15788.651
0.1334	15952.732	13320.619	13927.811	14465.533	18706.631	13404.405	12045.892	20507.27	13492.771	16247.603
0.2668	19538.018	16892.695	17923.551	16718.965	24248.287	14052.599	12554.438	22775.586	15873.803	19288.057
0.4003	24747.562	25493.334	23511.775	19603.047	32964.957	16029.796	14567.896	28456.771	21741.525	22890.812
0.5337	24269.457	33948.176	25518.561	22416.131	35371.766	19559.027	18693.572	32511.877	27284.572	33890.727
0.6671	21518.506	34168.969	25280.746	20777.695	31328.264	25588.361	23114.094	31227.365	25061.324	42698.406
0.8005	20000.424	25721.432	21896.006	18652.707	24375.537	31395.26	26146.889	26787.969	22384.998	40273.156
0.934	20463.242	20805.514	20537.738	20135.91	23200.816	29839.502	25060.518	23677.75	20099.568	35171.305
1.0674	19602.859	18389.117	19233.059	20706.326	22091.85	25476.389	23865.723	21957.553	19466.754	27957.186
1.2008	19475.529	17743.904	19365.789	21225.406	21480.68	21600.492	21737.904	21227.773	18938.256	24493.836
1.3342	18636.338	17376.809	20976.672	21028.555	21619.826	20087.693	19852.625	21390.541	19850.582	23334.688
1.4676	18145.891	16263.715	21486.969	19957.775	23215.223	20466.664	18979.166	20388.17	20557.404	20292.32
1.6011	18516.434	14555.403	19900.441	18989.463	23619.402	21320.244	18790.783	20939.408	21646.848	19371.111
1.7345	18778.568	14946.083	18317.488	18084.088	21642.637	20341.352	18012.82	20491.189	21999.514	19150.277
1.8679	18896.625	14810.053	18467.488	18635.561	21311.842	19420.379	18318.854	18564.924	22172.092	19518.393
2.0013	18053.107	15009.518	18047.832	17665.795	20538.061	19299.031	19154.965	18757.482	21108.256	20456.16
2.1348	17379.402	14272.617	18395.518	16821.504	19496.416	19107.568	18647.18	19200.727	19232.438	21068.225
2.2682	17096.424	14329.867	18702.072	16916.434	19756.135	16764.621	17140.988	17818.771	17890.244	22423.674
2.4016	16448.914	14184.466	18845.406	16423.082	19080.838	15373.187	17156.863	16916.764	18430.986	23294.889
2.535	16824.48	14482.537	19112.092	15922.688	17565.648	15073.893	17748.262	15891.857	17500.869	22203.955
2.6684	16545.971	15015.604	18109.846	19004.666	16820.471	14807.724	16675.572	15459.829	16580.152	21897.844
2.8019	15720.198	15123.462	17970.93	22801.248	16050.521	15202.255	15032.234	15360.929	17312.482	23208.67
2.9353	14956.049	15450.704	18803.477	26131.492	17626.73	14264.001	14487.32	15128.59	18902.836	23610.107
3.0687	14185.412	15207.475	18793.57	23991.447	18721.713	13716.146	14813.762	14851.032	20124.912	21958.371
3.2021	13655.331	14906.007	18756.799	20717.232	22381.854	13660.653	15585.771	15977.276	20599.59	20844.893
3.3356	13664.441	14009.196	18077.08	18007.23	22771.922	13028.577	15022.107	16784.271	19323.553	18067.744
3.469	12841.363	14876.744	16218.217	18387.861	19935.141	12333.523	14286.773	16409.51	17632.553	16015.729
3.6024	13638.416	15867.088	14571.921	20162.623	17198.389	12796.163	13940.379	15732.686	17246.697	14889.633
3.7358	14417.792	16000.863	14688.252	21591.664	16243.076	14209.412	14440.556	15573.852	16234.172	14981.545
3.8692	NaN	17125.451	14333.221	20696.127	15694.487	15299.991	14231.583	15362.877	15433.001	15629.606
4.0027	NaN	NaN	14124.546	NaN	16953.814	16154.201	13233.788	14887.504	NaN	14689.32
4.1361	NaN	NaN	NaN	NaN	NaN	16281.962	13448.991	NaN	NaN	14677.685
4.2695	NaN	NaN	NaN	NaN	NaN	14846.593	13687.642	NaN	NaN	NaN
