x	Y_20180224_15102_10_1g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_1g	Y_20180224_15102_13_1g	Y_20180224_15102_14_2g	Y_20180224_15102_14_3g	Y_20180224_15102_15_5g	Y_20180224_15102_15_7g	Y_20180224_15102_15_9g	Y_20180224_15102_16_8g	Y_20180224_15102_18_6g	Y_20180224_15102_19_9g	Y_20180224_15102_1_2g	Y_20180224_15102_20_3g	Y_20180224_15102_20_5g	Y_20180224_15102_21_5g	Y_20180224_15102_22_3g	Y_20180224_15102_23_1g	Y_20180224_15102_26_2g	Y_20180224_15102_26_6g	Y_20180224_15102_27_3g	Y_20180224_15102_2_2g	Y_20180224_15102_2_3g	Y_20180224_15102_2_5_s_g	Y_20180224_15102_3_3g	Y_20180224_15102_3_4g	Y_20180224_15102_3_6g	Y_20180224_15102_6_2g	Y_20180224_15102_9_7g
0	32694.488	33775.617	34366.883	31934.91	34810.859	34006.758	39100.734	33435.18	36547.867	33332.684	29104.35	39842.352	39123.473	35774.371	39573.32	39198.27	35559.422	35223.875	36713.082	37811.492	38951.566	37486.082	34980.289	37360.059	33734.031	34181.789	30054.389	39503.602	33302.27	32195.318
0.1334	35190.016	33103.035	34499.254	31961.404	34597.422	34338.32	37831.863	32150.494	36069.031	33790.336	30032.943	40192.164	39114.59	37290.164	40936.16	39709.227	35989.469	35781.742	35578.793	36541.527	38499.84	37908.074	36091.098	37247.938	33436.141	33919.957	28932.131	39714.914	35605.859	32815.387
0.2668	34889.594	33134.141	34672.355	32991.348	34963.852	33259.551	38296.781	32623.4	36106.895	33849.879	29712.982	40380.387	40893.246	35980.379	39926.719	40205.398	36716.609	34390.336	37924.16	37117.922	36909.945	37198.379	35327.469	35581.375	33268.234	35051.703	30732.416	40253.633	35508.344	33468.645
0.4003	33858.555	33744.852	35493.539	32454.656	35539.535	35668.438	40275.246	33818.199	36755.895	33934.457	29824.627	37195.848	40413.898	36176.551	38902.809	38981.602	34390.777	35719.961	38133.605	36888.965	36743.945	38284.164	36264.027	36599.867	35003.137	35031.668	30539.676	38896.355	36395.312	34167.188
0.5337	36011.164	33612.859	35807.434	32529.363	36305.484	36546.996	38603.172	35003.402	37904.812	34961.461	28488.676	38332.047	39015.707	36782.758	39304.129	38994.973	36036.395	36275.57	38458.68	37937.516	38070.883	37392.02	37281.562	36208.508	33620.25	34909.441	30298.641	40579.16	36237.02	33840.746
0.6671	35025.375	34764.434	37006.129	34414.027	35962.613	37556.637	39085.312	33722.859	37135.895	34601.344	29873.623	38319.242	39167.859	37603.465	38873.723	39479.012	35015.73	37023.059	38241.434	38196.535	40082.738	37952.113	36188.621	36210.367	34545.328	36296.809	30358.967	41462.469	36595.816	33425.754
0.8005	35204.523	35473.844	36518.02	34850.91	37016.344	37729.191	40481.652	34193.133	38608.309	33959.883	29492.395	37709.16	40469.613	37351.652	39915.074	39234.137	35439.293	36625.754	39159.68	37030.008	41165.812	37447.941	38574.422	37361.555	35083.121	35496.434	30247.721	39180.68	35417.086	35090.898
0.934	34733.367	35792.738	36154.949	34946.906	36635.902	37379.387	39042.727	33614.375	38335.137	36026.207	29701.959	38328.832	40822.195	38142.797	39084.969	40896.098	36679.914	36385.109	39986.645	37068.27	40554.094	39026.363	37589.496	35484.051	34542.289	36921.039	30669.459	39358.609	36458.984	34804.422
1.0674	34720.523	36093.785	36585.957	35062.449	37144.301	38561.684	38624.191	33579.133	38606.414	36080.414	30643.672	39329.082	40478.496	37897.07	40103.676	37759.809	37247.883	36906.102	40239.09	37346.414	40365.328	38964.805	38966.84	35668.438	35738.875	37125.254	30548.16	40633.812	34638.961	34163.883
1.2008	35366.398	35919.32	37048.492	35714.809	38980.695	38375.277	38483.781	34486.18	38132.629	36199.555	31063.785	39719.688	41091.828	38337.625	40806.598	39206.645	35713.055	36116.227	40850.355	38889.094	39952.785	38778.594	39810.363	36134.652	36122.344	37138.383	30363.271	40269.676	33897.504	34503.52
