x	Y_20181208_15100_13_10g_left	Y_20181208_15100_13_4g_left	Y_20181208_15100_15_8g_left	Y_20181208_15100_16_2g	Y_20181208_15100_27_1g_left	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g_left	Y_20181208_15100_8_1g_left	Y_20181208_15100_11_5g	Y_20181208_15100_13_3g_right	Y_20181208_15100_16_4g_right	Y_20181208_15100_16_8g	Y_20181208_15100_18_6g_right	Y_20181208_15100_19_3g_right	Y_20181208_15100_20_9g	Y_20181208_15100_21_11g	Y_20181208_15100_22_10g	Y_20181208_15100_22_4g	Y_20181208_15100_27_1g_right	Y_20181208_15100_27_7g	Y_20181208_15100_6_4g_right
0	31704.4941	30650.4766	28913.1387	28640.8809	28371.1992	30203.291	26376.2109	29515.9395	34471.9023	26500.5332	26318.7656	30102.9414	29247.4141	25125.2383	31639.9727	31560.0664	32304.7656	28757.7344	15689.7109	26506.6172	30195.1348
0.1334	31959.4043	30790.2969	28277.8828	28414.3145	29848.0879	31863.5508	27828.4727	28888.9531	30741.666	26929.8906	25984.127	30485.4668	29759.7363	24912.2324	31545.5117	32748.6543	34063.3164	28303.873	15117.7139	26367.7852	31734.5898
0.2668	32320.1426	30566.2207	28317.6934	27925.5039	28710.0234	31121.4824	27528.457	28767.6562	33750.293	27382.9648	26688.5508	30413.5137	31356.0371	25056.7383	32278.0566	31710.9707	33451.2305	28268.4766	15402.1113	25491.377	31566.2363
0.4003	32226.3203	29649.373	28177.5762	27516.8438	30775.1934	30325.0664	26587.7031	29650.1328	30397.3027	27941.7988	28315.4395	29867.6152	30633.7734	25401.7988	32224.6406	30878.4961	33620.5625	29508.209	20489.3652	26022.4375	31026.6543
0.5337	31121.3828	29035.6992	28601.7617	27492.7539	30175.5391	28879.752	26503.4531	29951.3398	33276.0078	26833.5898	27363.2285	31663.1289	29231.5996	25836.2578	32062.9199	31976.918	33234.9922	29530.2559	20104.4121	25774.7012	30367.4199
0.6671	31126.3301	29624.0703	30209.6133	28361.209	31317.1582	30050.0098	26766.4609	29326.8145	32430.373	28592.6914	27758.3848	30592.2637	30700.625	25131.5293	32071.8008	32181.0059	32062.0195	30524.0098	21185.3555	26555.4316	30611.9922
0.8005	30682.5781	30474.7363	30762.8027	29679.248	31275.959	31615.4727	25978.7207	30534.2012	31751.168	28406.498	29751.2773	31368.127	31740.7656	25177.0469	35205.4336	32613.3223	32640.7031	29408.4668	21157.4121	26828.0605	30443.0938
0.934	31644.623	30185.9297	31735.9473	29158.5449	31963.8555	31044.9922	26158.584	29873.5391	34627.2617	30659.959	33293.6562	31669.5391	34004.9414	26036.1113	38333.6289	32906.5117	33576	30904.0605	23894.5449	28328.5273	29352.3145
1.0674	31641.9395	31396.9629	32704.416	30361.4297	33693.5352	33442.9922	27612.1309	30059.9648	35565.9727	30753.541	39890.8281	34055.4023	39865.207	26594.8633	41213.3125	32778.0703	32733.1406	32100.3945	26729.6816	28974.1484	30714.0527
1.2008	32752.8027	30917.084	33442.625	33729.0977	37635.7773	37565.0898	27595.8125	30583.2539	37641.2227	33515.4922	58561.8633	39296.125	52881.7188	29142.543	55605.5156	34946.6172	33728.4883	34226.7188	42724.9297	33546.543	32801.1172
1.3342	36561.2227	32426.6074	38799.3281	36622.6641	49210.7773	48192.1602	28456.6309	31859.041	46631.0469	37373.9023	85282.9062	58884.3398	71932.8828	35074.5391	81661.3438	35979.2773	32995.0938	41742.2617	67461.7188	42978.3398	36578.3672
