x	Y_20180130_15100b_13_2g
0	13838.884
0.1334	14240.862
0.2668	16035.236
0.4003	18905.502
0.5337	20831.461
0.6671	19825.969
0.8005	18076.998
0.934	15843.901
1.0674	14928.976
1.2008	13625.167
1.3342	14593.513
1.4676	14846.96
1.6011	15363.431
1.7345	16065.08
1.8679	16161.313
2.0013	15227.827
2.1348	14770.424
2.2682	15937.891
2.4016	15103.139
2.535	13821.437
2.6684	13854.291
2.8019	13115.949
2.9353	13003.742
3.0687	12328.992
3.2021	12407.466
3.3356	NaN
3.469	NaN
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
