x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_17_4g	Y_20181208_15693_3_8g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g	Y_20181208_15693_9_11g	Y_20181208_15693_9_15g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_7g	Y_20181208_15693b_12_6g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_5g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_8g	Y_20181208_15693b_6_9g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	29334.7812	27977.3418	30495.3145	27571.8008	29421.4961	28053.7168	26375.0762	23530.0566	30318.9531	29430.5664	25799.4805	28143.9473	27775.7754	27668.8477	29803.1426	25053.2148	27760.5684	26078.8047	30140.1914	27759.502	26602.916	27684.1953	28107.2598
0.1334	28735.3125	27494.1582	30108.4902	27791.2188	29268.3223	27489.1211	25701.9141	24112.6055	32186.5234	29101.6973	26756.7871	28512.3398	27676.9023	26669.5	29574.8398	25446.668	27570.0859	27598.7891	29422.3242	27929.125	29506.4863	28693.1875	27086.8906
0.2668	28615.0371	28169.5391	30846.8926	28664.2188	29788.6836	28408.5215	27013.7109	24535.3633	31494.9512	30124.332	26729.8242	28798.6543	27737.4082	27792.8223	29329.4824	25317.6309	28037.7461	26597.7305	29186.1992	28285.4961	29330.6816	28180.1289	27485.1719
0.4003	29141.9043	28802.1816	31575.5938	29148.4961	30158.9785	28637.4746	28218.541	24990.9609	30544.8184	29226.3945	27521.1934	29369.5625	27937.2617	28872.0215	30271.4668	27152.2148	27144.7207	27115.2441	29354.8633	27738.5215	28515.418	29864.1055	27408.3848
0.5337	29593.9922	27725.8379	30910.0195	30434.2461	29395.5879	29595.3203	27750.9473	26093.4336	32121.3867	30018.2324	28713.207	29429.0703	28027.3047	29581.9727	29087.6387	26516.3828	28941.0801	27299.1758	30951.1055	28573.4473	29168.9199	30474.293	27909.8105
0.6671	28547.4258	28640.6055	30836.6582	30485.918	29881.1172	29008.3457	27269.957	25349.6836	31957.7656	29974.502	28901.002	26922.6953	28239.1855	29287.1934	29303.2715	27062.1367	28617.0762	25585.3672	30911.0645	28423.3418	27580.1973	29917.9102	27323.7715
0.8005	28972.8711	28654.3535	31154.9902	29731.582	29015.6348	29739.5566	26565.9238	25552.168	30728.498	28737.5137	28121.793	28650.2676	27297.5312	29059.3906	29252.1738	27063.4023	28398.7793	26096.2578	31027.5859	28853.8613	28779.3223	29129.0215	27267.707
0.934	29569.8008	30044.1836	33046.8672	30269.8574	28532.0879	29109.1562	27297.5469	25239.4141	29810.916	29419.373	28712.8867	28394.7324	27870.6016	27410.1699	29490.0547	27005.2266	27753.502	26285.4492	30310.0605	28326.1445	29855.8223	29090.5801	29002.9609
1.0674	29613.3613	28868.3027	31541.1133	30911.0352	29073.3398	29333.9707	27791.7109	25827.4531	30732.9434	29575.2559	27331.2715	26695.166	26853.2129	27899.8652	29457.8262	27333.1914	27680.1641	27332.9609	29384.9922	28783.7637	28429.8906	28824.3477	28120.4062
1.2008	26807.1016	28371.9863	32041.9336	30717.5137	29699.2773	28235.7832	27457.7031	25303.6758	30451.1172	28321.1582	27667.998	27669.1445	28063.793	26836.4395	30277.8691	27642.5156	27643.1152	27017.6875	29302.0723	28634.5859	28412.6309	27955.457	27139.2461
