x	Y_20180224_15100_12_7g
0	38361.367
0.1334	38488.23
0.2668	39202.895
0.4003	40872.773
0.5337	39253.793
0.6671	38051.828
0.8005	38882.77
0.934	41129.602
1.0674	40298.281
1.2008	42449.16
1.3342	41859.613
1.4676	41786.207
1.6011	40268.395
1.7345	40029.043
1.8679	42705.859
2.0013	42391.363
2.1348	43561.18
2.2682	44814.094
2.4016	45719.625
2.535	44332.031
2.6684	41851.793
2.8019	42930.527
2.9353	45948.938
3.0687	50619.777
3.2021	65772.914
3.3356	86919.289
3.469	87907
3.6024	69950.273
3.7358	57176.488
3.8692	49670.246
4.0027	46141.184
4.1361	NaN
4.2695	NaN
4.4029	NaN
