x	Y_20180224_15100_10_5g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_3g	Y_20180224_15100_16_2g	Y_20180224_15100_16_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_16g	Y_20180224_15100_2_11g	Y_20180224_15100_20_3g	Y_20180224_15100_22_6_2g	Y_20180224_15100_24_6g	Y_20180224_15100_25_5g	Y_20180224_15100_28_10g	Y_20180224_15100_28_4g	Y_20180224_15100_4_8g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g
0	41147.816	41568.215	34282.777	39419.664	39251.164	36934.598	43198.727	39339.262	39098.555	39448.191	34093.398	39771.262	34481.156	39667.543	40743.703	42157.695	37020.652	40564.625	39915.566
0.1334	40940.688	42836.348	34836.188	41391.582	39841.492	37273.09	40893.645	39387.926	39241.039	39291.602	33907.715	41930.328	35014.219	39105.836	39321.234	40979.664	37165.719	38908.066	40306.688
0.2668	41549.629	42318.375	33511.133	39788.422	40525.23	37523.73	41432.363	41165.16	37688.934	41097.473	33611.191	43177.129	34141.727	40049.164	38460.629	41618.27	36066	37644.512	39066
0.4003	41434.664	42304.977	32047.84	40511.383	40421.641	36830.598	39084.77	40013.801	37489.77	41511.086	35855.094	41437.109	34426.438	39364.172	39519.832	41574.219	34799.715	37143.402	38836.355
0.5337	41415.762	42858.617	32234.586	41065.473	40146.484	36607.613	38682.621	40395.91	37085.02	42201.43	34320.32	40647.277	34398.117	37497.051	38625.547	39836.402	35879.359	35453.109	40441.137
0.6671	40562.207	41667.621	34308.43	41332.926	38348.133	36127.75	39604.484	40020.184	37361.375	42132.281	32438.539	40313.098	35802.422	38267.574	40408.355	41059.438	36559.668	34749.059	39179.191
0.8005	39599.891	41726.668	34102.121	41639.531	38405.539	37963.594	38431.977	40252.047	38158.348	43449.164	32503.904	41515.609	34864.828	37061.465	38861.16	42706.246	37700.859	34410.234	37382.109
0.934	39386.848	41630.078	32127.004	39907.555	39396.582	36776.883	40453.988	40300.41	39741.891	41250.875	33280.07	42177.512	33926.949	38340.945	37365.895	41138.996	35698.914	34219.688	37135.027
1.0674	42267.598	43011.949	32191.824	40500.074	38479.617	36954.316	41440.148	38328.516	40260.91	40954.453	33838.367	42147.188	33206.66	40354.52	37330.363	40686.301	35375.496	34907.199	38386.246
1.2008	43593.801	41135.137	32229.867	40121.641	38707.789	37208.891	39549.398	37332.109	38041.918	42216.602	34012.285	44777.449	33991.434	40234.16	38788.34	41052.223	36549.336	36002.641	38070.297
1.3342	42841.152	42032.742	33102	39811.613	40870.059	36694.148	37856.734	38524.32	37829.023	42085.188	35137.754	44064.551	35559.289	41167.383	38869.559	41650.996	36306.332	37427.898	38381.391
1.4676	41156.461	40076.098	32441.141	39195.723	41459.473	38522.211	40094.816	38587.586	38567.703	41828.621	33886.281	43596.883	33060.605	41105.062	37695.406	39835.938	36053.035	37350.023	37220.992
1.6011	40875.613	40835.395	32656.627	40265.871	40277.395	41123.281	39487.773	38476.414	38050.477	43464.453	33480.504	43678.793	35130.84	42586.234	39386.66	41656.609	36449.77	38500.297	39215.184
1.7345	43173.207	41929.812	34930.863	39619.395	39732.227	43484.977	39658.27	39869.57	39056.82	43476.18	37746.387	44012.289	36252.012	46070.52	40868.914	41255.297	39242.117	39869.043	38951.453
1.8679	44158.262	42295.41	38265.5	39731.293	40396.887	51874.039	38249.266	41637.477	44386.609	42854.426	39112.98	46092.52	41821.676	53622.07	40115.695	42310.145	40557.348	46269.555	38868.953
2.0013	45999.492	42747.754	41801.082	42146.504	45644.449	75559.477	38834.703	42447.68	53511.641	45512.918	45857.945	47429.195	53183.961	74620.367	44881.367	43604.73	43678.207	53491.211	40715.512
2.1348	48816.898	48822.016	52572.172	45019.516	54271.699	118818.602	39877.395	48563.945	70252.703	52449.773	64246.074	53112.855	77497.047	119436.258	53543.715	47826.316	55180.969	79999.375	41261.219
2.2682	55839.594	58781.098	78375.727	53734.84	81911.711	132206.125	41286.766	62772.504	81998.5	74399.844	95938.102	56585.629	105825.07	143138.891	75698.695	57018.605	69370.234	135813.844	43543.273
2.4016	73608.828	86112.25	107106	76654.188	137897.859	96222.055	47449.547	102595.586	72346.508	110315.781	102324.93	59495.02	101158.391	115277.086	95610.031	79620.359	72618.125	169969.672	50355.688
2.535	90533.469	115717.844	93924.195	118657.539	147487.016	63667.434	64516.09	143238.047	53335.211	122001.523	68644.93	53703.344	66814.758	84883.125	83872.641	119514.539	56060.93	137299.219	66255.945
2.6684	80010.75	112870.742	63738.707	148537.391	105481.477	48334.117	81004.289	135571.75	42076.984	91467.008	46853.652	47773.465	49000.363	73472.766	61230.082	152064.172	43771.211	80857.25	104708.641
2.8019	60608.977	80092.82	43999.562	118299.039	67015.578	43499.082	75274.234	89263.578	39043.281	60906.16	NaN	45018.941	41566.961	NaN	50533.387	114260.891	39879.609	53426.555	145562.938
2.9353	49628.074	55182.328	NaN	69047.281	51655.727	NaN	55750.566	58751.125	NaN	50481.793	NaN	NaN	NaN	NaN	NaN	70002.453	NaN	46548.156	131230.812
3.0687	46236.285	47234.695	NaN	52649.82	46825.824	NaN	46303.684	48251.484	NaN	47896.57	NaN	NaN	NaN	NaN	NaN	53704.297	NaN	NaN	83786.992
3.2021	42941.48	45226.957	NaN	NaN	44839.895	NaN	42377.035	42950.398	NaN	44051.656	NaN	NaN	NaN	NaN	NaN	46826.488	NaN	NaN	59648.766
3.3356	42770.328	NaN	NaN	NaN	NaN	NaN	NaN	43566.395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50232.59
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45726.055
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
